,,,,,,,,,,
,,,,,,,,,,
,,REVISED ELECTRIC EXTRAS ON GAY RESIDENCE 1-26-01,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ITEM,QTY,,DESCRIPTION,,,,UNIT,EXTENDED,,Rob
1,2,RECESS CANS EXTERIOR OF GARAGE,,,,,50,100,,ok
2,0,OPENING FOR ABOVE,,,,,25,0,*,X
3,1,SWITCH AT GARAGE,,,,,25,25,,?
4,1,WATERPROOF AT FRONT PORCH,,,,,65,65,,X
5,2,WATERPROOF AT REAR PORCH,,,,,65,130,,one
6,1,WATERPROOF AT FRONT GARAGE,,,,,65,65,,far right
7,1,SWITCH ,FOR ARCH LIGHTS,,,,25,25,,?
8,1,SWITCH ENTRY,,,,,25,25,,?
9,1,RECESS CANS ENTRY,,,,,50,50,*,X
10,2,RECESS CANC LIVING ROOM,,,,,50,100,,ok
11,2,SWITCHES IN LIVING ROOM,,,,,25,50,,only 1 extra
12,0,DIMMER LIVING ROOM,,,,,50,0,*,X
13,1,FAN IN LIVING ROOM ($30 BLOCK & $25 FOR OPENING),,,,,55,55,*,included
14,1,RECESS IN DINING RM,,,,,50,50,,ok
15,1,SWITCH IN DINING ROOM,,,,,25,25,,ok
16,1,DIMMER IN DINING RM,,,,,50,50,,X
17,1,RECESS CAN IN GARGAE AT SHELVES,,,,,50,50,,X
18,1,SWITCH FOR ABOVE,,,,,25,25,,X
19,0,ADDITIONAL FLOURESCENT & OPENING GARAGE,,,,,70,0,*,X
20,1,EXHAUST FAN IN STORAGE AREA OFF ENTRY,,,,,,0,,ok
,,BY GARAGE,,,,,45,45,,ok
21,1,SWITCH FOR ABOVE,,,,,25,25,,ok
22,1,DEDICATED OUTLET FOR TRASH COMPACTOR,,,,,55,55,,ok
23,1,GFI KITCHEN,,,,,50,50,?,Code?
24,3,PENDENT LIGHTS IN KITCHEN,,,,,80,240,,ok
25,1,SWITCH FOR ABOVE,,,,,25,25,,ok
26,1,SET DBL FLOODS,,,,,60,60,,X
27,1,SWITCH FOR ABOVE,,,,,25,25,,X
28,6,RECESS IN FAMILY RM,,,,,50,300,,7 included
29,4,RECESS IN MEDIA,,,,,50,200,,ok
30,1,SWITCH FOR ABOVE,,,,,25,25,,ok
31,1,FAN & LIGHT IN MEDIA,,,BLOCKING,,30,30,*,ok
32,1,FAN & LIGHT IN BDRM #3,,,BLOCKING,,0,0,*,ok
33,2,RECESS IN BDRM #3,,,,,50,100,*,ok (@ window seat?)
34,1,FAN & LIGHT BDRM #2,,,BLOCKING,,0,0,*,ok
35,1,FAN & LIGHT LOFT,,,,,55,55,*,fan block only
36,2,SWITCHES FOR ABOVE,,,,,25,50,,1 switch
37,4,RECESS UP HALL,,BOOKCASE,,,50,200,,ok
38,1,SWITCH FOR ABOVE,,,,,25,25,,ok
39,1,TV OUTLET MASTER,,,,,25,25,,X
40,3,RECESS IN MASTER,,,,,50,150,,?
41,1,SWITCH FOR ABOVE,,,,,25,25,,?
41,1,PHONE IN MASTER,,,,,25,25,,included
42,0,FAN & LIGHT IN MASTER BATH,,,,,175,0,*,ok
43,0,SWITCH FOR ABOVE,,,,,25,0,*,ok
44,2,RECESS THIRD FLOOR,,,,,50,100,,included
,,,,,,TOTAL,,2725,,
