Enron Ref#,Cust Name,Acct Desc,UDC,UDC Acct#,Address,City,ST,Zip,Submit Date,Enron Acctd ID,Commodity
189980000,ALLEGRO MICROSYSTEMS INC,ALLEGRO MICROSYSTEMS INC,Massachusetts Electric Company,05191882500004,115 NORTHEAST CUTOFF ,WORCESTER,MA,01606,05/22/2001,134590000,Electric
196820000,AXCEL PHOTONICS INC,AXCEL PHOTONICS INC,Massachusetts Electric Company,05181274737501,45 BARTLETT ST M 5 ,MARLBOROUGH,MA,01752,08/22/2001,154730000,Electric
189960000,BIG E'S FOODLAND INC,BIG E'S FOODLAND INC,Western Massachusetts Electric,009258121,11 UNION ST ,EASTHAMPTON,MA,01027,05/23/2001,134570000,Electric
194970000,BOSTON PROPERTIES,BOSTON PROPERTIES,Nstar/ Commonwealth Cambridge,11499120043,11 CAMBRIDGE CTR ,CAMBRIDGE,MA,02142,07/02/2001,152810000,Electric
194970000,BOSTON PROPERTIES,BOSTON PROPERTIES,Nstar/ Commonwealth Cambridge,11499160049,124 MOUNT AUBURN ST ,CAMBRIDGE,MA,02138,07/02/2001,152820000,Electric
194970000,BOSTON PROPERTIES,BOSTON PROPERTIES,Boston Edison Company,25653651007,265 FRANKLIN ST ,BOSTON,MA,02110,06/26/2001,142830000,Electric
194970000,BOSTON PROPERTIES,BOSTON PROPERTIES,Boston Edison Company,25866761007,1601 TRAPELO RD ,WALTHAM,MA,02452,06/26/2001,142840000,Electric
194970000,BOSTON PROPERTIES,BOSTON PROPERTIES,Boston Edison Company,25866771006,1601 TRAPELO RD ,WALTHAM,MA,02452,06/26/2001,142850000,Electric
194970000,BOSTON PROPERTIES,BOSTON PROPERTIES,Boston Edison Company,26015321008,800 BOYLSTON ST BK A ,BOSTON,MA,02199,06/26/2001,142860000,Electric
194970000,BOSTON PROPERTIES,BOSTON PROPERTIES,Boston Edison Company,26015431005,800 BOYLSTON ST ,BOSTON,MA,02199,06/26/2001,142870000,Electric
194970000,BOSTON PROPERTIES,BOSTON PROPERTIES,Boston Edison Company,26015701001,800 BOYLSTON ST 30FL ,BOSTON,MA,02199,06/26/2001,142880000,Electric
