,,,Lo,Hi
NEW NORMALS,,,NEW YORK CITY,NEW YORK CITY
2001-01-01 00:00:00,2001-01-01,2.0,28,40
2001-01-02 00:00:00,2001-01-02,3.0,28,40
2001-01-03 00:00:00,2001-01-03,4.0,28,40
2001-01-04 00:00:00,2001-01-04,5.0,28,39
2001-01-05 00:00:00,2001-01-05,6.0,27,39
2001-01-06 00:00:00,2001-01-06,7.0,27,39
2001-01-07 00:00:00,2001-01-07,8.0,27,39
2001-01-08 00:00:00,2001-01-08,9.0,27,39
2001-01-09 00:00:00,2001-01-09,10.0,27,39
2001-01-10 00:00:00,2001-01-10,11.0,27,39
2001-01-11 00:00:00,2001-01-11,12.0,27,39
2001-01-12 00:00:00,2001-01-12,13.0,26,39
2001-01-13 00:00:00,2001-01-13,14.0,26,38
2001-01-14 00:00:00,2001-01-14,15.0,26,38
2001-01-15 00:00:00,2001-01-15,16.0,26,38
2001-01-16 00:00:00,2001-01-16,17.0,26,38
2001-01-17 00:00:00,2001-01-17,18.0,26,38
2001-01-18 00:00:00,2001-01-18,19.0,26,38
2001-01-19 00:00:00,2001-01-19,20.0,26,38
2001-01-20 00:00:00,2001-01-20,21.0,26,38
2001-01-21 00:00:00,2001-01-21,22.0,26,38
2001-01-22 00:00:00,2001-01-22,23.0,26,38
2001-01-23 00:00:00,2001-01-23,24.0,26,38
2001-01-24 00:00:00,2001-01-24,25.0,26,38
2001-01-25 00:00:00,2001-01-25,26.0,26,38
2001-01-26 00:00:00,2001-01-26,27.0,26,38
2001-01-27 00:00:00,2001-01-27,28.0,26,38
2001-01-28 00:00:00,2001-01-28,29.0,26,38
2001-01-29 00:00:00,2001-01-29,30.0,26,38
2001-01-30 00:00:00,2001-01-30,31.0,26,38
2001-01-31 00:00:00,2001-01-31,32.0,26,38
2001-02-01 00:00:00,2001-02-01,33.0,26,39
2001-02-02 00:00:00,2001-02-02,34.0,26,39
2001-02-03 00:00:00,2001-02-03,35.0,27,39
2001-02-04 00:00:00,2001-02-04,36.0,27,39
2001-02-05 00:00:00,2001-02-05,37.0,27,39
2001-02-06 00:00:00,2001-02-06,38.0,27,39
2001-02-07 00:00:00,2001-02-07,39.0,27,39
2001-02-08 00:00:00,2001-02-08,40.0,27,40
2001-02-09 00:00:00,2001-02-09,41.0,27,40
2001-02-10 00:00:00,2001-02-10,42.0,27,40
2001-02-11 00:00:00,2001-02-11,43.0,28,40
2001-02-12 00:00:00,2001-02-12,44.0,28,40
2001-02-13 00:00:00,2001-02-13,45.0,28,40
2001-02-14 00:00:00,2001-02-14,46.0,28,40
2001-02-15 00:00:00,2001-02-15,47.0,28,41
2001-02-16 00:00:00,2001-02-16,48.0,28,41
2001-02-17 00:00:00,2001-02-17,49.0,28,42
2001-02-18 00:00:00,2001-02-18,50.0,28,42
2001-02-19 00:00:00,2001-02-19,51.0,28,42
2001-02-20 00:00:00,2001-02-20,52.0,29,42
2001-02-21 00:00:00,2001-02-21,53.0,29,43
2001-02-22 00:00:00,2001-02-22,54.0,29,43
2001-02-23 00:00:00,2001-02-23,55.0,29,43
2001-02-24 00:00:00,2001-02-24,56.0,30,43
2001-02-25 00:00:00,2001-02-25,57.0,30,44
2001-02-26 00:00:00,2001-02-26,58.0,30,44
2001-02-27 00:00:00,2001-02-27,59.0,30,44
2001-02-28 00:00:00,2001-02-28,60.0,31,44
2001-03-01 00:00:00,2001-03-01,61.0,31,45
2001-03-02 00:00:00,2001-03-02,62.0,31,45
2001-03-03 00:00:00,2001-03-03,63.0,31,45
2001-03-04 00:00:00,2001-03-04,64.0,32,46
2001-03-05 00:00:00,2001-03-05,65.0,32,46
2001-03-06 00:00:00,2001-03-06,66.0,32,46
2001-03-07 00:00:00,2001-03-07,67.0,33,47
2001-03-08 00:00:00,2001-03-08,68.0,33,47
2001-03-09 00:00:00,2001-03-09,69.0,33,47
2001-03-10 00:00:00,2001-03-10,70.0,33,47
2001-03-11 00:00:00,2001-03-11,71.0,34,48
2001-03-12 00:00:00,2001-03-12,72.0,34,48
2001-03-13 00:00:00,2001-03-13,73.0,34,48
2001-03-14 00:00:00,2001-03-14,74.0,34,49
2001-03-15 00:00:00,2001-03-15,75.0,35,49
2001-03-16 00:00:00,2001-03-16,76.0,35,49
2001-03-17 00:00:00,2001-03-17,77.0,35,50
2001-03-18 00:00:00,2001-03-18,78.0,36,50
2001-03-19 00:00:00,2001-03-19,79.0,36,50
2001-03-20 00:00:00,2001-03-20,80.0,36,50
2001-03-21 00:00:00,2001-03-21,81.0,36,51
2001-03-22 00:00:00,2001-03-22,82.0,37,51
2001-03-23 00:00:00,2001-03-23,83.0,37,51
2001-03-24 00:00:00,2001-03-24,84.0,37,52
2001-03-25 00:00:00,2001-03-25,85.0,38,52
2001-03-26 00:00:00,2001-03-26,86.0,38,52
2001-03-27 00:00:00,2001-03-27,87.0,38,53
2001-03-28 00:00:00,2001-03-28,88.0,38,54
2001-03-29 00:00:00,2001-03-29,89.0,38,54
2001-03-30 00:00:00,2001-03-30,90.0,39,54
2001-03-31 00:00:00,2001-03-31,91.0,39,55
2001-04-01 00:00:00,2001-04-01,92.0,39,55
2001-04-02 00:00:00,2001-04-02,93.0,40,55
2001-04-03 00:00:00,2001-04-03,94.0,40,56
2001-04-04 00:00:00,2001-04-04,95.0,40,56
2001-04-05 00:00:00,2001-04-05,96.0,41,56
2001-04-06 00:00:00,2001-04-06,97.0,41,57
2001-04-07 00:00:00,2001-04-07,98.0,41,57
2001-04-08 00:00:00,2001-04-08,99.0,42,57
2001-04-09 00:00:00,2001-04-09,100.0,42,58
2001-04-10 00:00:00,2001-04-10,101.0,42,58
2001-04-11 00:00:00,2001-04-11,102.0,43,58
2001-04-12 00:00:00,2001-04-12,103.0,43,59
2001-04-13 00:00:00,2001-04-13,104.0,43,59
2001-04-14 00:00:00,2001-04-14,105.0,44,59
2001-04-15 00:00:00,2001-04-15,106.0,44,60
2001-04-16 00:00:00,2001-04-16,107.0,44,60
2001-04-17 00:00:00,2001-04-17,108.0,45,61
2001-04-18 00:00:00,2001-04-18,109.0,45,61
2001-04-19 00:00:00,2001-04-19,110.0,45,61
2001-04-20 00:00:00,2001-04-20,111.0,46,62
2001-04-21 00:00:00,2001-04-21,112.0,46,62
2001-04-22 00:00:00,2001-04-22,113.0,46,62
2001-04-23 00:00:00,2001-04-23,114.0,47,63
2001-04-24 00:00:00,2001-04-24,115.0,47,63
2001-04-25 00:00:00,2001-04-25,116.0,48,63
2001-04-26 00:00:00,2001-04-26,117.0,48,64
2001-04-27 00:00:00,2001-04-27,118.0,48,64
2001-04-28 00:00:00,2001-04-28,119.0,49,64
2001-04-29 00:00:00,2001-04-29,120.0,49,65
2001-04-30 00:00:00,2001-04-30,121.0,49,65
2001-05-01 00:00:00,2001-05-01,122.0,49,65
2001-05-02 00:00:00,2001-05-02,123.0,49,65
2001-05-03 00:00:00,2001-05-03,124.0,50,66
2001-05-04 00:00:00,2001-05-04,125.0,51,66
2001-05-05 00:00:00,2001-05-05,126.0,51,67
2001-05-06 00:00:00,2001-05-06,127.0,51,67
2001-05-07 00:00:00,2001-05-07,128.0,51,68
2001-05-08 00:00:00,2001-05-08,129.0,52,68
2001-05-09 00:00:00,2001-05-09,130.0,52,68
2001-05-10 00:00:00,2001-05-10,131.0,52,69
2001-05-11 00:00:00,2001-05-11,132.0,53,69
2001-05-12 00:00:00,2001-05-12,133.0,53,69
2001-05-13 00:00:00,2001-05-13,134.0,53,69
2001-05-14 00:00:00,2001-05-14,135.0,54,70
2001-05-15 00:00:00,2001-05-15,136.0,54,70
2001-05-16 00:00:00,2001-05-16,137.0,54,70
2001-05-17 00:00:00,2001-05-17,138.0,55,71
2001-05-18 00:00:00,2001-05-18,139.0,55,71
2001-05-19 00:00:00,2001-05-19,140.0,55,71
2001-05-20 00:00:00,2001-05-20,141.0,56,72
2001-05-21 00:00:00,2001-05-21,142.0,56,72
2001-05-22 00:00:00,2001-05-22,143.0,56,72
2001-05-23 00:00:00,2001-05-23,144.0,56,72
2001-05-24 00:00:00,2001-05-24,145.0,57,73
2001-05-25 00:00:00,2001-05-25,146.0,57,73
2001-05-26 00:00:00,2001-05-26,147.0,58,74
2001-05-27 00:00:00,2001-05-27,148.0,58,74
2001-05-28 00:00:00,2001-05-28,149.0,58,74
2001-05-29 00:00:00,2001-05-29,150.0,58,74
2001-05-30 00:00:00,2001-05-30,151.0,59,75
2001-05-31 00:00:00,2001-05-31,152.0,59,75
2001-06-01 00:00:00,2001-06-01,153.0,60,76
2001-06-02 00:00:00,2001-06-02,154.0,60,76
2001-06-03 00:00:00,2001-06-03,155.0,60,76
2001-06-04 00:00:00,2001-06-04,156.0,61,76
2001-06-05 00:00:00,2001-06-05,157.0,61,77
2001-06-06 00:00:00,2001-06-06,158.0,61,77
2001-06-07 00:00:00,2001-06-07,159.0,61,77
2001-06-08 00:00:00,2001-06-08,160.0,61,77
2001-06-09 00:00:00,2001-06-09,161.0,62,78
2001-06-10 00:00:00,2001-06-10,162.0,62,78
2001-06-11 00:00:00,2001-06-11,163.0,62,78
2001-06-12 00:00:00,2001-06-12,164.0,62,78
2001-06-13 00:00:00,2001-06-13,165.0,63,79
2001-06-14 00:00:00,2001-06-14,166.0,63,79
2001-06-15 00:00:00,2001-06-15,167.0,63,79
2001-06-16 00:00:00,2001-06-16,168.0,64,80
2001-06-17 00:00:00,2001-06-17,169.0,64,80
2001-06-18 00:00:00,2001-06-18,170.0,65,80
2001-06-19 00:00:00,2001-06-19,171.0,65,80
2001-06-20 00:00:00,2001-06-20,172.0,65,80
2001-06-21 00:00:00,2001-06-21,173.0,65,81
2001-06-22 00:00:00,2001-06-22,174.0,65,81
2001-06-23 00:00:00,2001-06-23,175.0,66,81
2001-06-24 00:00:00,2001-06-24,176.0,66,81
2001-06-25 00:00:00,2001-06-25,177.0,66,82
2001-06-26 00:00:00,2001-06-26,178.0,66,82
2001-06-27 00:00:00,2001-06-27,179.0,66,82
2001-06-28 00:00:00,2001-06-28,180.0,67,82
2001-06-29 00:00:00,2001-06-29,181.0,67,83
2001-06-30 00:00:00,2001-06-30,182.0,67,83
2001-07-01 00:00:00,2001-07-01,183.0,67,83
2001-07-02 00:00:00,2001-07-02,184.0,67,83
2001-07-03 00:00:00,2001-07-03,185.0,68,83
2001-07-04 00:00:00,2001-07-04,186.0,68,84
2001-07-05 00:00:00,2001-07-05,187.0,68,84
2001-07-06 00:00:00,2001-07-06,188.0,68,84
2001-07-07 00:00:00,2001-07-07,189.0,68,84
2001-07-08 00:00:00,2001-07-08,190.0,68,84
2001-07-09 00:00:00,2001-07-09,191.0,68,84
2001-07-10 00:00:00,2001-07-10,192.0,69,85
2001-07-11 00:00:00,2001-07-11,193.0,69,85
2001-07-12 00:00:00,2001-07-12,194.0,69,85
2001-07-13 00:00:00,2001-07-13,195.0,69,85
2001-07-14 00:00:00,2001-07-14,196.0,69,85
2001-07-15 00:00:00,2001-07-15,197.0,69,85
2001-07-16 00:00:00,2001-07-16,198.0,69,85
2001-07-17 00:00:00,2001-07-17,199.0,69,85
2001-07-18 00:00:00,2001-07-18,200.0,69,85
2001-07-19 00:00:00,2001-07-19,201.0,69,85
2001-07-20 00:00:00,2001-07-20,202.0,70,85
2001-07-21 00:00:00,2001-07-21,203.0,70,85
2001-07-22 00:00:00,2001-07-22,2.0,70,85
2001-07-23 00:00:00,2001-07-23,3.0,70,86
2001-07-24 00:00:00,2001-07-24,4.0,70,86
2001-07-25 00:00:00,2001-07-25,5.0,70,86
2001-07-26 00:00:00,2001-07-26,6.0,70,85
2001-07-27 00:00:00,2001-07-27,7.0,70,85
2001-07-28 00:00:00,2001-07-28,8.0,70,85
2001-07-29 00:00:00,2001-07-29,9.0,70,85
2001-07-30 00:00:00,2001-07-30,10.0,70,85
2001-07-31 00:00:00,2001-07-31,11.0,70,85
2001-08-01 00:00:00,2001-08-01,12.0,70,85
2001-08-02 00:00:00,2001-08-02,13.0,70,85
2001-08-03 00:00:00,2001-08-03,14.0,70,84
2001-08-04 00:00:00,2001-08-04,15.0,70,84
2001-08-05 00:00:00,2001-08-05,16.0,70,84
2001-08-06 00:00:00,2001-08-06,17.0,70,84
2001-08-07 00:00:00,2001-08-07,18.0,70,84
2001-08-08 00:00:00,2001-08-08,19.0,70,84
2001-08-09 00:00:00,2001-08-09,20.0,70,84
2001-08-10 00:00:00,2001-08-10,21.0,70,84
2001-08-11 00:00:00,2001-08-11,22.0,70,84
2001-08-12 00:00:00,2001-08-12,23.0,70,84
2001-08-13 00:00:00,2001-08-13,24.0,69,83
2001-08-14 00:00:00,2001-08-14,25.0,69,83
