YTD,MWh,MWh,MWh,,,,Year to Date,,,Period 1,Period 2,Period 3
,Called,Not-Called,Delivered,TX Cut,,,,,,0.9849792638672887,0.4846288427893027,1
2001-01-01 00:00:00,1600,100,1600,0,,,Availability,,,,,
2001-01-02 00:00:00,1600,100,1600,0,,January,0.9854648956356736,,Called,59200,69100,1
2001-01-03 00:00:00,1600,100,1600,0,,February,0.9941176470588236,,Not Call,93800,10800,0
2001-01-04 00:00:00,1600,100,1600,0,,March,0.9764007421150278,,Provided,56882,27860,1
2001-01-05 00:00:00,1600,100,1600,0,,April,,ISO curtailments,,1320,120,0
2001-01-06 00:00:00,0,1700,0,0,,May,, ,,,,
2001-01-07 00:00:00,0,1700,0,0,,June,,,,,,
2001-01-08 00:00:00,1600,100,1600,0,,July,,,,,,
2001-01-09 00:00:00,0,1700,0,0,,August,,,,,,
2001-01-10 00:00:00,0,1700,0,0,,September,,,,,,
2001-01-11 00:00:00,0,1700,0,0,,October,,,,,,
2001-01-12 00:00:00,1600,100,1600,0,,November,,,,,,
2001-01-13 00:00:00,0,1700,0,0,,December,,,,,,
2001-01-14 00:00:00,0,1700,0,0,,,,,,,,
2001-01-15 00:00:00,0,1700,0,0,,,,,,,,
2001-01-16 00:00:00,0,1700,0,0,,,,,,,,
2001-01-17 00:00:00,0,1700,0,0,,,,,,,,
2001-01-18 00:00:00,1600,100,1600,0,,,,,,,,
2001-01-19 00:00:00,1600,100,1600,0,,,,,,,,
2001-01-20 00:00:00,1600,100,1600,0,,,,,,,,
2001-01-21 00:00:00,1600,100,1600,0,,,,,,,,
2001-01-22 00:00:00,1600,100,1600,0,,,,,,,,
2001-01-23 00:00:00,1600,100,1600,0,,,,,,,,
2001-01-24 00:00:00,1600,100,1600,0,,,,,,,,
2001-01-25 00:00:00,1600,100,1286,0,,,,,,,,
2001-01-26 00:00:00,1600,100,1600,0,,,,,,,,
2001-01-27 00:00:00,0,1700,0,0,,,,,,,,
2001-01-28 00:00:00,0,1700,0,0,,,,,,,,
2001-01-29 00:00:00,0,1700,0,0,,,,,,,,
2001-01-30 00:00:00,0,1700,0,0,,,,,,,,
2001-01-31 00:00:00,1600,100,1148,0,,,,,,,,
,27200,25500,26434,0,,,,,,,,
,,,,,,,,,,,,
2001-02-01 00:00:00,1600,100,1600,0,,,,,,,,
2001-02-02 00:00:00,1600,100,1320,0,,,,,,,,
2001-02-03 00:00:00,0,1700,0,0,,,,,,,,
2001-02-04 00:00:00,0,1700,0,0,,,,,,,,
