Dates,GPNTNX1U$ - Close
,"NYMEX, Natural Gas, 1st Month"
2000-12-01 00:00:00,6.673
2000-12-04 00:00:00,7.433
2000-12-05 00:00:00,7.384
2000-12-06 00:00:00,8.485
2000-12-07 00:00:00,8.373
2000-12-08 00:00:00,8.584
2000-12-11 00:00:00,9.413
2000-12-12 00:00:00,8.145
2000-12-13 00:00:00,7.537
2000-12-14 00:00:00,7.413
2000-12-15 00:00:00,8.396
2000-12-18 00:00:00,8.527
2000-12-19 00:00:00,9.102
2000-12-20 00:00:00,9.326
2000-12-21 00:00:00,9.83
2000-12-22 00:00:00,9.579
2000-12-26 00:00:00,9.805
2000-12-27 00:00:00,9.978
2000-12-28 00:00:00,9.263
2000-12-29 00:00:00,9.775
2001-01-02 00:00:00,8.364
2001-01-03 00:00:00,8.189
2001-01-04 00:00:00,8.966
2001-01-05 00:00:00,9.261
2001-01-08 00:00:00,9.689
2001-01-09 00:00:00,9.819
2001-01-10 00:00:00,9.128
2001-01-11 00:00:00,8.708
2001-01-12 00:00:00,8.472
2001-01-16 00:00:00,8.103
2001-01-17 00:00:00,6.909
2001-01-18 00:00:00,7.136
2001-01-19 00:00:00,7.459
2001-01-22 00:00:00,7.457
2001-01-23 00:00:00,6.946
2001-01-24 00:00:00,7.115
2001-01-25 00:00:00,7.27
2001-01-26 00:00:00,7.256
2001-01-29 00:00:00,6.293
2001-01-30 00:00:00,6.097
2001-01-31 00:00:00,5.707
2001-02-01 00:00:00,6.38
2001-02-02 00:00:00,6.743
2001-02-05 00:00:00,5.706
2001-02-06 00:00:00,5.764
2001-02-07 00:00:00,6.235
2001-02-08 00:00:00,6.158
2001-02-09 00:00:00,6.21
2001-02-12 00:00:00,5.821
2001-02-13 00:00:00,6.019
2001-02-14 00:00:00,5.518
2001-02-15 00:00:00,5.594
2001-02-16 00:00:00,5.568
2001-02-19 00:00:00,5.568
2001-02-20 00:00:00,5.278
2001-02-21 00:00:00,5.146
2001-02-22 00:00:00,5.142
2001-02-23 00:00:00,5.131
2001-02-26 00:00:00,4.998
2001-02-27 00:00:00,5.279
2001-02-28 00:00:00,5.236
2001-03-01 00:00:00,5.186
2001-03-02 00:00:00,5.27
2001-03-05 00:00:00,5.336
2001-03-06 00:00:00,5.315
2001-03-07 00:00:00,5.35
2001-03-08 00:00:00,5.285
2001-03-09 00:00:00,5.072
2001-03-12 00:00:00,5.159
2001-03-13 00:00:00,5.006
2001-03-14 00:00:00,4.911
2001-03-15 00:00:00,4.927
2001-03-16 00:00:00,5.035
2001-03-19 00:00:00,5.063
2001-03-20 00:00:00,5.287
2001-03-21 00:00:00,5.041
2001-03-22 00:00:00,5.212
2001-03-23 00:00:00,5.273
2001-03-26 00:00:00,5.322
2001-03-27 00:00:00,5.621
2001-03-28 00:00:00,5.384
2001-03-29 00:00:00,5.274
2001-03-30 00:00:00,5.025
2001-04-02 00:00:00,5.103
2001-04-03 00:00:00,5.115
2001-04-04 00:00:00,5.182
2001-04-05 00:00:00,5.422
2001-04-06 00:00:00,5.388
2001-04-09 00:00:00,5.477
2001-04-10 00:00:00,5.559
2001-04-11 00:00:00,5.385
2001-04-12 00:00:00,5.381
2001-04-16 00:00:00,5.516
2001-04-17 00:00:00,5.248
2001-04-18 00:00:00,5.148
2001-04-19 00:00:00,5.101
2001-04-20 00:00:00,5.128
2001-04-23 00:00:00,5.125
2001-04-24 00:00:00,5.078
2001-04-25 00:00:00,4.981
2001-04-26 00:00:00,4.891
2001-04-27 00:00:00,4.867
2001-04-30 00:00:00,4.695
2001-05-01 00:00:00,4.641
2001-05-02 00:00:00,4.483
2001-05-03 00:00:00,4.527
2001-05-04 00:00:00,4.49
2001-05-07 00:00:00,4.239
2001-05-08 00:00:00,4.279
2001-05-09 00:00:00,4.202
2001-05-10 00:00:00,4.348
2001-05-11 00:00:00,4.278
2001-05-14 00:00:00,4.394
2001-05-15 00:00:00,4.653
2001-05-16 00:00:00,4.298
2001-05-17 00:00:00,4.248
2001-05-18 00:00:00,4.291
2001-05-21 00:00:00,4.113
2001-05-22 00:00:00,4.123
2001-05-23 00:00:00,4.113
2001-05-24 00:00:00,4.054
2001-05-25 00:00:00,3.975
2001-05-29 00:00:00,3.738
2001-05-30 00:00:00,3.981
2001-05-31 00:00:00,3.914
2001-06-01 00:00:00,3.93
2001-06-04 00:00:00,4.069
2001-06-05 00:00:00,3.892
2001-06-06 00:00:00,3.801
2001-06-07 00:00:00,3.79
2001-06-08 00:00:00,3.922
2001-06-11 00:00:00,4.179
2001-06-12 00:00:00,4.301
2001-06-13 00:00:00,4.112
2001-06-14 00:00:00,4.038
2001-06-15 00:00:00,3.979
2001-06-18 00:00:00,3.939
2001-06-19 00:00:00,3.981
2001-06-20 00:00:00,3.734
2001-06-21 00:00:00,3.747
2001-06-22 00:00:00,3.742
2001-06-25 00:00:00,3.446
2001-06-26 00:00:00,3.397
2001-06-27 00:00:00,3.182
2001-06-28 00:00:00,3.28
2001-06-29 00:00:00,3.096
2001-07-02 00:00:00,3.117
2001-07-03 00:00:00,3.201
2001-07-05 00:00:00,3.136
2001-07-06 00:00:00,3.218
2001-07-09 00:00:00,3.153
2001-07-10 00:00:00,3.282
2001-07-11 00:00:00,3.342
2001-07-12 00:00:00,3.428
2001-07-13 00:00:00,3.25
2001-07-16 00:00:00,3.068
2001-07-17 00:00:00,3.165
2001-07-18 00:00:00,3.087
2001-07-19 00:00:00,2.939
2001-07-20 00:00:00,2.955
2001-07-23 00:00:00,2.978
2001-07-24 00:00:00,2.97
2001-07-25 00:00:00,3.276
2001-07-26 00:00:00,3.128
2001-07-27 00:00:00,3.167
2001-07-30 00:00:00,3.353
2001-07-31 00:00:00,3.296
2001-08-01 00:00:00,3.081
2001-08-02 00:00:00,3.192
2001-08-03 00:00:00,2.971
2001-08-06 00:00:00,3.027
2001-08-07 00:00:00,2.971
2001-08-08 00:00:00,3.036
2001-08-09 00:00:00,2.956
2001-08-10 00:00:00,3.04
2001-08-13 00:00:00,2.999
2001-08-14 00:00:00,3.094
2001-08-15 00:00:00,3.468
2001-08-16 00:00:00,3.367
2001-08-17 00:00:00,3.355
2001-08-20 00:00:00,3.187
2001-08-21 00:00:00,3.166
2001-08-22 00:00:00,2.848
2001-08-23 00:00:00,2.811
2001-08-24 00:00:00,2.706
2001-08-27 00:00:00,2.544
2001-08-28 00:00:00,2.415
2001-08-29 00:00:00,2.295
2001-08-30 00:00:00,2.395
2001-08-31 00:00:00,2.38
2001-09-04 00:00:00,2.359
2001-09-05 00:00:00,2.42
2001-09-06 00:00:00,2.44
2001-09-07 00:00:00,2.5
2001-09-10 00:00:00,2.392
2001-09-17 00:00:00,2.369
2001-09-18 00:00:00,2.225
2001-09-19 00:00:00,2.102
2001-09-20 00:00:00,2.137
2001-09-21 00:00:00,2.103
2001-09-24 00:00:00,1.91
2001-09-25 00:00:00,1.915
2001-09-26 00:00:00,1.83
2001-09-27 00:00:00,2.253
2001-09-28 00:00:00,2.244
2001-10-01 00:00:00,2.208
2001-10-02 00:00:00,2.268
2001-10-03 00:00:00,2.32
2001-10-04 00:00:00,2.414
2001-10-05 00:00:00,2.227
2001-10-08 00:00:00,2.27
2001-10-09 00:00:00,2.388
2001-10-10 00:00:00,2.48
2001-10-11 00:00:00,2.531
2001-10-12 00:00:00,2.43
2001-10-15 00:00:00,2.378
2001-10-16 00:00:00,2.592
2001-10-17 00:00:00,2.418
2001-10-18 00:00:00,2.486
Sum,1199.817
Average,4.838
Average (+),4.838
Average (-),
Percent (+),100
Percent (-),0
Maximum,9.978
Minimum,1.83
Std Deviation,1.953
Zstat,2.4772
Variance,3.8141
Last,2.486
