USGT  #27161,,,,,,,,
,,,,,,,,
Summary of Gas that Flowed West (in mmbtu),,,,,,,,
,,,,,,,,
,,,,,,,,
,,Delivery Point,,Nominated for the month,,Scheduled for the month,,3rd party sheduled for the month
,,,,,,,,
2001-10-01 00:00:00,,SOCAL Needles,,338701,,186870,,na
,,Mojave Topock,,0,,0,,0
,,PGE Topock,,0,,0,,0
,,Calif Mkt Pool,,0,,0,,0
,,EP Window Rock,,0,,0,,0
,,,,338701,,186870,,0
,,,,,,,,
2001-09-01 00:00:00,,SOCAL Needles,,0,,0,,0
,,Mojave Topock,,0,,0,,0
,,PGE Topock,,0,,0,,0
,,Calif Mkt Pool,,0,,0,,0
,,EP Window Rock,,3040,,0,,na
,,,,3040,,0,,0
,,,,,,,,
2001-08-01 00:00:00,,SOCAL Needles,,2243333,,363276,,na
,,Mojave Topock,,0,,0,,0
,,PGE Topock,,0,,0,,0
,,Calif Mkt Pool,,0,,0,,0
,,EP Window Rock,,0,,0,,0
,,,,2243333,,363276,,0
,,,,,,,,
2001-07-01 00:00:00,,SOCAL Needles,,3240190,,980480,,na
,,Mojave Topock,,0,,0,,0
,,PGE Topock,,0,,0,,0
,,Calif Mkt Pool,,0,,0,,0
,,EP Window Rock,,0,,0,,0
,,,,3240190,,980480,,0
,,,,,,,,
2001-06-01 00:00:00,,SOCAL Needles,,3971077,,984252,,na
,,Mojave Topock,,0,,0,,0
,,PGE Topock,,30000,,0,,0
,,Calif Mkt Pool,,0,,0,,0
,,EP Window Rock,,0,,0,,0
,,,,4001077,,984252,,0
,,,,,,,,
2001-05-01 00:00:00,,SOCAL Needles,,1947476,,242153,,na
,,Mojave Topock,,0,,0,,0
,,PGE Topock,,796728,,638,,na
,,Calif Mkt Pool,,180392,,0,,0
,,EP Window Rock,,0,,0,,0
,,,,2924596,,242791,,0
,,,,,,,,
2001-04-01 00:00:00,,SOCAL Needles,,180484,,25548,,na
,,Mojave Topock,,0,,0,,0
,,PGE Topock,,0,,0,,0
,,Calif Mkt Pool,,0,,0,,0
,,EP Window Rock,,0,,0,,0
,,,,180484,,25548,,0
,,,,,,,,
2001-03-01 00:00:00,,SOCAL Needles,,3990862,,394160,,394160
,,Mojave Topock,,0,,0,,0
,,PGE Topock,,260649,,87039,,87039
,,Calif Mkt Pool,,0,,0,,0
,,EP Window Rock,,0,,0,,0
,,,,4251511,,481199,,481199
,,,,,,,,
2001-02-01 00:00:00,,SOCAL Needles,,1513321,,531731,,531731
,,Mojave Topock,,60444,,48727,,48727
,,PGE Topock,,12024,,0,,0
,,Calif Mkt Pool,,0,,0,,0
,,EP Window Rock,,0,,0,,0
,,,,1585789,,580458,,580458
,,,,,,,,
2001-01-01 00:00:00,,SOCAL Needles,,1786910,,920272,,920272
,,Mojave Topock,,198489,,136987,,136987
,,PGE Topock,,0,,0,,0
,,Calif Mkt Pool,,0,,0,,0
,,EP Window Rock,,0,,0,,0
,,,,1985399,,1057259,,1057259
,,,,,,,,
2000-12-01 00:00:00,,SOCAL Needles,,1356286,,512768,,512768
,,Mojave Topock,,746667,,407606,,407606
,,PGE Topock,,123286,,40749,,40749
,,Calif Mkt Pool,,0,,0,,0
,,EP Window Rock,,0,,0,,0
,,,,2226239,,961123,,961123
,,,,,,,,
2000-11-01 00:00:00,,SOCAL Needles,,969845,,110757,,110757
,,Mojave Topock,,90000,,26666,,26666
,,PGE Topock,,225860,,58354,,58354
,,Calif Mkt Pool,,8347,,7597,,7597
,,EP Window Rock,,0,,0,,0
,,,,1294052,,203374,,203374
,,,,,,,,
2000-10-01 00:00:00,,SOCAL Needles,,1579637,,318423,,318423
,,Mojave Topock,,162907,,159574,,157074
,,PGE Topock,,615988,,500298,,500298
,,Calif Mkt Pool,,147636,,135000,,135000
,,EP Window Rock,,0,,0,,0
,,,,2506168,,1113295,,1110795
,,,,,,,,
2000-09-01 00:00:00,,SOCAL Needles,,1434998,,243210,,243210
,,Mojave Topock,,256701,,217008,,217008
,,PGE Topock,,745686,,417491,,417491
,,Calif Mkt Pool,,349526,,220000,,220000
,,EP Window Rock,,7549,,0,,0
,,,,2794460,,1097709,,1097709
,,,,,,,,
2000-08-01 00:00:00,,SOCAL Needles,,2115798,,180488,,180488
,,Mojave Topock,,393577,,268921,,268921
,,PGE Topock,,596504,,282470,,282470
,,Calif Mkt Pool,,0,,0,,0
,,EP Window Rock,,9862,,0,,0
,,,,3115741,,731879,,731879
,,,,,,,,
2000-07-01 00:00:00,,SOCAL Needles,,2001862,,137405,,137405
,,Mojave Topock,,0,,0,,0
,,PGE Topock,,493114,,374456,,374456
,,Calif Mkt Pool,,0,,0,,0
,,EP Window Rock,,0,,0,,0
,,,,2494976,,511861,,511861
,,,,,,,,
2000-06-01 00:00:00,,SOCAL Needles,,1050832,,113921,,113921
,,Mojave Topock,,0,,0,,0
,,PGE Topock,,1204355,,1102737,,1102737
,,Calif Mkt Pool,,0,,0,,0
,,EP Window Rock,,0,,0,,0
,,,,2255187,,1216658,,1216658
,,,,,,,,
2000-05-01 00:00:00,,SOCAL Needles,,666072,,241764,,241764
,,Mojave Topock,,60200,,60200,,60200
,,PGE Topock,,0,,0,,0
,,Calif Mkt Pool,,0,,0,,0
,,EP Window Rock,,181307,,170637,,170637
,,,,907579,,472601,,472601
