ENRON CAPITAL & TRADE RESOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^ENRON RISK MANAGEMENT SERVICES CORP.
2018-07-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^DAILY DETAIL OF NEW TRANSACTIONS
West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Total Notional,,,Value on Date,,,,,,,,,,,,,,,,,
,,,,,,,,,Quantities (Bcf),,,Transaction Originated,Enter Value of,,,,,,,,,,,,,,,,
Deal #,,Originated,,Customer,,EGS Origination,,(Sales),,Purchases,,(In Thousands),Deal Here,Originator,Book ID,B/S,TERM,PRICE ,PUB CODE,,Book ID List,,,,,,,,
,,,,,,,,,,,,Formula - DO NOT TOUCH,,,,,,,,,,,,,,,,,
NF1164.C,,2001-04-02 00:00:00,,Mercado Gas,,Gas Origination - West,,10000/D,,,,144.375,144375,Tycholiz,MGMT-WEST,S,05/01-12/01,5.23,IF-ELPO/SJ,,EMW,,,,,144375.0,1.0,,
NF1164.E,,2001-04-02 00:00:00,,Mercado Gas,,Gas Origination - West,,10000/D,,,,5.5,5500,Tycholiz,NG-Price,S,05/01-10/01,5.01,IF-ELPO/SJ,,FT-CENT,,,,,5500.0,1.0,,
V10337.1,,2001-04-02 00:00:00,,Mercado Gas,,Gas Origination - West,,10000/D,,,,107,107000,Tycholiz,NG-Price,S,05/01-11/01,5.065,IF-ELPO/SJ,,FT-DENVER,,,,,107000.0,1.0,,
NF1164.f,,2001-04-02 00:00:00,,Mercado Gas,,Gas Origination - West,,,,,,8,8000,Tycholiz,NG-Price,S,11/01-08/02,5,IF-ELPO/SJ,,FT-EAST,,,,,8000.0,1.0,,
NF1164.F,,2001-04-02 00:00:00,,MERCADO,,Gas Origination - West,,335000,,,,8.375,8375,Tycholiz,GD-NEWJR,S,Nov01 Aug02,4.86,IF-ELPO/SJ,,FT-EATP,,,,,8375.0,1.0,,
NF1164.E,,2001-04-02 00:00:00,,MERCADO,,Gas Origination - West,,184000,,,,5.52,5520,Tycholiz,GD-NEWJR,S,May01 - Oct01,4.475,IF-ELPO/SJ,,FT-EOLTX,,,,,5520.0,1.0,,
NF1164.D,,2001-04-02 00:00:00,,MERCADO,,Gas Origination - West,,1656000,,,,33.12,33120,Tycholiz,GD-NEWJR,S,May01 - Oct01,-0.535,IF-ELPO/SJ,,FT-HPLC,,,,,33120.0,1.0,,
QS5478,,2001-04-03 00:00:00,,Citizen,,Gas Origination - West,,24980,,,,0.999,999,Ward,NG-Price,S,05/01-04/02,v,,,FT-INTRACENTRAL1,,,,,999.0,1.0,,
