,,,,,,,,,,,,,,,,,,,,,,
,Site Name,Permit Application No.,Permit Number,Legal Description,Legal Description,Legal Description,Legal Description,UTM Coordinates,UTM Coordinates,UTM Coordinates,No. of Pieces of Equipment,No. of Pieces of Equipment,No. of Pieces of Equipment,,,Dates,Dates,Dates,Dates,Dates,Dates,Dates
,Site Name,Permit Application No.,Permit Number,,,,,,,,,,,,,,,Written Notifications,Written Notifications,Written Notifications,Written Notifications,
,Site Name,Permit Application No.,Permit Number,0.25,S,T,R,Zone,East,North,H24GL,7044GSI,3516,Start of Complete Review,Start of Technical  Review,Start of Public Comment,Permit Approved,Start of Construct,Date of Startup - Anticipate,Date of Startup - Actual,"""As Built"" Site Plan",Engine Testing
,House Creek,AP-940,,,,,,,,,,,,,,1999-09-08 00:00:00,,,,,,
,Main Site,AP-940,CT1616,,33,46N,74W,13,439200,4862850,-,2,-,,,1999-09-08 00:00:00,,,,,,
,Pod 1,AP-940,CT1617,,34,46N,75W,13,431000,4863200,2,-,-,,,1999-09-08 00:00:00,,,,,,
,Pod 2,AP-940,CT1618,,34,46N,75W,13,434800,4870500,2,-,-,,,1999-09-08 00:00:00,,,,,,
,Pod 3,AP-940,CT1619,,29,46N,74W,13,437400,4863800,2,-,-,,,1999-09-08 00:00:00,,,,,,
,Pod 4,AP-940,CT1620,,10,45N,74W,13,440900,4859300,2,-,-,,,1999-09-08 00:00:00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Maverick,AP-170,,,,,,,,,,,,,,,,,,,,
,Main Site,AP-170,CT1621,NW NE,32,49N,75W,13,,,-,-,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Box Draw,AP-960,,,,,,,,,,,,,,1999-09-08 00:00:00,,,,,,
,Main Site,AP-960,CT1622,NW,3,51N,73W,13,449747,4919743,-,2,-,,,1999-09-08 00:00:00,,,,,,
,Pod 1,AP-960,CT1623,NE,30,52N,73W,13,445921,4923170,2,-,-,,,1999-09-08 00:00:00,,,,,,
,Pod 2,AP-960,CT1624,NE,6,51N,73W,13,446394,4919470,2,-,-,,,1999-09-08 00:00:00,,,,,,
,Pod 3,AP-960,MD478,NE,4,51N,73W,13,448996,4919424,2,-,-,,,1999-09-08 00:00:00,,,,,,
,Pod 4,AP-960,MD479,NW,9,51N,73W,13,448378,4917829,2,-,-,,,1999-09-08 00:00:00,,,,,,
,Pod 5,AP-960,CT1627,SW,2,51N,73W,13,451376,4919132,1,-,-,,,1999-09-08 00:00:00,,,,,,
,Pod 6,AP-960,CT1628,SE,35,52N,73W,13,452236,4920978,1,-,-,,,1999-09-08 00:00:00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Hannum,AP-950,,,,,,,,,,,,,,1999-09-22 00:00:00,,,,,,
,Main Site,AP-950,CT1640,NW of SW,9,47N,73W,13,448069,4878898,-,2,-,,,1999-09-22 00:00:00,,,,,,
,Pod 1,AP-950,CT1640,NW of SW,9,47N,73W,13,448069,4879111,4,-,-,,,1999-09-22 00:00:00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Caballo,Caballo,Caballo,Caballo,Caballo,Caballo,Caballo,Caballo,Caballo,Caballo,Caballo,Caballo,Caballo,Caballo,Caballo,Caballo,Caballo,Caballo,Caballo,Caballo,Caballo,Caballo
,Quantum/a.k.a. Mustang (revised),,CT1783,SE of SE,16,48N,72W,13,459291,4886429,3,4,-,,,,,,,,,
,Pod 1 (revised),,CT1784,NW of SW,9,48N,72W,13,458240,4888426,5,-,-,,,,,,,,,
,Pod 2,,CT1785,SE of NW,16,48N,72W,13,458685,4887296,2,-,-,,,,,,,,,
,Pod 3,,CT1786,SW of NE,16,48N,72W,13,459093,4887305,2,-,-,,,,,,,,,
,Pod 4,,CT1787,NE of SW,16,48N,72W,13,458672,4886849,1,-,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Yates/a.k.a. Haracz (revised),,CT1788,SW NE,36,48N,73W,13,453861,4882238,-,2,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Petrogulf/a.k.a. Palomino (revised),Petrogulf/a.k.a. Palomino (revised),,,,,,,,,,,,,,,,,,,,
,Main Site,,CT1778,SW NW,5,47N,72W,13,459862,4881232,6,3,-,,,,,,,,,
,Pod 1 (revised),,CT1779,SW NE,13,47N,73W,13,,,3,-,-,,,,,,,,,
,Screw Site 3 (revised),,,NE NE,20,47N,73W,13,447805,4876397,2,-,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Petrogulf Bonepile/a.k.a. Clydesdale,Petrogulf Bonepile/a.k.a. Clydesdale,,,,,,,,,,,,,,,,,,,,
