Prompt Month Correlations for Primary Curves,,,,,,,,,,,,,,,
2000-08-29 00:00:00,,,,,,,,,,,,,,,
Factor Loading 1368,,,,,,,,,,,,,,,
Primary Curves,,NG,CGPR-AECO/BASIS,CGPR-DAWN,IF-ANR/OK,IF-ELPO/PERMIAN,IF-ELPO/SJ,IF-HPL/SHPCHAN,IF-NNG/DEMARCAT,IF-NWPL_ROCKY_M,IF-TRANSCO/Z2,IF-TRANSCO/Z6,NGI-MALIN,NGI-SOCAL,NGI/CHI. GATE
,,,,,,,,,,,,,,,
NG,,1,0.97,1,1,1,0.98,1,1,0.99,1,1,0.96,0.82,1
CGPR-AECO/BASIS,,0.97,1,0.97,0.97,0.97,0.99,0.97,0.97,0.99,0.97,0.96,0.95,0.76,0.97
CGPR-DAWN,,1,0.97,1,1,1,0.98,1,1,0.98,1,1,0.96,0.82,1
IF-ANR/OK,,1,0.97,1,1,1,0.98,1,1,0.98,1,1,0.96,0.82,1
IF-ELPO/PERMIAN,,1,0.97,1,1,1,0.98,1,1,0.98,1,1,0.96,0.82,1
IF-ELPO/SJ,,0.98,0.99,0.98,0.98,0.98,1,0.98,0.98,0.99,0.98,0.97,0.92,0.75,0.98
IF-HPL/SHPCHAN,,1,0.97,1,1,1,0.98,1,1,0.98,1,1,0.96,0.82,1
IF-NNG/DEMARCAT,,1,0.97,1,1,1,0.98,1,1,0.98,1,1,0.96,0.82,1
IF-NWPL_ROCKY_M,,0.99,0.99,0.98,0.98,0.98,0.99,0.98,0.98,1,0.99,0.98,0.94,0.74,0.99
IF-TRANSCO/Z2,,1,0.97,1,1,1,0.98,1,1,0.99,1,1,0.96,0.82,1
IF-TRANSCO/Z6,,1,0.96,1,1,1,0.97,1,1,0.98,1,1,0.95,0.82,1
NGI-MALIN,,0.96,0.95,0.96,0.96,0.96,0.92,0.96,0.96,0.94,0.96,0.95,1,0.92,0.96
NGI-SOCAL,,0.82,0.76,0.82,0.82,0.82,0.75,0.82,0.82,0.74,0.82,0.82,0.92,1,0.82
NGI/CHI. GATE,,1,0.97,1,1,1,0.98,1,1,0.99,1,1,0.96,0.82,1
