Mercado  Gas Services,,,,
,,,,Need FF bid for San Juan for the term
Month,Month Qty,Daily Qty,,
2001-01-01 00:00:00,520000,16774.1935483871,,
2001-02-01 00:00:00,458000,16357.142857142857,,
2001-03-01 00:00:00,363000,11709.677419354839,,
2001-04-01 00:00:00,268000,8933.333333333334,,
2001-05-01 00:00:00,184000,5935.4838709677415,,
2001-06-01 00:00:00,144000,4800,,
2001-07-01 00:00:00,143000,4612.903225806452,,
2001-08-01 00:00:00,156000,5032.258064516129,,
2001-09-01 00:00:00,158000,5266.666666666667,,
2001-10-01 00:00:00,240000,7741.935483870968,,
2001-11-01 00:00:00,357000,11900,,
2001-12-01 00:00:00,455000,14677.41935483871,,
2002-01-01 00:00:00,526000,16967.74193548387,,
2002-02-01 00:00:00,466000,16642.85714285714,,
2002-03-01 00:00:00,370000,11935.483870967742,,
2002-04-01 00:00:00,274000,9133.333333333334,,
2002-05-01 00:00:00,188000,6064.5161290322585,,
2002-06-01 00:00:00,142000,4733.333333333333,,
2002-07-01 00:00:00,147000,4741.935483870968,,
2002-08-01 00:00:00,161000,5193.548387096775,,
