CP NAME,TWO WK AVG,PCT TODAY VS 2 WK AVG,CNT TODAY,TODAY MINUS 1,TODAY MINUS 2,TODAY MINUS 3,TODAY MINUS 4,TODAY MINUS 5,TODAY MINUS 6,TODAY MINUS 7,TODAY MINUS 8,TODAY MINUS 9,TODAY MINUS 10,TODAY MINUS 11,TODAY MINUS 12,TODAY MINUS 13
Aquila Energy Marketing Corporation,226,99.7,225,0,0,236,211,236,190,209,0,0,221,295,208,225
Dynegy Marketing and Trade,199,92.5,184,0,2,193,210,259,149,200,0,0,213,240,167,174
Aquila Risk Management Corporation,190,76,144,2,1,154,207,259,146,195,0,0,179,265,147,199
"Reliant Energy Services, Inc.",190,83.8,159,1,0,152,210,230,175,175,0,0,189,244,185,179
"Duke Energy Trading and Marketing, L.L.C.",182,104,189,0,0,160,151,190,183,208,0,0,167,222,145,202
"Mirant Americas Energy Marketing, L.P.",152,64.6,98,0,0,106,114,87,171,168,0,0,202,227,168,176
"AEP Energy Services, Inc.",145,70.3,102,0,0,126,152,35,34,132,1,0,179,268,219,204
Cook Inlet Energy Supply L.L.C.,143,96.1,137,0,0,138,154,142,109,138,0,0,154,149,135,170
"El Paso Merchant Energy, L.P.",140,87.1,122,0,0,102,136,142,132,130,0,0,136,201,143,157
Williams Energy Marketing & Trading Company,138,114,157,0,0,135,104,161,106,123,0,0,115,187,116,173
Sempra Energy Trading Corp.,132,97.3,128,0,1,113,75,79,59,132,0,0,138,232,162,197
"Constellation Power Source, Inc.",107,132.4,141,0,8,82,108,105,73,108,0,0,87,119,102,140
PG&E Energy Trading-Gas Corporation,86,96.1,83,1,0,61,66,95,82,75,0,0,68,132,82,120
J. Aron & Company,85,108.9,93,0,0,65,93,70,65,34,0,0,52,100,81,201
"e prime, inc.",77,85.7,66,0,0,78,44,53,92,79,0,0,102,118,62,76
"Enserco Energy, Inc.",72,125.3,90,0,0,106,67,34,43,59,0,0,78,107,52,82
"Entergy-Koch Trading, LP",72,78.8,57,1,0,64,55,58,111,84,0,2,63,108,72,51
"Calpine Energy Services, L.P.",64,67.4,43,0,0,18,20,7,61,84,0,0,113,170,45,77
BP Energy Company,58,120.3,70,0,0,78,35,50,56,49,0,0,31,66,82,65
Tenaska Marketing Ventures,58,119.6,69,0,0,60,56,64,45,55,0,0,53,72,48,55
"Coral Energy Resources, L.P.",54,65.3,35,0,0,54,41,54,59,58,0,0,53,52,74,56
