 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
From:,Risk Management -Controls,,,,,,,,,,,,,,Department:,Risk Management,,,,
,,,,,,,,,,,,,,,,,,,,
Subject:,New Book Request,,,,,,,,,,,,,,Date:,2018-07-14 10:17:33.180000,,,,
,,,,,,,,,,,,,,,,,,,,
Requestor:,John Postlethwaite,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
COUNTERPARTY,,BOOK PURPOSE,,,TAGG,,,,,,,,,BOOK INFORMATION,BOOK INFORMATION,BOOK INFORMATION,BOOK INFORMATION,,,
,,Type Of Transactions,Type Of Transactions,Type Of Transactions,Book Mapping,,,,,,,,,,,,,,,
Short Name,Long Name,Internal,External,Both,Code,Region,P,B,Idx,GD,PHY,Y,Commodity/UOM/Curr,Trader Name,MTM/ACCRUAL ,Reason For Book,Date Needed ,,Prud,Realized
PWR-GAS-WMGMT,POWERGASWESTMANAGEMENT,x,,,,NYMEX,x,,,,,,,Tim Belden,MTM  ,Netco,ASAP,,,
PWR-GAS-NW,POWERGASNORTHWEST,x,,,,NYMEX,x,,,,,,,Mike Swerzbin,MTM  ,Netco,ASAP,,,
PWR-GAS-SW,POWERGASSOUTHWEST,x,,,,NYMEX,x,,,,,,,Mat Motley,MTM  ,Netco,ASAP,,,
PWR-GAS-CALI,POWERGASCALIFORNIA,x,,,,NYMEX,x,,,,,,,Bob Badeer,MTM  ,Netco,ASAP,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"(Note 1) Please ensure access to both production and stage to enter deals, calculate books and set the official flag.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
*A unique portfolio/book code will be assigned to your book unless you request a specific portfolio/book code.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BOOK CANNOT BE SET UP IF THERE IS ANY MISSING INFORMATION.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
***Please provide login names for book administrators.***,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,RisktRAC Check List,,Added (Y/N),Processors ID,,,,
,,,,,,,,,,,,,,,,,,,,
Book,Login,,,,,,,,,,,,Created in RisktRAC,,,,,,,
Administrator*,Names,,,,,,,,,,,,Hierarchy,,,,,,,
John Postlethwaite,,,,,,,,,,,,,Sent to GCP,,,,,,,
Fran Chang,,,,,,,,,,,,,Created in TAGG/ERMS,,,,,,,
Samantha Law,,,,,,,,,,,,,Cross-Commodity DBA,,,,,,,
Heather Dunton,,,,,,,,,,,,,,,,,,,,
Stacey White,,,,,,,,,,,,,PORTFOLIO NAME,,Added (Y/N),Processors ID,,,,
Casey Evans,,,,,,,,,,,,ALL:,AGG-CREDIT,,,,,,,
,,,,,,,,,,,,,AGG-PROD-DPR-BU,,,,,,,
,,,,,,,,,,,,,AGG-PROD-DPR-CM,,,,,,,
,,,,,,,,,,,,,DISCOUNTING USD,,,,,,,
,,,,,,,,,,,,IF:,GDI,,,,,,,
,,,,,,,,,,,,,AGG-GD-INDEX,,,,,,,
,,,,,,,,,,,,IF:,Index,,,,,,,
,,,,,,,,,,,,,AGG-INDEX,,,,,,,
,,,,,,,,,,,,IF:,Gas,,,,,,,
,,,,,,,,,,,,,AGG-GAS III & IV,,,,,,,
