1.,LOAD PROFILE FOR LAST TWO YEARS BY DAY,,,,,,,,,,,,
,,in Dth/day,,,,,,,,,,,
,Long Beach Interstate Sales Volumes ==>,,,,Total Deliveries minus Customer Transport (allocations),,,,,,,,
,,1999-01-01 00:00:00,1999-02-01 00:00:00,1999-03-01 00:00:00,1999-04-01 00:00:00,1999-05-01 00:00:00,1999-06-01 00:00:00,1999-07-01 00:00:00,1999-08-01 00:00:00,1999-09-01 00:00:00,1999-10-01 00:00:00,1999-11-01 00:00:00,1999-12-01 00:00:00
,,,,,,,,,,,,,
,1,23783.125806451615,33916,18158.6,33067.333333333336,18214.06451612903,11120.2,9121.748387096775,4162.3,7057.3,7767.709677419354,8103.2,24430.3
,2,27296.325806451612,30519.4,16182.3,30779.3,18926.2,13389.1,9565.5,4793.7,7678.7,7071.2,9313.6,26403.1
,3,22711.725806451614,28524.8,17723.7,30436.3,19025.5,16017.6,8201,5241.4,6621.8,8152.4,9850.9,27059.5
,4,26352.225806451614,33840.2,21202.1,27350.2,17304.7,14230.4,3859.9,5633,5432.3,7447.5,10311.9,25983.2
,5,27009.825806451612,34965.1,21981.3,27983.2,14873.9,12300.6,5524.2,6613.1,5494.5,6742.6,10406.8,27730.8
,6,27858.825806451612,29469.9,22721.7,34493.4,11189.9,10935.2,8807.1,6146,4353.1,9149.7,11487.2,31829.4
,7,29880.42580645161,29314.1,22916.8,37515.7,10653.1,11399.3,7974.9,5571.7,7242,8715.1,10548.5,32508.9
,8,24875.525806451617,24448.8,25926.2,32591.2,13441.3,11866.6,8279,5497.3,7475,7497.7,12449.1,32609.2
,9,24598.025806451617,33085.9,31068.9,39181.7,13783.3,9778.1,7299.2,6588.4,7144.4,6235.9,14619.8,34365.4
,10,24277.125806451615,47137.5,31489.7,27251.1,15283,9790.1,6134.9,7676.7,7447.4,5774.4,15342.5,33537.2
,11,23718.225806451614,44697.1,36685.3,36534.5,12566.2,10338.3,5147.7,7210.2,7164.8,8198.7,15627.1,33811.9
,12,26901.725806451614,30311.1,29289.7,38560.9,12016.8,8692.5,6370.5,6959.9,6718.2,8332.1,13898.2,29720
,13,29244.42580645161,25308.5,20647.5,27223.5,13583.6,7913.4,5442.2,6121,7570.2,8516.5,11833.9,33377.1
,14,23773.025806451617,24818.7,20579,23467.5,12399.9,8674.4,5927.5,5328.4,7971.9,8387.9,12212.7,33322.9
,15,23632.025806451617,28929.9,37381,17172.5,12065.4,9073.6,6729.4,4758.2,9157.4,8629.9,12912.9,33839.4
,16,22492.525806451617,28796.1,35149.8,13468.7,10242,9093.2,7880.9,6699.5,8620.3,7338.2,10825.1,28389.5
,17,18680.725806451614,24495.4,31441.3,11183.4,11166.6,8266.7,5673.1,6574.6,7333.3,8478,12893.1,25731
,18,27605.42580645161,25522.6,25558.2,10127.7,10799.4,9138.3,5668.2,5890.5,8145.6,10058.6,14859.3,23768.7
,19,24604.42580645161,22793.58,23297,11715.4,11297.2,8297.5,7898.4,6540.5,7745.3,10120.8,17404.1,21926.1
,20,25349.42580645161,21749.9,22114.7,11291.1,12224.2,7982.7,7021.7,6883.6,8256.6,8808.6,15975.5,21631.1
,21,24111.025806451617,20966,20927.1,10456.6,13505.8,12343.3,6624.5,5996.3,7359.1,8149.6,18239.7,26535.1
,22,27490.325806451612,21993.1,6998,14961.9,14110.5,9339,7561.6,4606.1,6026.9,8125,24341.8,22361.7
,23,26450.025806451617,20526.6,25532.3,16474.6,13393.3,8548.2,7096.6,5872.9,6359.8,9184.9,25640.4,25669
,24,26934.725806451614,20570.2,23919.7,14582.5,13998.8,9062.5,6258.2,6046.5,7612.5,9185.4,25657.5,18616.5
,25,38618.82580645161,21870.8,36656.3,15956.2,13000.4,8175.3,6036.7,4697.9,6778.1,9025.3,20030.2,12672.6
,26,42322.125806451615,24215.2,27009.5,17215.3,17621.4,7323.8,7492.6,5410.1,7445.9,9949.1,13391.6,17767.7
,27,40137.125806451615,18727.6,16914.7,14779.3,17190.9,6895.1,7304.4,4508.8,9487.6,11229.4,16065.4,19010
,28,38913.625806451615,16428.8,18006.2,20058.3,17273.9,8159.8,7090.5,4267.3,8840.3,6387.5,20141.7,20925.4
,29,36413.625806451615,,20215.2,21053.4,15941.3,9650.6,6862.9,4582.7,12355.6,9876.1,22061.8,26139.6
,30,33137.72580645161,,21172.5,20550.3,14982.2,5714.9,6446.5,6503.8,6598.5,8475.9,22104.9,30293.2
,31,29008.325806451612,,16536.6,,16914.2,,5435.1,6371.1,,8556.4,,27226.8
