Adjustment date,Date of applied calc,Deal Date,Desk Involved,Reason,Correction located by:,Broker,Change,Details of reason,Deal #,Delivery,Term,Hours p/op/rtc,MW,Price,Counterparty
2000-08-24 00:00:00,2000-08-24 00:00:00,2000-07-25 00:00:00,LTNW,BROKER,HOUSTON,,TYPES OF PURCHASES: BUY TO SELL,,379575,PV,2000-09-01 00:00:00,P,-25,127,SEMPRA
2000-08-24 00:00:00,2000-08-24 00:00:00,2000-07-25 00:00:00,LTNW,BROKER,HOUSTON,,TYPES OF PURCHASES: Sell to a buy,,397576,COB N/S,2000-09-01 00:00:00,P,25,127,SEMPRA
,,,BROKER Count,2,,,,,,,,,,,
2000-08-24 00:00:00,2000-08-24 00:00:00,2000-08-23 00:00:00,STCA,J.R.,HOUSTON,PREBON,DELIVERY PT: PV TO MID-C,SLEEVE DEAL,398895 & 896,MID-C,Q2-01,P,.-25/25,69.25/69.15,TRANSCANADA
2000-08-24 00:00:00,2000-08-24 00:00:00,2000-08-16 00:00:00,STCA,J.R.,HOUSTON,NONE,INDEX: .2 TO .25,,393958,SP-15,2000-08-17 00:00:00,P,-50,PX SP15+.25,HAFSLUND
,,,J.R. Count,2,,,,,,,,,,,
2000-08-24 00:00:00,,2000-08-23 00:00:00,LTSW,M.M.,HOUSTON,PREBON,COUNTERPARTY: AVISTA TO WWP,,398961,,,,,,
,,,M.M. Count,1,,,,,,,,,,,
2000-08-24 00:00:00,2000-08-24 00:00:00,2000-08-23 00:00:00,LTNW,M.S.,HOUSTON,ALTRA,TERM & TIMES: Q4-01 TO Q4-00 & ON-PEAK TO OFF-PEAK,,398872,MID-C,Q4-00,OP,25,105,IDAHO
,,,M.S. Count,1,,,,,,,,,,,
,,,Grand Count,6,,,,,,,,,,,
