,Cal_2001,Cal_2002,Cal_2003,Cal_2004,Cal_2005,Cal_2006,Cal_2007,Cal_2008,Cal_2009,Cal_2010,Cal_2011,Cal_2012,Cal_2013,Cal_2014
,MWh's,MWh's,MWh's,MWh's,MWh's,MWh's,MWh's,MWh's,MWh's,MWh's,MWh's,MWh's,MWh's,MWh's
Arizona,0,0,0,0,-166226.6275982227,-134729.95599165664,-121588.98936859606,-114694.51793303696,-103553.84503705695,-45669.71960392079,-3157.1996772123375,0,0,0
Connecticut,0,0,0,-50155.72142846596,-47360.61629726477,-44670.49213754745,-42190.439150983024,-39817.3835799917,-35487.09146154969,-8669.132218613275,1178.83169845645,0,0,0
Massachusetts,-137319.18941936234,-737770.164126182,-754667.3806392646,-627480.6956465826,-642651.1008972266,-249563.74546414794,-70744.82000480368,-66756.4873723019,-59515.375363069405,-15230.385579811711,-3488.7829831588933,0,0,0
Maine,-397403.4048181125,-1361312.5532996338,-926169.6854437896,-600315.3230666022,-393748.69106871093,-67252.57656254288,-2977.929838781889,-2801.188343490885,-2527.212197463853,0,0,0,0,0
New Jersey,-662588.255973344,-1519697.7196092727,-1342725.6425180498,-732471.1522558382,-474457.1584570033,-336320.11187139055,-254580.5558797808,-67791.34381421066,-13746.625542081249,0,0,0,0,0
Nevada,0,0,-14441.636871109808,-18673.64788099312,-17617.780751040198,-16626.81165284608,-299945.3029770677,-123328.08649045756,-16504.734660176833,-3750.203189648988,482.8306596673126,0,0,0
Texas,0,-811686.4034935718,-783638.1102133049,-711010.3996656899,-503418.29638407234,-273375.46461237594,-542676.4235372355,-478463.6221581163,-302017.2272644754,-62159.09984269926,-14305.090593383014,-14067.681502354295,-13167.38176177713,-12340.48972881895
,,,,,,,,,,,,,,
Arizona_Renewable,0,0,0,0,-1662.266275982227,-1414.6645379123947,-1337.4788830545565,-1261.6396972634066,-1139.0922954076264,-502.36691564312866,-34.72919644933571,0,0,0
Connecticut_Renewable,0,0,0,-3510.9004999926174,-3788.849303781182,-3796.9918316915337,-3797.139523588472,-3981.73835799917,-3903.5800607704655,-1126.9871884197257,153.24812079933852,0,0,0
Massachusetts_Renewable,0,0,-7546.673806392646,-9412.21043469874,-12853.022017944531,-6239.0936366036985,-2122.3446001441102,-2336.4770580305667,-2380.615014522776,-761.5192789905856,-209.3269789895336,0,0,0
Maine_Renewable,-119221.02144543374,-408393.76598989015,-277850.90563313686,-180094.59691998066,-118124.60732061327,-20175.772968762863,-893.3789516345666,-840.3565030472655,-758.1636592391559,0,0,0,0,0
New Jersey_Renewable,-19877.64767920032,-45590.93158827818,-43638.58338183662,-23805.31244831474,-15419.857649852607,-11771.20391549867,-10183.222235191231,-3050.61047163948,-687.3312771040625,0,0,0,0,0
Nevada_Renewable,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas_Renewable_Energy_Credits_Reqmt_(MWh's),0,-61320,-61320,-134395.2,-137751,-233016,-239148,-351360,-359160,-367920,-376680,-386496,-394200,-402960
