DealBench,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overview of Market Size of Certain Domains,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Excluding MBS/ABS),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Comments (Assumptions),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank Products,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic,4423.2,5561,3494.0,,,,,,,,,,,,,,,,,,,,,,INTL BONDS,3885.2
,International,6297.6,8111,4860.0,,,,,,,,,,,,,,,,,,,,,,,
Total,,10720.8,13672,8354.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lease Syndication Transactions,,,,,$20B in originated Capital Equipment Leases during 2000,,,,,,,,,,,,,,,,,,,,,,
,Domestic,4000.0,5000,3000.0,50% of originated leases are syndicated out by originating institution,,,,,,,,,,,,,,,,,,,,,DOM BANK PROD,7270.4
,International,2000.0,2500,1500.0,Avg. syndication size = $2.5mm (based on discussions w/ Lease Synd. professionals,,,,,,,,,,,,,,,,,,,,,,
Total,,6000.0,7500,4500.0,International Transactions = 50% of U.S. (banks not as aggressive in other countries),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other DealRoom Transactions (Capital Markets, Legal Space, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic,7270.4,7210,2391.0,International deals = 50% of domestic deals,,,,,,,,,,,,,,,,,,,,,DOM BANK PROD,4423.2
,International,3885.2,2332,1166.0,Legal Deals = 500 per year (estimate),,,,,,,,,,,,,,,,,,,,,,
Total,,11155.599999999999,9542,3557.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataRooms (Mergers & Acquisitions Transactions),,,,,Source:  see below,,,,,,,,,,,,,,,,,,,,,,
,Domestic ,5045.6,7210,2391.0,,,,,,,,,,,,,,,,,,,,,,DOM BANK PROD,1364.22
,International,1777.4,2332,1166.0,,,,,,,,,,,,,,,,,,,,,,,
Total,,6823.0,9542,3557.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Auction Transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic,1364.22,1814.4469199999999,907.23204,Assumes 2/3 of auctions discussed in research report are domestic & 1/3 are International,,,,,,,,,,,,,,,,,,,,,DOM BANK PROD,4000.0
,International,702.7800000000001,934.7150800000001,467.36195999999995,,,,,,,,,,,,,,,,,,,,,,,
Total,,2067.0,2749.162,1374.594,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Energy Auction Transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic,3456.0,4000,2500.0,"Includes only auctions in the Construction, Engineering and Real Estate arenas",,,,,,,,,,,,,,,,,,,,,DOM BANK PROD,1364.22
,International,1600.0,2000,1000.0,,,,,,,,,,,,,,,,,,,,,,,
Total,,5056.0,6000,3500.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DealBench,,,,,,,,,,,,,,,,,,,,,,,,,,,
History of Debt Transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No. of Transactions Per Annum,1995.0,1996,1997.0,1998,1999.0,Average,Min,Max,,,,,,,,,,,,,,,,,,
