,,,,,,,
,,,,,,,
"Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided."
"Please Note: The Station, Unit, and PSE Names are derived from the MISO system model.","Please Note: The Station, Unit, and PSE Names are derived from the MISO system model.","Please Note: The Station, Unit, and PSE Names are derived from the MISO system model.","Please Note: The Station, Unit, and PSE Names are derived from the MISO system model.","Please Note: The Station, Unit, and PSE Names are derived from the MISO system model.","Please Note: The Station, Unit, and PSE Names are derived from the MISO system model.","Please Note: The Station, Unit, and PSE Names are derived from the MISO system model.","Please Note: The Station, Unit, and PSE Names are derived from the MISO system model."
Company ID,Station Name,Unit Name,PSSE Name,Pmax,Contact authorized to submit bids can do so for which generator(s)?,Contact who is authorized to receive directives for re-dispatch and load changes can do so for which generator(s)?,Contact who will be submitting generator outage schedules.
AECI  ,1CHOUTG ,1CHOUTG_1     ,1CHOUTG ,500,,,
AECI  ,2CANDAM ,1CANNON_1     ,1CANNON ,58,,,
AECI  ,2CHAMOI ,1CHM_G1_1     ,1CHM G1 ,18,,,
AECI  ,2CHAMOI ,1CHM_G2_2     ,1CHM G2 ,50,,,
AECI  ,2UNIONV ,1UNION1_1     ,1UNION1 ,22.5,,,
AECI  ,2UNIONV ,1UNION2_2     ,1UNION2 ,22.5,,,
AECI  ,5ESSEX  ,1ESSEX1_1     ,1ESSEX1 ,127,,,
AECI  ,5NEWMAD ,1NM_G1_1      ,1NM G1  ,600,,,
AECI  ,5NEWMAD ,1NM_G2_2      ,1NM G2  ,600,,,
AECI  ,5NODWAY ,1NODWY1_1     ,1NODWY1 ,115,,,
AECI  ,5NODWAY ,1NODWY2_2     ,1NODWY2 ,115,,,
AECI  ,5THMHIL ,1THLG1_1      ,1THLG1  ,177,,,
AECI  ,5THMHIL ,1THLG2_2      ,1THLG2  ,297,,,
AECI  ,5THMHIL ,1THLG3_3      ,1THLG3  ,670,,,
AECI  ,STFRAN_5,1STFRG1_1     ,1STFRG1 ,250,,,
AEP   ,05AMO7  ,05AMO3_2      ,05AMOS  ,800,,,
AEP   ,05AMO7  ,05AMO7_1      ,05AMOS  ,800,,,
AEP   ,05AMO7  ,05AMO7_3      ,05AMOS  ,1300,,,
AEP   ,05ANDC1 ,05ANDC1_1     ,05ANDCT ,36,,,
AEP   ,05ANDC1 ,05ANDC1_2     ,05ANDCT ,36,,,
AEP   ,05BAKE7 ,05BAKE3_2     ,05BAKER ,800,,,
AEP   ,05BAKE7 ,05B_SAND_1    ,05B SAND,260,,,
AEP   ,05BEAVRC,05BEAVRC_S    ,05BEAVRC,0,,,
AEP   ,05CLNCHR,05CLNCHR_1    ,05CLNCHR,230,,,
AEP   ,05CLNCHR,05CLNCHR_2    ,05CLNCHR,230,,,
AEP   ,05CLNCHR,05CLNCHR_3    ,05CLNCHR,230,,,
AEP   ,05CLYTR1,05CLAY_1_1    ,05CLAY-1,38,,,
AEP   ,05CLYTR2,05CLAY_2_1    ,05CLAY-2,38,,,
AEP   ,05CONES ,05CONES_4     ,05CONES ,780,,,
AEP   ,05CONES ,05CONES_5     ,05CONES ,400,,,
AEP   ,05CONES ,05CONES_6     ,05CONES ,400,,,
AEP   ,05CONESE,05CONESE_2    ,05CONESE,115,,,
AEP   ,05CONESE,05CONESE_3    ,05CONESE,165,,,
AEP   ,05CONESW,05CONESW_1    ,05CONESW,115,,,
AEP   ,05COO7  ,05COO3_1      ,05COOK  ,1000,,,
AEP   ,05COO7  ,05COO7_2      ,05COOK  ,1060,,,
AEP   ,05ELIMA ,05ELIMA_Z     ,05ELIMA ,0,,,
