Delivery,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,
Point,Peak Prc CS,OPeak Prc CS,Peak Bas CS,OPeak Bas CS,Peak Prc CS,OPeak Prc CS,Peak Bas CS,OPeak Bas CS,Peak Prc CS,OPeak Prc CS,Peak Bas CS,OPeak Bas CS,Peak Prc CS,OPeak Prc CS,Peak Bas CS,OPeak Bas CS,Peak Prc CS,OPeak Prc CS,Peak Bas CS,OPeak Bas CS,Peak Prc CS,OPeak Prc CS,Peak Bas CS,OPeak Bas CS,Peak Prc CS,OPeak Prc CS,Peak Bas CS,OPeak Bas CS,Peak Prc CS,OPeak Prc CS,Peak Bas CS,OPeak Bas CS,Peak Prc CS,OPeak Prc CS,Peak Bas CS,OPeak Bas CS,Peak Prc CS,OPeak Prc CS,Peak Bas CS,OPeak Bas CS,Peak Prc CS,OPeak Prc CS,Peak Bas CS,OPeak Bas CS,Peak Prc CS,OPeak Prc CS,Peak Bas CS,OPeak Bas CS,Peak Prc CS,OPeak Prc CS,Peak Bas CS,OPeak Bas CS,Peak Prc CS,OPeak Prc CS,Peak Bas CS,OPeak Bas CS,Peak Prc CS,OPeak Prc CS,Peak Bas CS,OPeak Bas CS,Peak Prc CS,OPeak Prc CS,Peak Bas CS,OPeak Bas CS,Peak Prc CS,OPeak Prc CS,Peak Bas CS,OPeak Bas CS,Peak Prc CS,OPeak Prc CS,Peak Bas CS,OPeak Bas CS,Peak Prc CS,OPeak Prc CS,Peak Bas CS,OPeak Bas CS,Peak Prc CS,OPeak Prc CS,Peak Bas CS,OPeak Bas CS,Total
BPA Busbar,-81297.93,5955.59,,,128044.64,69626.48,,,322563.75,-39068.59,,,316629.43,-37995,,,316434.14,-38069.58,,,408692.6,-52548.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318966.85
COB N/S,-91362.34,-1013.37,,,24667.16,259471.83,,,-514244.83,-71028.77,,,-200681.76,50577.85,,,-42203.52,43248.81,,,-71172.88,25294.65,,,54256.59,56234.52,,,24347.94,50716.55,,,36692.55,45761.36,,,88462.72,17397.49,,,-44641.28,5877,,,36824.52,-4338.07,,,34405.65,-3842,,,34549.87,-4012.94,,,,,,,,,,,,,,,,,,,,,,,,,,,-159754.77
COB S/N,27853.06,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27868.06
Colorado Springs Border,-10089.49,,,,-124811.47,,,,-106035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-240936
Craig,6988.82,,,,52403.14,,,,34220.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93612.22
Financial Deal - COB,261.48,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.08
Financial Deal - NW,33167.21,-3279.89,,,52215.44,16647.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98750.25
Financial Deal - R10,400176.94,1371.17,,,336638.06,-71312.38,,,25288.21,4551.88,,,76129.89,4616.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777460.13
Financial Deal - R11,8658.56,4997.14,,,50781.08,14337.46,,,22955.16,9169.18,,,-12707.15,2757.26,,,-1544.91,-518.51,,,-1459.34,-557.76,,,-1373.93,-312.48,,,-1295.55,-383.69,,,380.26,-201.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93680.91
Financial Deal - R8,246857.73,,,,-5914.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240988.77
Financial Deal - R9,16390.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16390.5
Financial Deal - SW,-4204.87,-1087.17,,,-93363.8,-10442.11,,,-34708.76,1003.19,,,-8362.47,954.5,,,-7897.65,904.33,,,-7455.14,863.65,,,-7027.21,812.93,,,-6961.95,783,,,-5817.86,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-181342.34
Four Corners-345KV,-14517.1,-44487.41,,,21593.23,73589.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36178.56
MID COLUMBIA,131314.84,-16419.69,,,-1114210.83,-70290.2,,,480160.42,80503.73,,,531093.43,55116.06,,,-880.49,31403.81,,,-584563.41,70916.9,,,181504.79,-22814.7,,,32368.09,-21252.25,,,30351.31,-19958,,,98457.09,-27226.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-154425.41
