,,,,,,,,,,
,,,,,,,,,,
,SBSK,SBHK,NBSK,NBHK,,,,,,
,Del to US,Del to US,Del to US,Del to US,,,,,,
,US$/Metric Ton,US$/Metric Ton,US$/Metric Ton,US$/Metric Ton,,,SBSK,SBHK,NBSK,NBHK
2000:1,620,600,640,610,,2001.0,488.25,465,547,491
2000:2,660,640,680,650,,2002.0,478.5,457.5,518.75,472.5
2000:3,690,670,710,680,,2003.0,567.5,542.5,598.75,557.5
2000:4,687,667,710,677,,2004.0,690,662.5,721.25,677.5
2001:1,623,595,665,622,,2005.0,676.25,638.75,722.5,665
2001:2,487,453,560,495,,,,,,
2001:3,413,397,483,417,,,,,,
2001:4,430,415,480,430,,,,,,
2002:1,455,435,500,450,,,,,,
2002:2,474,455,520,470,,,,,,
2002:3,485,465,520,480,,,,,,
2002:4,500,475,535,490,,,,,,
2003:1,520,495,555,510,,,,,,
2003:2,555,530,585,545,,,,,,
2003:3,585,560,615,575,,,,,,
2003:4,610,585,640,600,,,,,,
2004:1,645,620,675,635,,,,,,
2004:2,680,650,710,665,,,,,,
2004:3,710,680,740,695,,,,,,
2004:4,725,700,760,715,,,,,,
2005:1,725,695,760,715,,,,,,
2005:2,700,665,740,690,,,,,,
2005:3,660,620,710,650,,,,,,
2005:4,620,575,680,605,,,,,,
2006:1,585,540,645,570,,,,,,
2006:2,545,495,600,525,,,,,,
2006:3,510,455,560,485,,,,,,
2006:4,475,425,520,450,,,,,,
2007:1,448,398,488,418,,,,,,
2007:2,434,385,472,405,,,,,,
2007:3,432,383,468,402,,,,,,
2007:4,438,390,474,409,,,,,,
2008:1,460,412,486,427,,,,,,
2008:2,488,445,510,461,,,,,,
2008:3,531,487,550,504,,,,,,
2008:4,572,528,593,545,,,,,,
2009:1,615,570,639,583,,,,,,
2009:2,671,624,698,639,,,,,,
2009:3,713,666,742,682,,,,,,
2009:4,748,700,778,717,,,,,,
2010:1,760,717,794,734,,,,,,
2010:2,752,709,791,727,,,,,,
2010:3,738,684,780,706,,,,,,
2010:4,712,650,759,672,,,,,,
2011:1,664,599,720,625,,,,,,
2011:2,601,535,662,560,,,,,,
2011:3,539,479,599,503,,,,,,
2011:4,488,437,552,459,,,,,,
2012:1,451,408,513,429,,,,,,
2012:2,438,391,494,416,,,,,,
2012:3,439,398,489,418,,,,,,
2012:4,450,409,495,429,,,,,,
2013:1,476,444,521,459,,,,,,
2013:2,519,486,556,503,,,,,,
2013:3,566,527,595,545,,,,,,
2013:4,615,569,640,587,,,,,,
2014:1,659,611,686,624,,,,,,
2014:2,704,654,732,668,,,,,,
2014:3,738,686,771,702,,,,,,
2014:4,763,711,796,727,,,,,,
2015:1,778,727,815,749,,,,,,
2015:2,776,731,816,747,,,,,,
2015:3,762,712,800,729,,,,,,
2015:4,728,673,770,689,,,,,,
2016:1,675,612,726,633,,,,,,
2016:2,609,546,666,566,,,,,,
2016:3,543,482,605,505,,,,,,
2016:4,489,436,555,458,,,,,,
