,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Norscan,chg %,European Ports,chg %,Difference,,
,,,,,,,,
,1999-01-01 00:00:00,1732000,,890010,,841990,,
,1999-02-01 00:00:00,1695000,-0.021362586605080832,828175,-0.06947674745227582,866825,,
,1999-03-01 00:00:00,1532000,-0.09616519174041298,790375,-0.04564252724363812,741625,,
,1999-04-01 00:00:00,1484000,-0.031331592689295036,773785,-0.020990036375138382,710215,,
,1999-05-01 00:00:00,1427000,-0.03840970350404313,814865,0.05308968253455417,612135,,
,1999-06-01 00:00:00,1340000,-0.06096706377014716,771610,-0.053082412424143875,568390,,
,1999-07-01 00:00:00,1421000,0.06044776119402985,732235,-0.05102966524539599,688765,,
,1999-08-01 00:00:00,1446000,0.017593244194229415,792265,0.08198187740274639,653735,,
,1999-09-01 00:00:00,1258000,-0.13001383125864455,658050,-0.16940670104068714,599950,,
,1999-10-01 00:00:00,1138000,-0.09538950715421304,656090,-0.002978497074690373,481910,,
,1999-11-01 00:00:00,1192000,0.04745166959578207,634565,-0.032807998902589584,557435,,
,1999-12-01 00:00:00,1151000,-0.034395973154362415,597885,-0.05780337711660744,553115,,
,2000-01-01 00:00:00,1295000,0.12510860121633363,781200,0.30660578539351213,513800,,
,2000-02-01 00:00:00,1281000,-0.010810810810810811,821935,0.05214413722478239,459065,,
,2000-03-01 00:00:00,1175000,-0.08274785323965651,734055,-0.10691843028949978,440945,,
,2000-04-01 00:00:00,1219000,0.0374468085106383,755365,0.029030522236072227,463635,,
,2000-05-01 00:00:00,1193000,-0.02132895816242822,766185,0.01432420088301682,426815,,
,2000-06-01 00:00:00,1069000,-0.10393964794635373,765320,-0.0011289701573379796,303680,Correlation,0.8770154606679438
,2000-07-01 00:00:00,1257000,0.17586529466791395,790675,0.0331299325772226,466325,Corr. Of changes,0.5904653187523768
,2000-08-01 00:00:00,1418000,0.1280827366746221,838325,0.0602649634805704,579675,,
,2000-09-01 00:00:00,1369000,-0.03455571227080395,832540,-0.006900665016550861,536460,,
,2000-10-01 00:00:00,1516000,0.10737764791818846,886570,0.06489778268912004,629430,,
,2000-11-01 00:00:00,1659000,0.09432717678100264,956420,0.07878678502543511,702580,,
,2000-12-01 00:00:00,1765000,0.06389391199517781,1114520,0.16530394596516174,650480,,
,2001-01-01 00:00:00,1999000,0.13257790368271954,1143935,0.026392527724939885,855065,,
,2001-02-01 00:00:00,2031000,0.016008004002001,1254915,0.09701600178331811,776085,,
,2001-03-01 00:00:00,1935000,-0.047267355982274745,1292430,0.029894455002928484,642570,,
,2001-04-01 00:00:00,1944000,0.004651162790697674,1366640,0.057418970466485614,577360,,
,2001-05-01 00:00:00,1869000,-0.038580246913580245,1432170,0.04794971609202131,436830,,
,2001-06-01 00:00:00,1805000,-0.03424291064740503,1365985,-0.046213089228234076,439015,,
,,,,,,,,
,Average,1487166.6666666667,0.004459413012890488,894636.5,0.018408695479830966,592530.1666666666,,
