RC,Type,Driver,Name,Source_Reference_Number,Destination_Reference_Number,Destination_Name,Actual_Driver_Quantity,Destination_Module,Source_Module,Period
FXIR,basic,Hours,Senior Specialist,R413-FXIR-SNRSP,ATR1631.01,Participate in Training,0,5,5,2000 Feb
FXIR,basic,Hours,Senior Specialist,R413-FXIR-SNRSP,APE1631.03,Feedback,0,5,5,2000 Feb
FXIR,basic,Hours,Senior Specialist,R413-FXIR-SNRSP,ARMTSXX.01-IR,Ad Hoc Reqs,8.4,4,5,2000 Feb
FXIR,basic,Hours,Senior Specialist,R413-FXIR-SNRSP,ARMDCXX.01-IR,Input/Preparation of Deals,50.4,4,5,2000 Feb
FXIR,basic,Hours,Senior Specialist,R413-FXIR-SNRSP,ARMCBXX.01-IR,Curve Validation,1.68,4,5,2000 Feb
FXIR,basic,Hours,Senior Specialist,R413-FXIR-SNRSP,ARMCBXX.02-IR,Curve Setup,6.72,4,5,2000 Feb
FXIR,basic,Hours,Senior Specialist,R413-FXIR-SNRSP,ARMCBXX.03-IR,Calc Books- S,25.2,4,5,2000 Feb
FXIR,basic,Hours,Senior Specialist,R413-FXIR-SNRSP,ARMCBXX.04-IR,Calc Books - M,8.4,4,5,2000 Feb
FXIR,basic,Hours,Senior Specialist,R413-FXIR-SNRSP,ARMGPXX.01-IR,Daily/Monthly Reporting,8.4,4,5,2000 Feb
FXIR,basic,Hours,Senior Specialist,R413-FXIR-SNRSP,ARMGPXX.04-IR,Rho & Drift Reprting,8.4,4,5,2000 Feb
FXIR,basic,Hours,Senior Specialist,R413-FXIR-SNRSP,ARMGPXX.05-IR,Analyze Changes,25.2,4,5,2000 Feb
FXIR,basic,Hours,Senior Specialist,R413-FXIR-SNRSP,ARMMRXX.05-IR,Recon & Report for Bus Analysis & Report,3.36,4,5,2000 Feb
FXIR,basic,Hours,Senior Specialist,R413-FXIR-SNRSP,ARMMRXX.01-IR,Value@Risk Report,3.36,4,5,2000 Feb
FXIR,basic,Hours,Senior Specialist,R413-FXIR-SNRSP,ARMMRXX.02-IR,Benchmark Reporting,6.72,4,5,2000 Feb
FXIR,basic,Hours,Senior Specialist,R413-FXIR-SNRSP,ARMMRXX.06-IR,Liquid Reporting/Recon,6.72,4,5,2000 Feb
FXIR,basic,Hours,Senior Specialist,R413-FXIR-SNRSP,ARMMRXX.07-IR,Max Exposure Report,5.04,4,5,2000 Feb
FXIR,basic,Hours,Senior Specialist,R413-FXIR-SNRSP,ARMMRXX.08-IR,Flash Reporting,0,4,5,2000 Feb
FXIR,basic,Hours,Specialist,R413-FXIR-SP,ATR1631.01,Participate in Training,0,5,5,2000 Feb
FXIR,basic,Hours,Specialist,R413-FXIR-SP,APE1631.03,Feedback,0,5,5,2000 Feb
