Enron Global Assets and Services,,,,,,,,,,,,,,,
Other Operating Details,,,,,,,,,,,,,,,
$Millions,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Project,,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Dec,,Total Year
,,,,,,,,,,,,,,,
Elektro,,7.7,7.3,7.1,7.5,7,7,6.9,6.4,6.4,6.3,6.3,5.9,,81.8
Vengas,,4.6,4.6,4.6,4.5,4,4.1,4.1,4.1,4.1,4,4.1,4.1,,50.900000000000006
India,,1.9,1.9,2,2,2,2,2,2,2,2,2,2,,23.8
Cuiaba,,1.4,1.4,1.3,1.3,1.3,1.3,1.5,1.5,1.3,1.7,1.7,1.7,,17.4
BLM,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.4,1.8,1.5,1.1,,15.500000000000002
Project Write-off,,0,0,8.3,0,0,8.3,0,0,8.3,0,0,8.3,,33.2
FX reserve,,0,0,2.5,0,0,2.5,0,0,2.5,0,0,2.5,,10
All other consolidated projects*,,4.300000000000001,4.5,3.8999999999999986,4.100000000000001,4.199999999999999,4.200000000000003,3.8000000000000007,3.599999999999998,3.8999999999999986,3.8000000000000007,3.700000000000001,4.199999999999999,,48.2
,,,,,,,,,,,,,,,
,,21.1,20.9,30.9,20.6,19.7,30.6,19.5,18.9,29.9,19.6,19.299999999999997,29.8,,280.8
,,,,,,,,,,,,,,,
"*  Include Calife, San Juan Gas, Progasco, Procaribe, IGL",,,,,,,,,,,,,,,
