Enron Merchandise (everything that is marked with the E),,,,,,,,,
,,,,Sort,Sort,Sales Price,,,
Category,Subcategory,Item,Cost,Category 1,Category 2,1-10,11-25,26-50,51-above
Enron Field Merchandise,,,,,,,,,
,,,,,,,,,
Apparel,Button Down,Denim Long Sleeve,18,Apparel,Shirt-Button Down,,,,
Apparel,Button Down,Jockey  Black/White,20,Apparel,Shirt-Button Down,,,,
Apparel,Cap,Outdoor Cap Mocha or Mocha/Black,4.75,Apparel,Cap,,,,
Apparel,Cap,Hyphat Black or Stone,6.25,Apparel,Cap,,,,
Apparel,Cap,Sportsman Blk/Kahki or Red/Navy,5.25,Apparel,Cap,,,,
Apparel,"Camp Shirt (short sleeve,button down)",Columbia Map Print Camp Shirt,23.75,Apparel,Shirt-Short Sleeve Button Down,,,,
Apparel,"Camp Shirt (short sleeve,button down)",Cutter & Buck Tropic Camp Shirt,30.88,Apparel,Shirt-Short Sleeve Button Down,,,,
Apparel,"Camp Shirt (short sleeve,button down)",Cutter & Buck Pineapple Camp Shirt,30.88,Apparel,Shirt-Short Sleeve Button Down,,,,
Apparel,"Camp Shirt (short sleeve,button down)",Cutter & Buck Pineapple Island Shirt,30.88,Apparel,Shirt-Short Sleeve Button Down,,,,
Apparel,"Camp Shirt (short sleeve,button down)",Cutter & Buck Silk Shirt/Yellow,31.5,Apparel,Shirt-Short Sleeve Button Down,,,,
Apparel,"Camp Shirt (short sleeve,button down)","Jockey Camp Shirt/Taupe,Navy or Oyster",18.5,Apparel,Shirt-Short Sleeve Button Down,,,,
Apparel,Crew (long sleeve),Ash City Crew/ Natural,21,Apparel,Shirt-Long Sleeve Crew,,,,
Apparel,Jacket,North End Mid-Length Jacket/Putty,27.5,Apparel,Jacket,,,,
Apparel,Pullover,North End Fleece Pullover/Black,28.25,Apparel,,,,,
Apparel,Pullover,Port Authority Sueded Pullover/Navy,21,Apparel,,,,,
Apparel,Polo Shirt,Munsing Wear Polo/ Taupe w Black,12.5,Apparel,,,,,
Apparel,Polo Shirt,Vantage Polo/ Blue w White Stripes,17.5,Apparel,,,,,
Apparel,Polo Shirt,A. Garibaldi Yellow Square Print Polo,36,Apparel,,,,,
Apparel,Polo Shirt,A. Garibaldi Circular Print Polo,36,Apparel,,,,,
Apparel,Polo Shirt,A. Garibaldi Square Print Polo,36,Apparel,,,,,
Apparel,Polo Shirt,Greg Norman Polo/Navy or Oatmeal,32,Apparel,,,,,
Apparel,Polo Shirt,Limited Edition Antiqua Polo/Oatmeal,26,Apparel,,,,,
Apparel,Polo Shirt,A. Garibaldi Jacquard Knit Polo,32,Apparel,,,,,
Apparel,Polo Shirt,"OB Air Polo/ Red,Wht,Blk,Grn,Tan,Blue",16,Apparel,,,,,
Apparel,Polo Shirt,"PA Cool Mesh Polo/ Black, Yellow",17,Apparel,,,,,
Apparel,Sweat Shirt,Anvil Sherpa Sweatshirt/Natural,17.5,Apparel,,,,,
Apparel,T-Shirt,"Enron Evolved T-Shirt/Red,White",5.3,Apparel,,,,,
Apparel,T-Shirt,Columbia Omni Dry T-Shrt/Sage or Fossil,20,Apparel,,,,,
Apparel,T-Shirt,Perry Ellis Ribbed Crew/Navy or Grey,17,Apparel,,,,,
Apparel,T-Shirt,"Desert T-Shirt/Red,Orange,Gray,Tan,LtPink (small E on back)",8,Apparel,,,,,
Apparel,T-Shirt,Enless Possibilities Long Sleeve T-Shrt/Blk,8,Apparel,,,,,
Apparel,T-Shirt,Ask Why T-Shirt/Blue,8,Apparel,,,,,
Apparel,T-Shirt,Visions & Values T-Shirt/White,6,Apparel,,,,,
Apparel,Vest,North End Fleece Vest/Brown,22.25,Apparel,,,,,
Apparel,Vest,"Munsing Wear Vest/Navy, Bone",20.5,Apparel,,,,,
Apparel,Windshirt,Antiqua Headwind Windshirt,28,Apparel,,,,,
,,,,,,,,,
,,,,,,,,,
Bags & Luggage,Brief Case,Viaggio Microfiber Briefcase,27.5,Bag,,,,,
Bags & Luggage,Bag,Black Leatherette Computer Bag,27.5,Bag,,,,,
Bags & Luggage,Bag,Sport Duffle Bag/Black,13,Bag,,,,,
Bags & Luggage,Bag,"Tote Sport Bag/Blue,Red,Black",3.25,Bag,,,,,
Bags & Luggage,Bag,Toppers Half Moon Bag/Black,15,Bag,,,,,
Bags & Luggage,Bag,Leeds Durahyde Sport Duffle/Black,13,Bag,,,,,
Bags & Luggage,Bag,Deluxe Koozie Lunch Sack/Red,4.25,Bag,,,,,
Bags & Luggage,Bag,High Tec Messenger Bag/Gray,11.5,Bag,,,,,
Bags & Luggage,Bag,Enron Gift Bag/small,0.5,Bag,,,,,
Bags & Luggage,Back Pack,Computer NW Backpack,17.5,Bag,,,,,
Bags & Luggage,Portfolio,High Tec Portfolio,12,Bag,,,,,
Bags & Luggage,Suit Case,Custom Rolling Luggage/ 2 pc set,78.83,Bag,,,,,
Bags & Luggage,Suit Case,Custom Rolling Luggage/ Large pc,45.63,Bag,,,,,
Bags & Luggage,Suit Case,Custom Rolling Luggage/ Small pc,38.8,Bag,,,,,
Bags & Luggage,Tag,Leeds Luggage Tag,3,Bag,,,,,
,,,,,,,,,
Gadgets,Badge Holders,White Lanyard with Black E,1.5,,,,,,
Gadgets,Badge Holders,Retractable Badge Holder with clip,1.5,,,,,,
Gadgets,Badge Holders,Retractable Badge Holder with neck cord,2,,,,,,
Gadgets,Compact Disc Holder/Case,Leed's Vinyl CD Case/12 CD's/Blue with Black,4,,,,,,
Gadgets,Camera,Fuji Disposable Camera/27 exp-35mm,7.25,,,,,,
Gadgets,Camera,28mm Focus Free Reusable Camera,3.5,,,,,,
Gadgets,Key Chain,"Anodized Carabinder Key Ring/Pink,Green,Blue",3.75,,,,,,
Gadgets,Mug,"24 oz Plastic Thermo Mug/Clear, Blue, Green",2.5,,,,,,
Gadgets,Miscellaneous,"Enron YoYo/Green,Red,Blue",0.93,,,,,,
Gadgets,Miscellaneous,SPF 15 Sunblock Lotion with Snap Clip,1.63,,,,,,
Gadgets,Miscellaneous,Stanley Leverlock 16 ft Tape Measure,7,,,,,,
Gadgets,Miscellaneous,Keywest Sunglasses,2.63,,,,,,
Gadgets,Miscellaneous,Baby's First Bear/Pink or Blue ribbon (white bear),2.5,,,,,,
Gadgets,Miscellaneous,13-1 Computer Repair Kit,7.5,,,,,,
Gadgets,Pen&Pencil,Ask Why Puzzle Pen/Black Ballpoint,1.5,,,,,,
Gadgets,Pen&Pencil,Cookie Monster Duster with Pen,2,,,,,,
Gadgets,Swiss Army,Victorinox Swiss Army Card,12.5,,,,,,
,,,,,,,,,
Tradeshow & Promotional,Bag,Black Plastic Loop Handle Tote,0.4,,,,,,
Tradeshow & Promotional,Bag,"Toppers 6oz Cotton Tote Bag/Grn,Red,Blue",1.5,,,,,,
Tradeshow & Promotional,Computer Accessories,"Monitor Mirror/Red,Green,Blue",3,,,,,,
Tradeshow & Promotional,Computer Accessories,Elliptical Mouse Mask/Blue,2,,,,,,
