,,,,,,Gross,Inception,Today's,Margin,Margin $
Revenue,,,Volume,Total,Gross,Margin,Swaps,Unwind,Rate,locked-in
Year,Shipper,Term,MMBtu/d,MMBtu,Margin,per MMBtu,Spread,Spread,Unwind,on Unwind
,,,,,,,,,,
,,,,,,,,,,
2001,Dynegy,Dec. '01,13500,418500,477090,1.14,,,,
,,,,,,,,,,
,,,,,,,,,,
2002,Dynegy,Nov. '02 - Dec. '02,21500,1311500,1350845,1.03, ,,,
,Reliant,Calendar 2002,27500,10037500,12747625,1.27,1.32,0.94,0.3800000000000001,3814250.000000001
,,,49000,11349000,14098470,1.242265397832408,,,,3814250.000000001
,,,,,,,,,,
,,,,,,,,,,
2003,Dynegy,Calendar 2003,35000,12775000,15585500,1.22,1.18,0.6,0.58,7409499.999999999
,Calpine,Calendar 2003,14000,5110000,6533500,1.2785714285714285,1.2785714285714285,0.6,0.6785714285714285,3467499.9999999995
,,,49000,17885000,22119000,1.236734693877551,,,0.6081632653061223,10876999.999999998
,,,,,,,,,,
,,,Totals,29652500,36694560,1.237486215327544,,,0.5261437908496732,14691250
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quotes as of 3:34 PM 7/19/2001,,,,,,,,,,
,,2002,2002,,2003,2003,,,,
Buy Spread ,,Bid,Offer,,Bid,Offer,,,,
  Buy Socal,,52,58,,30,34,,,,
  Sell SJ,,-36,-34,,-26,-24,,,,
