Date Peak Daily Vol,Daily Volatility Peak Daily Vol,Date Off-Peak Daily Vol,Daily Volatility Off-Peak Daily Vol,Date Peak Monthly Vol,Volatility Peak Monthly Vol,Date Off-Peak Monthly Vol,Volatility Off-Peak Monthly Vol
2001-11-01 00:00:00,1.5,2001-11-01 00:00:00,0.75,2001-11-01 00:00:00,1.1162,2001-11-01 00:00:00,0.5581
2001-12-01 00:00:00,1.5,2001-12-01 00:00:00,0.75,2001-12-01 00:00:00,1.0127,2001-12-01 00:00:00,0.5063
2002-01-01 00:00:00,1.25,2002-01-01 00:00:00,0.625,2002-01-01 00:00:00,0.9809,2002-01-01 00:00:00,0.4905
2002-02-01 00:00:00,1.15,2002-02-01 00:00:00,0.575,2002-02-01 00:00:00,0.9308,2002-02-01 00:00:00,0.4654
2002-03-01 00:00:00,1.15,2002-03-01 00:00:00,0.575,2002-03-01 00:00:00,0.939,2002-03-01 00:00:00,0.4695
2002-04-01 00:00:00,1.1,2002-04-01 00:00:00,0.55,2002-04-01 00:00:00,0.8959,2002-04-01 00:00:00,0.4479
2002-05-01 00:00:00,1.1,2002-05-01 00:00:00,0.55,2002-05-01 00:00:00,0.8527,2002-05-01 00:00:00,0.4263
2002-06-01 00:00:00,1.25,2002-06-01 00:00:00,0.625,2002-06-01 00:00:00,0.8376,2002-06-01 00:00:00,0.4188
2002-07-01 00:00:00,1.5,2002-07-01 00:00:00,0.75,2002-07-01 00:00:00,1.1338,2002-07-01 00:00:00,0.5669
2002-08-01 00:00:00,1.75,2002-08-01 00:00:00,0.875,2002-08-01 00:00:00,1.2075,2002-08-01 00:00:00,0.6037
2002-09-01 00:00:00,1.5,2002-09-01 00:00:00,0.75,2002-09-01 00:00:00,0.973,2002-09-01 00:00:00,0.4865
2002-10-01 00:00:00,1.25,2002-10-01 00:00:00,0.625,2002-10-01 00:00:00,0.7883,2002-10-01 00:00:00,0.3942
2002-11-01 00:00:00,1.25,2002-11-01 00:00:00,0.625,2002-11-01 00:00:00,0.5828,2002-11-01 00:00:00,0.2914
2002-12-01 00:00:00,1.25,2002-12-01 00:00:00,0.625,2002-12-01 00:00:00,0.5694,2002-12-01 00:00:00,0.2847
2003-01-01 00:00:00,1.25,2003-01-01 00:00:00,0.625,2003-01-01 00:00:00,0.5541,2003-01-01 00:00:00,0.2771
