,,,,,,,ENRON POW,ER TRADING &,TRANSMISSION,,,,,,Run Date,:       08/31,/01,,
Report Da,te:  08/31/01,,,,,,,Deal Summar,y,,,,,,Run Time,:       16:10,:59,,
Post ID:,12573,,,,,,,,,,,,,,,,,,
Desk: ALB,ERTA-HOURLY,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Trade,Start,End,,,,,,,,,,Current,,,,Prior Day,Prior
Deal,Counter,Date,Date,Date,Anty,Delivery,PV'd,Swap Vol,PV'd,Option Vol,Notional,Deal Vol,,Deal,MTM P/L,,LTD,Hedge,Day
Number,Party,MM/DD/YY,MM/DD/YY,MM/DD/YY,Y/N,Point,Peak,Off Peak,Peak,Off Peak,Peak,Off Peak,Price Mid,Basis Mid,Total Mid,Prudent,Liquidations,Management,Liquidations
---------,------------------,--------,--------,--------,----,------------------------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,----------------,---------------,-------------
,,,,,,,,,,,,,,,,,,,
714168,AB TRANSFER,2001-08-01 00:00:00,2001-08-02 00:00:00,2001-08-02 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,6192
714170,AB TRANSFER,2001-08-01 00:00:00,2001-08-02 00:00:00,2001-08-02 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,878
714171,AB TRANSFER,2001-08-01 00:00:00,2001-08-02 00:00:00,2001-08-02 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-908
714172,AB TRANSFER,2001-07-31 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,5879
716010,AB TRANSFER,2001-08-02 00:00:00,2001-08-03 00:00:00,2001-08-03 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,10304
722210,AB TRANSFER,2001-08-07 00:00:00,2001-08-08 00:00:00,2001-08-08 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-10702
725534,AB TRANSFER,2001-08-09 00:00:00,2001-08-10 00:00:00,2001-08-10 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-5811
725538,AB TRANSFER,2001-08-09 00:00:00,2001-08-10 00:00:00,2001-08-10 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,4461
725675,AB TRANSFER,2001-08-08 00:00:00,2001-08-09 00:00:00,2001-08-09 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,4417
731280,AB TRANSFER,2001-08-14 00:00:00,2001-08-15 00:00:00,2001-08-15 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-9009
733322,AB TRANSFER,2001-08-15 00:00:00,2001-08-16 00:00:00,2001-08-16 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-7573
733327,AB TRANSFER,2001-08-15 00:00:00,2001-08-16 00:00:00,2001-08-16 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-7573
733511,AB TRANSFER,2001-08-15 00:00:00,2001-08-17 00:00:00,2001-08-17 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-4771
737898,AB TRANSFER,2001-08-17 00:00:00,2001-08-18 00:00:00,2001-08-19 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,8406
742438,AB TRANSFER,2001-08-21 00:00:00,2001-08-22 00:00:00,2001-08-22 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-851
744667,AB TRANSFER,2001-08-22 00:00:00,2001-08-23 00:00:00,2001-08-23 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,2299
744670,AB TRANSFER,2001-08-22 00:00:00,2001-08-23 00:00:00,2001-08-23 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,4699
745908,AB TRANSFER,2001-08-23 00:00:00,2001-08-24 00:00:00,2001-08-24 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,10591
746643,AB TRANSFER,2001-08-23 00:00:00,2001-08-25 00:00:00,2001-08-26 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-9340
747760,AB TRANSFER,2001-08-23 00:00:00,2001-08-22 00:00:00,2001-08-22 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-1001
747766,AB TRANSFER,2001-08-23 00:00:00,2001-08-23 00:00:00,2001-08-23 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-2069
747771,AB TRANSFER,2001-08-23 00:00:00,2001-08-24 00:00:00,2001-08-24 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-11191
748168,AB TRANSFER,2001-08-24 00:00:00,2001-08-25 00:00:00,2001-08-26 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,12340
748179,AB TRANSFER,2001-08-24 00:00:00,2001-08-27 00:00:00,2001-08-27 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,2501
752228,AB TRANSFER,2001-08-28 00:00:00,2001-08-28 00:00:00,2001-08-28 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-801
754489,AB TRANSFER,2001-08-29 00:00:00,2001-08-29 00:00:00,2001-08-29 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,5847
754497,AB TRANSFER,2001-08-29 00:00:00,2001-08-29 00:00:00,2001-08-29 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,5847
754501,AB TRANSFER,2001-08-29 00:00:00,2001-08-29 00:00:00,2001-08-29 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-229
754512,AB TRANSFER,2001-08-29 00:00:00,2001-08-29 00:00:00,2001-08-29 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-979
754956,AB TRANSFER,2001-08-29 00:00:00,2001-08-30 00:00:00,2001-08-30 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,2208
754961,AB TRANSFER,2001-08-29 00:00:00,2001-08-31 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,-2,1800
757340,AB TRANSFER,2001-08-30 00:00:00,2001-09-01 00:00:00,2001-09-03 00:00:00,No,Financial Deal - R21 (Alberta),0,-1195,0,0,0,-1200,3985,0,3985,3985,,3586,0
757623,AB TRANSFER,2001-08-30 00:00:00,2001-09-01 00:00:00,2001-09-03 00:00:00,No,Alberta Power Pool,0,1793,0,0,0,1800,-5977,0,-5977,-5977,,-5379,0
710959,AQUILACANCOR,2001-07-31 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-6629
711080,AQUILACANCOR,2001-07-31 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-6479
713258,AQUILACANCOR,2001-08-01 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-481
713348,AQUILACANCOR,2001-08-01 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-481
713377,AQUILACANCOR,2001-08-01 00:00:00,2001-08-02 00:00:00,2001-08-02 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,3792
713831,AQUILACANCOR,2001-08-01 00:00:00,2001-08-02 00:00:00,2001-08-02 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-7392
717115,AQUILACANCOR,2001-08-03 00:00:00,2001-08-04 00:00:00,2001-08-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,4223
721180,AQUILACANCOR,2001-08-07 00:00:00,2001-08-07 00:00:00,2001-08-07 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-3334
721527,AQUILACANCOR,2001-08-07 00:00:00,2001-08-08 00:00:00,2001-08-08 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,10552
721646,AQUILACANCOR,2001-08-07 00:00:00,2001-08-08 00:00:00,2001-08-08 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-11752
725251,AQUILACANCOR,2001-08-09 00:00:00,2001-08-10 00:00:00,2001-08-10 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,4461
725257,AQUILACANCOR,2001-08-09 00:00:00,2001-08-10 00:00:00,2001-08-10 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-11322
725258,AQUILACANCOR,2001-08-09 00:00:00,2001-08-10 00:00:00,2001-08-10 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-5661
726611,AQUILACANCOR,2001-08-10 00:00:00,2001-08-10 00:00:00,2001-08-10 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,120
727341,AQUILACANCOR,2001-08-10 00:00:00,2001-08-13 00:00:00,2001-08-13 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,2297
728319,AQUILACANCOR,2001-08-13 00:00:00,2001-08-14 00:00:00,2001-08-14 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-481
728630,AQUILACANCOR,2001-08-13 00:00:00,2001-08-14 00:00:00,2001-08-14 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-481
728834,AQUILACANCOR,2001-08-13 00:00:00,2001-08-14 00:00:00,2001-08-14 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-419
728861,AQUILACANCOR,2001-08-13 00:00:00,2001-08-13 00:00:00,2001-08-13 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-849
732842,AQUILACANCOR,2001-08-15 00:00:00,2001-08-15 00:00:00,2001-08-15 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-9380
733505,AQUILACANCOR,2001-08-15 00:00:00,2001-08-16 00:00:00,2001-08-16 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,3073
734549,AQUILACANCOR,2001-08-16 00:00:00,2001-08-17 00:00:00,2001-08-17 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-2071
