THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01
THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01
THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01
,,,,,,,,
Trader ID,Product Name,Count of Buy Activity,Count of Sell Activity,Count of Total Activity,Buy Volume,Sell Volume,Total Volume,Wood Factor
FERMIS,,,,,,,,
,US Gas Basis CIG Rky Mtn Mar02,1,,1,5000,,5000,5000
,US Gas Basis CIG Rky Mtn Oct01,,9,9,,65000,65000,7222.222222222223
,US Gas Basis NWPL RkyMtn Apr-Oct02,7,8,15,35000,40000,75000,5000
,US Gas Basis NWPL RkyMtn Dec01,1,,1,5000,,5000,5000
,US Gas Basis NWPL RkyMtn Nov01,3,2,5,15000,10000,25000,5000
,US Gas Basis NWPL RkyMtn Nov01-Mar02,,11,11,,80000,80000,7272.727272727273
,US Gas Basis NWPL RkyMtn Oct01,34,38,72,305000,330000,635000,8819.444444444445
,US Gas Daily Kern River/Opal,14,23,37,85000,115000,200000,5405.405405405405
,US Gas Phy Opal,130,187,317,618600,822371,1440971,4545.649842271293
FERMIS Total,,190,278,468,1068600,1462371,2530971,5408.057692307692
,,,,,,,,
JREITME,,,,,,,,
,US Gas Daily Cheyenne Hub,2,4,6,10000,20000,30000,5000
,US Gas Daily CIG(N.syst),2,4,6,10000,20000,30000,5000
,US Gas Phy Cheyenne Hub,59,57,116,221930,233617,455547,3927.1293103448274
,US Gas Phy CIG Mainline,51,83,134,212145,334906,547051,4082.4701492537315
,US Gas Phy WIC,25,42,67,104800,172163,276963,4133.776119402985
