,,,,,,,,,
,,,,,,,,,
,,P O S T I D s,P O S T I D s,,,,,,
,,Options,1283867.0,,Month,Strike,Call/Put,Notional,Delta
,,,,,2001-09-01 00:00:00,0,C,0,0
,,,,,2001-09-01 00:00:00,0,P,0,0
,,,,,2001-09-01 00:00:00,2.95,C,0,0
,,,,,2001-09-01 00:00:00,2.95,P,0,0
,,,,,2001-09-01 00:00:00,3,C,0,0
,,,,,2001-09-01 00:00:00,3,P,0,0
,,,,,2001-09-01 00:00:00,3.05,C,0,0
,,,,,2001-09-01 00:00:00,3.05,P,0,0
,,,,,2001-10-01 00:00:00,2.4,C,900000,514069.6433
,,,,,2001-10-01 00:00:00,2.4,P,900000,-384212.4975
,,,,,2001-10-01 00:00:00,2.45,C,500000,261793.1398
,,,,,2001-10-01 00:00:00,2.45,P,500000,-237252.494
,,,,,2001-10-01 00:00:00,2.55,C,300000,129354.6485
,,,,,2001-10-01 00:00:00,2.55,P,300000,-170072.7318
,,,,,2001-10-01 00:00:00,2.75,C,300000,81402.5072
,,,,,2001-10-01 00:00:00,2.75,P,300000,-218024.8731
,,,,,2001-11-01 00:00:00,2.75,P,-450000,204944.4931
,,,,,2001-11-01 00:00:00,3,P,-350000,208241.5001
,,,,,2001-12-01 00:00:00,3,P,-700000,289052.56
,,,,,2002-01-01 00:00:00,2.5,P,-1300000,224837.9066
,,,,,2002-01-01 00:00:00,3,P,-1050000,371006.6879
,,,,,2002-01-01 00:00:00,3.25,P,-4050000,1811693.1188
,,,,,2002-02-01 00:00:00,2.5,P,-1300000,251303.6683
,,,,,2002-02-01 00:00:00,3,P,-1050000,380321.5316
,,,,,2002-02-01 00:00:00,3.25,P,-4050000,1812112.5726
,,,,,2002-03-01 00:00:00,2.4,P,-31000000,5469935.1064
,,,,,2002-03-01 00:00:00,3,P,-25000000,9644862.8426
,,,,,2002-04-01 00:00:00,2.5,P,31000000,-7236837.3371
,,,,,2002-04-01 00:00:00,3,C,150000,84430.0403
,,,,,2002-04-01 00:00:00,3,P,25150000,-10512245.8409
,,,,,2002-04-01 00:00:00,3.05,C,100000,54475.4143
,,,,,2002-04-01 00:00:00,3.05,P,100000,-43609.4734
,,,,,2002-04-01 00:00:00,3.1,C,250000,131724.2742
,,,,,2002-04-01 00:00:00,3.1,P,250000,-113487.9451
,,,,,2002-04-01 00:00:00,3.2,C,100000,49204.3753
,,,,,2002-04-01 00:00:00,3.2,P,100000,-48880.5124
,,,,,2002-04-01 00:00:00,3.6,C,150000,55049.0163
,,,,,2002-04-01 00:00:00,3.6,P,150000,-92078.3153
,,,,,2002-04-01 00:00:00,3.7,C,300000,101859.9129
,,,,,2002-04-01 00:00:00,3.7,P,300000,-192394.7503
,,,,,2002-05-01 00:00:00,2.5,P,0,0
,,,,,2002-05-01 00:00:00,3,C,150000,85469.7305
,,,,,2002-05-01 00:00:00,3,P,150000,-61210.4283
,,,,,2002-05-01 00:00:00,3.05,C,100000,55188.2722
,,,,,2002-05-01 00:00:00,3.05,P,100000,-42598.5003
,,,,,2002-05-01 00:00:00,3.1,C,255000,136223.0619
,,,,,2002-05-01 00:00:00,3.1,P,255000,-113133.208
,,,,,2002-05-01 00:00:00,3.2,C,100000,49964.9002
,,,,,2002-05-01 00:00:00,3.2,P,100000,-47821.8723
,,,,,2002-05-01 00:00:00,3.6,C,155000,58113.3122
,,,,,2002-05-01 00:00:00,3.6,P,155000,-93456.1852
,,,,,2002-05-01 00:00:00,3.7,C,310000,107661.1206
,,,,,2002-05-01 00:00:00,3.7,P,310000,-195477.8742
,,,,,2002-06-01 00:00:00,2.5,P,0,0
,,,,,2002-06-01 00:00:00,3,C,150000,87093.8938
,,,,,2002-06-01 00:00:00,3,P,150000,-59109.9625
,,,,,2002-06-01 00:00:00,3.05,C,100000,56300.3391
,,,,,2002-06-01 00:00:00,3.05,P,100000,-41168.8985
,,,,,2002-06-01 00:00:00,3.1,C,250000,136396.0295
,,,,,2002-06-01 00:00:00,3.1,P,250000,-107277.0643
,,,,,2002-06-01 00:00:00,3.2,C,100000,51148.4309
,,,,,2002-06-01 00:00:00,3.2,P,100000,-46320.8067
,,,,,2002-06-01 00:00:00,3.6,C,150000,58163.8042
,,,,,2002-06-01 00:00:00,3.6,P,150000,-88040.0521
,,,,,2002-06-01 00:00:00,3.7,C,300000,108044.0916
,,,,,2002-06-01 00:00:00,3.7,P,300000,-184363.6211
,,,,,2002-07-01 00:00:00,2.5,P,0,0
,,,,,2002-07-01 00:00:00,3,C,150000,89195.1403
,,,,,2002-07-01 00:00:00,3,P,150000,-56594.832
,,,,,2002-07-01 00:00:00,3.05,C,100000,57796.5165
,,,,,2002-07-01 00:00:00,3.05,P,100000,-39396.7983
,,,,,2002-07-01 00:00:00,3.1,C,255000,143167.7357
,,,,,2002-07-01 00:00:00,3.1,P,255000,-104675.2172
,,,,,2002-07-01 00:00:00,3.2,C,100000,52902.9909
,,,,,2002-07-01 00:00:00,3.2,P,100000,-44290.324
,,,,,2002-07-01 00:00:00,3.6,C,155000,63601.2836
,,,,,2002-07-01 00:00:00,3.6,P,155000,-87048.3544
,,,,,2002-07-01 00:00:00,3.7,C,310000,118901.0239
,,,,,2002-07-01 00:00:00,3.7,P,310000,-182398.2521
,,,,,2002-08-01 00:00:00,2.5,P,0,0
,,,,,2002-08-01 00:00:00,3,C,150000,90753.7031
,,,,,2002-08-01 00:00:00,3,P,150000,-54562.1025
,,,,,2002-08-01 00:00:00,3.05,C,100000,58935.6573
,,,,,2002-08-01 00:00:00,3.05,P,100000,-37941.5464
,,,,,2002-08-01 00:00:00,3.1,C,255000,146321.739
,,,,,2002-08-01 00:00:00,3.1,P,255000,-100715.1305
,,,,,2002-08-01 00:00:00,3.2,C,100000,54322.8832
,,,,,2002-08-01 00:00:00,3.2,P,100000,-42554.3205
,,,,,2002-08-01 00:00:00,3.6,C,155000,66710.1726
,,,,,2002-08-01 00:00:00,3.6,P,155000,-83449.4932
,,,,,2002-08-01 00:00:00,3.7,C,310000,125487.6366
,,,,,2002-08-01 00:00:00,3.7,P,310000,-174831.695
,,,,,2002-09-01 00:00:00,2.5,P,0,0
,,,,,2002-09-01 00:00:00,3,C,150000,90606.9477
,,,,,2002-09-01 00:00:00,3,P,150000,-54215.3582
,,,,,2002-09-01 00:00:00,3.05,C,100000,58917.9804
,,,,,2002-09-01 00:00:00,3.05,P,100000,-37630.2235
,,,,,2002-09-01 00:00:00,3.1,C,250000,143608.6543
,,,,,2002-09-01 00:00:00,3.1,P,250000,-97761.8555
,,,,,2002-09-01 00:00:00,3.2,C,100000,54543.891
,,,,,2002-09-01 00:00:00,3.2,P,100000,-42004.313
,,,,,2002-09-01 00:00:00,3.6,C,150000,65741.9363
,,,,,2002-09-01 00:00:00,3.6,P,150000,-79080.3696
,,,,,2002-09-01 00:00:00,3.7,C,300000,124160.6464
,,,,,2002-09-01 00:00:00,3.7,P,300000,-165483.9654
,,,,,2002-10-01 00:00:00,2.5,P,0,0
,,,,,2002-10-01 00:00:00,3,C,150000,90906.5345
,,,,,2002-10-01 00:00:00,3,P,150000,-53453.1972
,,,,,2002-10-01 00:00:00,3.05,C,100000,59166.7875
,,,,,2002-10-01 00:00:00,3.05,P,100000,-37073.0336
,,,,,2002-10-01 00:00:00,3.1,C,255000,147238.9938
,,,,,2002-10-01 00:00:00,3.1,P,255000,-98172.55
,,,,,2002-10-01 00:00:00,3.2,C,100000,54934.8319
,,,,,2002-10-01 00:00:00,3.2,P,100000,-41304.9892
,,,,,2002-10-01 00:00:00,3.6,C,155000,69044.8754
,,,,,2002-10-01 00:00:00,3.6,P,155000,-80126.8473
,,,,,2002-10-01 00:00:00,3.7,C,310000,130739.3722
