,,,,
Commodity Desk,No.,Short Description,,Long Description
,1,UK Gas,,
,2,UK Power,,
,3,Continental Power,,
,4,Iberian Power,,
,5,Continental Gas,,
,6,Eastern European Power,,
,7,Coal,,
,8,Weather,,
,9,Global Liquids,,
,,,,
Physical/ Financial,No.,Short Description,,Long Description
,1,Physical,,
,2,Financial,,
,,,,
Instrument,No.,Short Description,,Long Description
,1,Swap,,
,2,Option,,
,3,Swaption,,
,4,Swing ,,
,5,Capacity,,
,6,Physical Supply,,
,7,Option on Physical Supply,,
,,,,
Location,No.,Short Description,,Long Description
,1,NBP,,
,2,Bacton,,
,3,St.Fergus,,
,4,Teesside,,
,5,Laufenburg,,
,6,Into PE,,
,7,Dutch Border,,
,8,Zeebrugge ,,
,9,Bulgaria-Turkey Border,,
,10,Romania,,
,11,Bulgaria-Greece Border,,
,12,Russia-Finland Border,,
,13,ARA (CIF),,
,14,London Heathrow IWMO 37720,,
,15,Oslo NMO 18700,,
,16,ARA,,
,17,MED,,
,,,,
Term,No.,Short Description,,Long Description
,1,Within Day,,
,2,Day Ahead,,
,3,Week Ahead,,
,4,Balance of Month,,
,5,Prompt Mth,,
,6,1 week,,
,7,2 weeks,,
,8,4 weeks,,
,9,6 weeks,,
,10,1 month,,
,11,3 months,,
,12,6 months,,
,13,1 Year,,
,14,Jan,,
,15,Feb,,
,16,Mar,,
,17,Apr,,
,18,May,,
,19,Jun,,
,20,Jul,,
,21,Aug,,
,22,Sep,,
,23,Oct,,
,24,Nov,,
,25,Dec,,
,26,Q1,,
,27,Q2,,
,28,Q3,,
,29,Q4,,
,30,Winter,,
,31,Summer,,
,32,Year Starting Oct-1999,,
,33,Year Starting Oct-2000,,
,34,Year Starting Oct-2001,,
,35,Year Starting Apr-2000,,
,36,Year Starting Apr-2001,,
,37,Year Starting Jan-2000,,
,38,Year Starting Jan-2001,,
,,,,
Load Profile,No.,Short Description,,Long Description
,1,Baseload,,
,2,UK Peak (WD345),,
,3,UK Off-Peak (WD126+WE),,
,4,UK LS44,,
,5,UK Extended Peaks (WD3456),,
,6,UK Overnights (WD12+WE12),,
,7,Continental WD Peak,,
,8,Continental WD Shoulder,,
,9,Continental WD Nights,,
,10,Continental WE,,
,11,Iberian WDWE Peaks,,
,12,Iberian WDWE Off-Peaks,,
,13,Iberian WD Peaks ,,
,,,,
Index,No.,Short Description,,Long Description
,1,IPE Gas Prompt Month Average,,
,2,UK Gas Heren Index,,
,3,PPP,,
,4,SMP,,
,5,LOLP,,
,6,PMH Time-Weighted,,
,7,PMH Volume-Weighted,,
,8,Intraday PMH,,
,9,Platt's ,,
,10,IPE,,
,11,SWEP,,
,12,CEPI,,
,13,APX,,
,,,,
Currency,No.,Short Description,,Long Description
,1,USD,,
,2,GBP,,
,3,EUR,,
,4,DEM,,
,5,NGL,,
,6,FFR,,
,7,BLG,,
,8,CHF,,
,9,ITL,,
,10,NOK,,
,11,SEK,,
,12,FIN,,
,,,,
Units,No.,Short Description,,Long Description
,1,therms,,
,2,MMBtu,,
,3,kWh,,
,4,GJ,,
,5,MWh,,
,6,mt,,
,7,cm,,
,8,HDD,,
,9,CDD,,
,10,mm - for Precip,,
,11,m - for Snow,,
,12,m/sec - for Wind Speed ,,
,13,hrs/day - for Sunlight,,
,14,% - for humidity,,
,,,,
Option Type,No.,Short Description,,Long Description
,1,Call,,
,2,Put,,
,3,Call Swaption,,
,4,Put Swaption,,
,5,Strip of Quartely Calls,,
,6,Strip of Quartely Puts,,
,,,,
Calendar Type,No.,Short Description,,Long Description
,1,Georgian,,
,2,EFA,,
,,,,
Grid Level,No.,Short Description,,Long Description
,1,High Voltage,,
,2,110kv,,
,,,,
Interruptibility,No.,Short Description,,Long Description
,1,Financial Firm,,
,2,System Firm,,
,3,Interruptible,,
,,,,
Transmission Risk,No.,Short Description,,Long Description
,1,Buyer,,
,2,Seller,,
,,,,
Balancing Company,No.,Short Description,,Long Description
,1,,,
,2,,,
,3,,,
,,,,
Specifications,No.,Short Description,,Long Description
,1,Steam Coal 1,,
,2,Steam Coal 2,,
,3,Steam Coal 3,,
,4,Rejection Coal,,
,,,,
Climatic Condition ,No.,Short Description,,Long Description
,1,Temperature,,
,2,Precipitation,,
,3,Snow,,
,4,Wind,,
,5,Cloud Cover,,
,6,Sunlight Hours,,
,7,Humidity,,
,8,Percieved Temperature,,
,,,,
Weather Reference Basis,No.,Short Description,,Long Description
,1,18C,,
,2,20C,,
,3,Average Daily Wind 12m/sec,,
,4,Sunlight 6 hrs/day,,
,,,,
Payout per Unit for Weather,No.,Short Description,,Long Description
,1,,,
,2,,,
,,,,
Maximum Payout,No.,Short Description,,Long Description
,1,,,
,2,,,
,,,,
Swing %,No.,Short Description,,Long Description
,1,,,
,2,,,
,,,,
Option Strike,No.,Short Description,,Long Description
,1,,,
,2,,,
,,,,
Option Expiry Date,No.,Short Description,,Long Description
,1,,,
,2,,,
