Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis)
2018-08-04 16:44:34.370000,2018-08-04 16:44:34.370000,2018-08-04 16:44:34.370000,2018-08-04 16:44:34.370000,2018-08-04 16:44:34.370000,2018-08-04 16:44:34.370000,2018-08-04 16:44:34.370000,2018-08-04 16:44:34.370000,2018-08-04 16:44:34.370000,2018-08-04 16:44:34.370000,2018-08-04 16:44:34.370000,2018-08-04 16:44:34.370000,2018-08-04 16:44:34.370000,2018-08-04 16:44:34.370000,2018-08-04 16:44:34.370000,2018-08-04 16:44:34.370000,2018-08-04 16:44:34.370000,2018-08-04 16:44:34.370000,2018-08-04 16:44:34.370000
,Socal,Socal,PG&E/ Gate,PG&E/ Gate,Malin,Malin,AECO,AECO,Sumas,Sumas,Rox,Rox,Juan,Juan,Perm,Perm,Waha,Waha
,,,,,,,,,,,,,,,,,,
F 02,-0.08,-0.06,0.16999999999999998,0.18999999999999997,-0.08,-0.06,-0.38,-0.35,-0.19,-0.17,-0.34,-0.32,-0.225,-0.215,-0.08,-0.07,-0.04,-0.03
G 02,-0.12,-0.09999999999999999,0.1,0.12000000000000001,-0.12,-0.09999999999999999,-0.45,-0.42000000000000004,-0.25,-0.23,-0.44,-0.42,-0.36,-0.35,-0.17,-0.16,-0.14,-0.13
H 02,-0.12,-0.09999999999999999,0.08000000000000002,0.10000000000000002,-0.12,-0.09999999999999999,-0.5,-0.47,-0.38,-0.36,-0.52,-0.5,-0.43,-0.42,-0.17,-0.16,-0.14,-0.13
J 02,-0.2,-0.185,-0.03,-0.009999999999999998,-0.26,-0.24000000000000002,-0.51,-0.495,-0.42999999999999994,-0.4099999999999999,-0.58,-0.57,-0.405,-0.395,-0.19,-0.18,-0.14,-0.13
K 02,-0.13,-0.115,0.04000000000000001,0.06000000000000001,-0.19,-0.17,-0.51,-0.495,-0.42999999999999994,-0.4099999999999999,-0.58,-0.57,-0.405,-0.395,-0.19,-0.18,-0.14,-0.13
M 02,-0.06,-0.045,0.11000000000000001,0.13,-0.12,-0.09999999999999999,-0.51,-0.495,-0.42999999999999994,-0.4099999999999999,-0.58,-0.57,-0.405,-0.395,-0.19,-0.18,-0.14,-0.13
N 02,0.04000000000000001,0.05500000000000001,0.14,0.16,-0.12,-0.09999999999999999,-0.51,-0.495,-0.48,-0.45999999999999996,-0.63,-0.62,-0.385,-0.375,-0.14,-0.13,-0.08,-0.07
Q 02,0.1,0.115,0.2,0.22,-0.04999999999999999,-0.02999999999999999,-0.51,-0.495,-0.48,-0.45999999999999996,-0.63,-0.62,-0.385,-0.375,-0.14,-0.13,-0.08,-0.07
U 02,0.1,0.115,0.2,0.22,-0.04999999999999999,-0.02999999999999999,-0.51,-0.495,-0.48,-0.45999999999999996,-0.63,-0.62,-0.385,-0.375,-0.14,-0.13,-0.08,-0.07
V 02,0.010000000000000009,0.02500000000000001,0.14500000000000002,0.165,-0.12,-0.09999999999999999,-0.51,-0.495,-0.4,-0.38,-0.55,-0.54,-0.325,-0.315,-0.14,-0.13,-0.125,-0.115
X 02,0.015000000000000001,0.035,0.165,0.185,0.035,0.05500000000000001,-0.415,-0.39499999999999996,0.025,0.055,-0.315,-0.305,-0.25,-0.24,-0.135,-0.125,-0.14500000000000002,-0.135
Z02,0.015000000000000001,0.035,0.21500000000000002,0.23500000000000001,-0.014999999999999998,0.005000000000000003,-0.415,-0.39499999999999996,0.07500000000000001,0.10500000000000001,-0.295,-0.285,-0.24,-0.22999999999999998,-0.14500000000000002,-0.135,-0.15000000000000002,-0.14
,,,,,,,,,,,,,,,,,,
Q1 02,-0.10666666666666667,-0.08666666666666666,0.11666666666666668,0.1366666666666667,-0.10666666666666667,-0.08666666666666666,-0.44333333333333336,-0.41333333333333333,-0.2733333333333334,-0.25333333333333335,-0.43333333333333335,-0.41333333333333333,-0.3383333333333333,-0.3283333333333333,-0.14,-0.13,-0.10666666666666669,-0.09666666666666668
