Harbor Gas ,,,,,
,,,,,
Month:,August,,,,
,,,,,
,,,Gas Daily,Gas Daily,Amount Due
Date,Order,Usage,$/MMBtu,$/MMBtu,$
2001-08-01 00:00:00,,3,,,0
2001-08-02 00:00:00,5000,12272,3.735,3.835,19175
2001-08-03 00:00:00,,12708,,0.1,0
2001-08-04 00:00:00,,2,,0.1,0
2001-08-05 00:00:00,,6,,0.1,0
2001-08-06 00:00:00,,0,,0.1,0
2001-08-07 00:00:00,7500,7967.3,3.64,3.74,28050
2001-08-08 00:00:00,7500,8480.7,3.65,3.75,28125
2001-08-09 00:00:00,16000,9761.3,3.47,3.5700000000000003,57120.00000000001
2001-08-10 00:00:00,,1.8,,0.1,0
2001-08-11 00:00:00,,,,0.1,0
2001-08-12 00:00:00,,,,0.1,0
2001-08-13 00:00:00,,,,0.1,0
2001-08-14 00:00:00,,,,0.1,0
2001-08-15 00:00:00,7500,,3.075,3.1750000000000003,23812.500000000004
2001-08-16 00:00:00,,,,0.1,0
2001-08-17 00:00:00,,,,0.1,0
2001-08-18 00:00:00,,,,0.1,0
2001-08-19 00:00:00,,,,0.1,0
2001-08-20 00:00:00,,,,0.1,0
2001-08-21 00:00:00,,,,0.1,0
2001-08-22 00:00:00,,,,0.1,0
2001-08-23 00:00:00,,,,0.1,0
2001-08-24 00:00:00,7702,,,0.1,770.2
2001-08-25 00:00:00,,,,0.1,0
2001-08-26 00:00:00,,,,0.1,0
2001-08-27 00:00:00,,,,0.1,0
2001-08-28 00:00:00,,,,0.1,0
2001-08-29 00:00:00,,,,0.1,0
2001-08-30 00:00:00,,,,0.1,0
2001-08-31 00:00:00,,,,0.1,0
Balance,51202,51202.100000000006,,,157052.7
