Montfort Turbine-7,,,,,,,,,,,
2/1/2002-3/16/2002,,,,,,,,,,,
,,,,,,,,,,,
,,System,System,Start,Start,End,End,Wind,Number,Power,Ref
,Index,Type,Number,Date,Time,Date,Time,Speed,Points,kW,Power
,,,,,,,,,,,
1,1,,,,,,,0,,,0
2,2,,,,,,,0.5,,,0
3,3,,,,,,,1,,,0
4,4,,,,,,,1.5,,,0
5,5,EWB1.5s,840001007,2002-03-12 00:00:00,12:01:10,2002-03-12 00:00:00,12:01:10,2,1,2,0
6,6,EWB1.5s,840001007,2002-03-01 00:00:00,18:09:34,2002-03-12 00:00:00,12:21:17,2.5,9,-6.4,0
7,7,EWB1.5s,840001007,2002-02-13 00:00:00,02:31:36,2002-03-15 00:00:00,06:20:54,3,52,8.3,8
8,8,EWB1.5s,840001007,2002-02-04 00:00:00,09:53:39,2002-03-16 00:00:00,08:09:16,3.5,120,28.7,16
9,9,EWB1.5s,840001007,2002-02-04 00:00:00,09:43:39,2002-03-16 00:00:00,09:39:20,4,173,50,35
10,10,EWB1.5s,840001007,2002-02-03 00:00:00,08:43:22,2002-03-16 00:00:00,09:49:20,4.5,205,84.4,64
11,11,EWB1.5s,840001007,2002-02-01 00:00:00,16:47:35,2002-03-16 00:00:00,09:59:20,5,252,119.9,102
12,12,EWB1.5s,840001007,2002-02-01 00:00:00,17:37:40,2002-03-16 00:00:00,09:09:20,5.5,290,167.3,147
13,13,EWB1.5s,840001007,2002-02-01 00:00:00,15:57:30,2002-03-16 00:00:00,08:39:20,6,314,219.1,201
14,14,EWB1.5s,840001007,2002-02-01 00:00:00,13:49:09,2002-03-16 00:00:00,02:08:29,6.5,330,274.5,264
15,15,EWB1.5s,840001007,2002-02-01 00:00:00,14:17:30,2002-03-16 00:00:00,00:30:56,7,405,368.1,338
16,16,EWB1.5s,840001007,2002-02-01 00:00:00,11:35:49,2002-03-16 00:00:00,01:48:26,7.5,463,458.6,421
17,17,EWB1.5s,840001007,2002-02-01 00:00:00,00:01:39,2002-03-16 00:00:00,01:28:26,8,443,555.1,519
18,18,EWB1.5s,840001007,2002-02-01 00:00:00,00:51:39,2002-03-16 00:00:00,01:18:26,8.5,374,667.7,632
19,19,EWB1.5s,840001007,2002-02-01 00:00:00,00:21:39,2002-03-15 00:00:00,23:10:56,9,405,767.1,760
20,20,EWB1.5s,840001007,2002-02-01 00:00:00,01:11:39,2002-03-15 00:00:00,17:30:56,9.5,351,880.7,915
21,21,EWB1.5s,840001007,2002-02-01 00:00:00,01:31:39,2002-03-15 00:00:00,16:30:56,10,322,983.1,1061
22,22,EWB1.5s,840001007,2002-02-01 00:00:00,01:21:39,2002-03-15 00:00:00,13:00:56,10.5,284,1078.9,1194
23,23,EWB1.5s,840001007,2002-02-01 00:00:00,01:51:39,2002-03-15 00:00:00,09:30:56,11,225,1158.2,1327
24,24,EWB1.5s,840001007,2002-02-01 00:00:00,02:41:39,2002-03-15 00:00:00,08:40:58,11.5,168,1259.3,1392
25,25,EWB1.5s,840001007,2002-02-01 00:00:00,02:31:39,2002-03-15 00:00:00,00:38:46,12,140,1329.2,1457
26,26,EWB1.5s,840001007,2002-02-01 00:00:00,06:51:39,2002-03-15 00:00:00,00:08:46,12.5,82,1394.9,1475
27,27,EWB1.5s,840001007,2002-02-01 00:00:00,07:11:39,2002-03-14 00:00:00,23:58:46,13,55,1445.4,1494
28,28,EWB1.5s,840001007,2002-02-02 00:00:00,16:47:48,2002-03-14 00:00:00,18:58:46,13.5,50,1485.8,1497
29,29,EWB1.5s,840001007,2002-02-11 00:00:00,11:31:11,2002-03-10 00:00:00,07:36:19,14,32,1516.8,1500
30,30,EWB1.5s,840001007,2002-02-10 00:00:00,10:34:04,2002-03-10 00:00:00,07:56:19,14.5,37,1527.6,1500
31,31,EWB1.5s,840001007,2002-02-11 00:00:00,14:01:11,2002-03-10 00:00:00,06:46:19,15,27,1531.8,1500
32,32,EWB1.5s,840001007,2002-02-11 00:00:00,14:11:11,2002-03-10 00:00:00,07:26:19,15.5,19,1533.6,1500
33,33,EWB1.5s,840001007,2002-02-11 00:00:00,14:21:11,2002-03-10 00:00:00,03:26:19,16,15,1537,1500
34,34,EWB1.5s,840001007,2002-02-11 00:00:00,15:41:11,2002-03-10 00:00:00,04:06:19,16.5,17,1537.5,1500
35,35,EWB1.5s,840001007,2002-02-11 00:00:00,15:31:11,2002-03-10 00:00:00,04:16:19,17,9,1538.1,1500
36,36,EWB1.5s,840001007,2002-02-11 00:00:00,16:01:11,2002-03-10 00:00:00,01:56:19,17.5,8,1538.5,1500
37,37,EWB1.5s,840001007,2002-03-09 00:00:00,23:16:19,2002-03-10 00:00:00,00:56:19,18,3,1539.3,1500
38,38,EWB1.5s,840001007,2002-02-11 00:00:00,16:11:11,2002-03-09 00:00:00,23:26:19,18.5,2,1536.7,1500
39,39,EWB1.5s,840001007,2002-03-10 00:00:00,01:06:19,2002-03-10 00:00:00,01:06:19,19,1,1540.4,1500
40,40,,,,,,,19.5,,,1500
41,41,,,,,,,20,,,1500
42,42,,,,,,,20.5,,,1500
43,43,,,,,,,21,,,1500
44,44,,,,,,,21.5,,,1500
45,45,,,,,,,22,,,1500
46,46,,,,,,,22.5,,,1500
47,47,,,,,,,23,,,1500
48,48,,,,,,,23.5,,,1500
49,49,,,,,,,24,,,1500
50,50,,,,,,,24.5,,,1500
51,51,,,,,,,25,,,1500
52,52,,,,,,,25.5,,,0
53,53,,,,,,,26,,,0
54,54,,,,,,,26.5,,,0
55,55,,,,,,,27,,,0
56,56,,,,,,,27.5,,,0
57,57,,,,,,,28,,,0
58,58,,,,,,,28.5,,,0
59,59,,,,,,,29,,,0
60,60,,,,,,,29.5,,,0
61,61,,,,,,,30,,,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,2002-02-01 00:00:00,,2002-03-09 00:00:00,,,,,
,,,,2002-03-12 00:00:00,,2002-03-16 00:00:00,,,,,
