ECC Office Position as Basis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECC Office Index Position,,,,,,ECC Office Tolls Position Summary,,,,,,,,,,,
2002-02-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-02-04 00:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sumas,,,Malin,,,Socal,,Rockies,,,Aeco,,Consumers,Parkway,Niagra,Waddington,Dawn,Monchy,Tetco/M3,Kingsgate,Michcon,,Chicago,,,Ventura,,Dawn,,,Transco Zone 6,,PG&E,,,Station 2,,,,Nymex,,Aeco,Empress,Sumas,Station 2,,,,Aeco - ABC,Aeco - Emp,Aeco - McNeil,Total Aeco,,ANG,PGT,FootHills,Northern,TCPL - WADD,TCPL - East Z
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Index,Index,Index,Index,,,,,,,Delivery,,,,,Border,,
,Pos,Mids,,Pos,Mids,,Pos,Mids,,Mids,,Pos,Mids,,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Mids,,Pos,Mids,,Mids,,Pos,Mids,,Pos,,Pos,Mids,,,Pos,Mids,,,,,,,,,,,,,,,,,,,
Totals,-905.210590893557,,,-1007.1148024400001,,,-178.1892859720071,,,,,-22484.440749061945,,,600.59,750.9,-1930.81,-531.33,-9.75,1983.45,-1672.14,12643.49,1308.3,1928.03,,,-1551.46,,,,,77.3879939,,,-61.910395120000004,,157.91,,,,-19106.263639641897,,,-10601.85,6619.6,2360.13,46.01,,,Totals,-11933.77,-474.37,-5809.94,-18218.08,,-12083.91,,-589.11,-181.01,1812.96,-5481.52
2002-03-01 00:00:00,-100.23429558317449,-0.24,,-15.46240122,-0.11,,-81.66688475200709,-0.08,,-0.33,,-116.30817263143932,-0.2593064839213324,,7.25,-2.69,-28.44,6.2,-1.07,28.78,-30.95,199.07,44.1,-50.69,0.0175,,-62.59,-0.053700000000000005,,0.15,,77.3879939,0.4375,,-61.910395120000004,,5.86,-0.22617255947550063,,,-540.0642669214395,2.138,,-27.93,-2.51,0,0,,,2002-03-01 00:00:00,-217.44,-75.53,-94.38,-387.35,,-219.15,,47.48,12.37,21.84,-7.54
2002-04-01 00:00:00,-182.4536846688428,-0.315,,-14.95,-0.16,,0,-0.11,,-0.47,,-156.86228349,-0.365,,7,-1.26,-27.47,5.99,-0.34,27.8,-29.9,192.32,42.6,54.66,0.01,,-60.47,-0.1087,,0.04125,,0,0.305,,0,,19.84,-0.3252424581844646,,,-366.3919945800001,2.198,,-465.95,344.48,16.72,4.89,,,2002-04-01 00:00:00,-210.07,-72.97,-91.18,-374.22,,-211.72,,45.88,11.95,21.1,-7.28
2002-05-01 00:00:00,-187.27796293566587,-0.315,,-15.42,-0.165,,0,-0.09,,-0.47,,-140.01792853000003,-0.365,,7.23,-1.3,-28.34,6.18,-0.36,28.68,-30.84,198.4,43.95,63.43,0.01,,-62.38,-0.1087,,0.04125,,0,0.305,,0,,20.46,-0.32524326919938673,,,-409.02395341,2.266,,-471.68,354.29,17.25,5.04,,,2002-05-01 00:00:00,-216.71,-75.27,-94.07,-386.05,,-218.42,,47.32,12.33,21.77,-7.51
2002-06-01 00:00:00,-174.7880632716227,-0.315,,-14.9,-0.15,,0,-0.06,,-0.47,,-125.38888704999997,-0.365,,6.97,-1.25,-27.38,5.97,-0.34,27.71,-29.79,191.64,42.45,64.19,0.01,,-60.26,-0.1087,,0.04125,,0,0.305,,0,,19.77,-0.3252495980092176,,,-383.77957749000007,2.331,,-449.84,342.22,13.5,4.87,,,2002-06-01 00:00:00,-209.33,-72.71,-90.86,-372.9,,-210.98,,45.72,11.91,21.03,-7.26
2002-07-01 00:00:00,-180.17726647795612,-0.395,-0.345,-15.36,-0.11,-0.10642857142857143,0,0.05,-0.014285714285714289,-0.525,-0.485,-119.29460534,-0.38,-0.3714285714285714,7.2,-1.29,-28.24,6.16,-0.36,28.58,-30.73,197.66,43.79,68.96,0.01,0.01,-62.15,-0.1087,-0.1087,0.04125,0.04125,0,0.305,0.305,0,,20.38,-0.34025500239559303,-0.33168064275735304,,-391.8003583099999,2.391,2.364,-461.25,354.17,44.65,5.02,,,2002-07-01 00:00:00,-215.9,-74.99,-93.72,-384.61,,-217.6,,47.16,12.28,21.69,-7.48
2002-08-01 00:00:00,-180.2748852373206,-0.395,,-15.33,-0.04,,0,0.06,,-0.525,,-104.03277935,-0.38,,7.18,-1.29,-28.18,6.15,-0.36,28.52,-30.67,197.27,43.7,69.39,0.01,,-62.02,-0.1087,,0.04125,,0,0.305,,0,,20.34,-0.34025716183996746,,,-380.79909938000003,2.446,,-450.34,353.43,44.56,5.01,,,2002-08-01 00:00:00,-215.47,-74.84,-93.53,-383.84,,-217.17,,47.07,12.26,21.65,-7.47
2002-09-01 00:00:00,-174.38826907747477,-0.395,,-14.81,-0.04,,0,0.05,,-0.525,,-113.29585034999998,-0.38,,6.94,-1.25,-27.21,5.94,-0.34,27.54,-29.62,190.51,42.2,60.94,0.01,,-59.9,-0.1087,,0.04125,,0,0.305,,0,,19.65,-0.34025822874083156,,,-382.4223454600001,2.446,,-452.94,341.31,43.03,4.84,,,2002-09-01 00:00:00,-208.09,-72.28,-90.32,-370.69,,-209.73,,45.46,11.84,20.91,-7.21
