Dates,IGABQ00 - Mid*,SOCAL.AVG - Mid*,PG&E.CA - Mid*,IGAWM03 - Mid*,IGAWO03 - Mid*,IGABW00 - Mid*
,El Paso Permian Mthly Inside FERC (USD/MMB),"California, Southern California Border Average, Natural Gas Intelligence","California, PG&E Citygate, Natural Gas Intelligence",PG&E South Calif Brdr Mthly Inside FERC (USD/MMB),PG&E Calif Brdr CtyGate Mthly Inside FERC (USD/MMB),El Paso San Juan Mthly Inside FERC (USD/MMB)
2000-06-01 00:00:00,4.025,4.83,4.875,4.335,4.41,3.835
2000-06-02 00:00:00,,4.72,4.8,,,
2000-06-05 00:00:00,,4.26,4.4,,,
2000-06-06 00:00:00,,4.33,4.55,,,
2000-06-07 00:00:00,,4.715,4.785,,,
2000-06-08 00:00:00,,4.435,4.575,,,
2000-06-09 00:00:00,,4.335,4.465,,,
2000-06-12 00:00:00,,4.405,4.615,,,
2000-06-13 00:00:00,,4.795,4.83,,,
2000-06-14 00:00:00,,4.775,4.8,,,
2000-06-15 00:00:00,,4.59,4.67,,,
2000-06-16 00:00:00,,4.645,4.79,,,
2000-06-19 00:00:00,,4.61,4.68,,,
2000-06-20 00:00:00,,4.625,4.705,,,
2000-06-21 00:00:00,,4.405,4.455,,,
2000-06-22 00:00:00,,4.47,4.535,,,
2000-06-23 00:00:00,,4.77,4.87,,,
2000-06-26 00:00:00,,4.655,4.745,,,
2000-06-27 00:00:00,,4.735,4.775,,,
2000-06-28 00:00:00,,5.06,5.085,,,
2000-06-29 00:00:00,,4.995,5.08,,,
2000-06-30 00:00:00,,4.735,4.86,,,
2000-07-05 00:00:00,4.335,4.715,4.71,4.895,4.975,4.11
2000-07-06 00:00:00,,4.72,4.555,,,
2000-07-07 00:00:00,,4.57,4.215,,,
2000-07-10 00:00:00,,3.99,3.675,,,
2000-07-11 00:00:00,,4.6,4.45,,,
2000-07-12 00:00:00,,4.475,4.515,,,
2000-07-13 00:00:00,,4.62,4.665,,,
2000-07-14 00:00:00,,4.52,4.47,,,
2000-07-17 00:00:00,,4.575,4.225,,,
2000-07-18 00:00:00,,4.59,4.59,,,
2000-07-19 00:00:00,,4.475,4.46,,,
2000-07-20 00:00:00,,4.585,4.545,,,
2000-07-21 00:00:00,,4.475,4.46,,,
2000-07-24 00:00:00,,4.455,4.5,,,
2000-07-25 00:00:00,,4.48,4.585,,,
2000-07-26 00:00:00,,4.3,4.42,,,
2000-07-27 00:00:00,,4.255,4.34,,,
2000-07-28 00:00:00,,4.405,4.39,,,
2000-07-31 00:00:00,,4.44,4.47,,,
2000-08-01 00:00:00,3.755,4.405,4.42,4.53,4.44,3.485
2000-08-02 00:00:00,,4.535,4.36,,,
2000-08-03 00:00:00,,4.61,4.45,,,
2000-08-04 00:00:00,,4.53,4.54,,,
2000-08-08 00:00:00,,4.635,4.595,,,
2000-08-09 00:00:00,,4.85,4.655,,,
2000-08-10 00:00:00,,4.74,4.595,,,
2000-08-11 00:00:00,,4.585,4.59,,,
2000-08-14 00:00:00,,4.7,4.56,,,
2000-08-15 00:00:00,,4.6,4.57,,,
2000-08-16 00:00:00,,4.485,4.49,,,
2000-08-17 00:00:00,,4.485,4.465,,,
2000-08-18 00:00:00,,4.675,4.625,,,
2000-08-21 00:00:00,,4.7,4.625,,,
2000-08-22 00:00:00,,5.125,4.97,,,
2000-08-23 00:00:00,,5.5,5.5,,,
2000-08-24 00:00:00,,5.55,5.36,,,
2000-08-25 00:00:00,,5.4,5.3,,,
2000-08-28 00:00:00,,5.99,5.475,,,
2000-08-29 00:00:00,,6.585,6.035,,,
2000-08-30 00:00:00,,7.275,6.775,,,
2000-08-31 00:00:00,,5.785,5.505,,,
2000-09-01 00:00:00,4.495,5.68,5.415,6.085,6.2,3.475
2000-09-05 00:00:00,,5.715,5.505,,,
2000-09-06 00:00:00,,5.89,5.845,,,
2000-09-07 00:00:00,,6.23,6.205,,,
2000-09-08 00:00:00,,6.14,6.15,,,
2000-09-11 00:00:00,,6.005,6.065,,,
2000-09-12 00:00:00,,6.195,6.27,,,
2000-09-13 00:00:00,,6.24,6.3,,,
2000-09-14 00:00:00,,6.23,6.275,,,
2000-09-15 00:00:00,,6.24,6.43,,,
2000-09-18 00:00:00,,6.265,6.265,,,
2000-09-19 00:00:00,,6.21,6.245,,,
2000-09-20 00:00:00,,6.125,6.195,,,
2000-09-21 00:00:00,,6.005,6.02,,,
2000-09-22 00:00:00,,5.725,5.8,,,
2000-09-25 00:00:00,,5.345,5.485,,,
2000-09-26 00:00:00,,5.315,5.625,,,
2000-09-27 00:00:00,,5.65,5.85,,,
2000-09-28 00:00:00,,5.75,6.025,,,
2000-09-29 00:00:00,,5.91,6.04,,,
2000-10-02 00:00:00,5.035,5.835,5.98,5.57,5.85,4.515
2000-10-03 00:00:00,,5.97,5.905,,,
2000-10-04 00:00:00,,5.89,5.855,,,
2000-10-05 00:00:00,,5.845,5.845,,,
2000-10-06 00:00:00,,5.925,5.85,,,
2000-10-09 00:00:00,,5.74,5.605,,,
2000-10-10 00:00:00,,5.775,5.61,,,
2000-10-11 00:00:00,,5.61,5.71,,,
2000-10-12 00:00:00,,5.625,5.715,,,
2000-10-13 00:00:00,,5.84,5.955,,,
2000-10-16 00:00:00,,5.685,5.83,,,
2000-10-17 00:00:00,,5.655,5.815,,,
2000-10-18 00:00:00,,5.65,5.86,,,
2000-10-19 00:00:00,,5.715,5.935,,,
2000-10-20 00:00:00,,5.44,5.475,,,
2000-10-23 00:00:00,,5.23,5.25,,,
2000-10-24 00:00:00,,5.305,5.47,,,
2000-10-25 00:00:00,,5.3,5.47,,,
2000-10-26 00:00:00,,5.165,5.32,,,
2000-10-27 00:00:00,,5.14,5.33,,,
2000-10-30 00:00:00,,4.92,5.13,,,
2000-10-31 00:00:00,,5.155,5.265,,,
2000-11-01 00:00:00,4.445,5.08,5.2,,5.305,4.39
2000-11-02 00:00:00,,5.105,5.19,,,
2000-11-03 00:00:00,,5.175,5.315,,,
2000-11-06 00:00:00,,5.375,5.485,,,
2000-11-07 00:00:00,,5.42,5.615,,,
2000-11-08 00:00:00,,5.545,5.69,,,
2000-11-09 00:00:00,,5.895,6.025,,,
2000-11-10 00:00:00,,6.66,6.715,,,
2000-11-13 00:00:00,,6.675,6.565,,,
2000-11-14 00:00:00,,7.265,7.24,,,
2000-11-15 00:00:00,,8.19,8.415,,,
2000-11-16 00:00:00,,8.345,8.335,,,
2000-11-17 00:00:00,,8.195,8.265,,,
2000-11-20 00:00:00,,10.41,9.06,,,
2000-11-21 00:00:00,,12.75,12.75,,,
2000-11-22 00:00:00,,16.25,15.75,,,
2000-11-27 00:00:00,,16.125,15.35,,,
2000-11-28 00:00:00,,14.45,14.2,,,
2000-11-29 00:00:00,,15.125,15.175,,,
2000-11-30 00:00:00,,17.25,16.425,,,
2000-12-01 00:00:00,6.465,17.5,16.4,16.44,15.275,6.12
2000-12-04 00:00:00,,18.25,17.125,,,
2000-12-05 00:00:00,,21,20.5,,,
2000-12-06 00:00:00,,25.75,25.25,,,
2000-12-07 00:00:00,,32,32.25,,,
2000-12-08 00:00:00,,41,31.25,,,
2000-12-11 00:00:00,,51,47,,,
2000-12-12 00:00:00,,49.5,40,,,
