,,,,,,,
,,,2000-11-07 00:00:00,,,,
,,,,,,,
,,,ENRON DE MEXICO,,,,
,,,,,,,
,,,"LEGAL, CREDIT, BACKOFFICE AND PAYMENT UPDATE",,,,
,,,,,,,
,,,,,,,
,,,Conterparty,notas al 20 sep,notas al 21 sep,notas al 25 sep,Notes
,,,,,,,
,,,,,,,
,,,,,,,
,,1.0,Vitro,,,," - Need to send ISDAs to Vitro, for all different Subsidiaries. Credit will send Credit worksheet to Legal. 
 - We need to send Vitro confirmations on last 3 transactions (Oct 12, Oct 19, Sep 28). Credit will send to para-legal (Stephanie Panus or Samantha Boyd). 
- Very high priority. 
"
,,2.0,"Lamosa Revestimentos
 y Sanitarios Azteca",,,," - ISDA sent out to customer on Oct 27.
- EdeM will pursue its signature.
 - Confirmations of last trade (Oct 19) will be sent after Master Gareement signed. 
"
,,3.0,Grupo Calidra,,,," - Master Agreement send to customer on Oct 31.
- EdeM will pursue its signature. "
,,4.0,Fersinsa Gist-Brocades,,,," - Customer agreed to have the interest payment from september netted out in next payment period.
- They have agreed to sign a Master Agreement with the same credit provisions as the Deemed ISDAs. Please send 2 originals of the Master Agreement to Fersinsa's Lawyer - Santa Marina y Steta, and notify EdeM for follow up. Credit Please send the Worksheet to Legal for processing the document. "
,,5.0,"Kimex, Colortex and 
Compa&ia Industrial Kindy",,"Hablar el lunes con Amin, no le entiende al contrato",," - ISDA Master Agreement sent out on Nov 3rd.
- EdeM will pursue its signature. "
,,6.0,"Deacero, Aceros Nacionales,
Alambres y Derivados",,,," - Customer waiting for Confidentiality Agreement proposal from ENA-Legal.  (High Priority). 
- Deacero's Consolidated financials will be sent out this week to ENA. 
- Please follow up with Credit Worksheet to propose Master Agreement.  Please take into consideration that there is no holding Company at the Grupo Deacero Level."
,,7.0,"Gas Natural Mexico, y 
Comercializadora Metrogas",,,Recibimos confirmación firmada(incompleta) hablar con Angel Benedi," - Master Agreement sent out on Oct. 31st to Gas Natural and on Nov 3rd to Comercializadora Metrogas. 
- EdeM will foillow up on the signature of the Master Agreement. 
- Confirmations of last transactions (Oct 5, Oct 18, Oct 19, Oct 23)  will be short, after ISDA is signed. ( we have included a call for collateral at any time)."
,,8.0,Hylsa,,,," - Master Agreement has been agreed upon with counterparty. 
- Please send final agreement to customer ASAP, and notify EdeM to follow up on signature. 
- EdeM is working in ""Gas for Steel"" proposal. "
,,9.0,Arancia Corn Products,,,," - Please confirm if ENA has received signed confirmation on last trade (Aug 24) - Arancia has them. 
- Master Agreement has ben sent out on Nov 02. 
- EdeM will follow up for its signature."
,,10.0,Bimbo and 23 Subs.,,,," - Confirms haven't returned from customer. EdeM will follow up. 
- Please send the Grupo Bimbo Master Agreement with Grupo Bimbo's Corporate Guarantee.
- Credit, please send credit worksheet to Legal, and Legal, please send the agreement to Bimbo. "
,,11.0,Cementos Apasco,,,," - We haven't received confirmation back on last trade. EdeM will follow up on the confirm. 
- Propose Master Agrement. Credit will send worksheet to legal for elaboration of Master Agreement. "
,,12.0,Cemex Mexico,,,," - Please send confirmation to Cemex with all the chnages discussed on previous conference call. 
- Standby on Master Agreement negotiations until we define how to approach it ."
,,13.0,Tubos de Acero de Mexico,,,," - Master Agreement sent on Oct 31st. 
- Confirm hasn't arrived to ENA. 
-  EdeM will follow up on both, Confirm and M.A.
- Documents went out with different name…EdeM will call customer to do damage control. "
,,14.0,"Industrias Derivadas del Etileno, 
Sintesis Organica, and 
Polietileno y Derivados",,,," - Customer agreed to sign confirm. EdeM will follow up. 
- Confirmation on last transaction (Sep 27th) was sent. EdeM will follow up with guarantees and confirms. 
- Customer asked for Master Agreement, please send ASAP with same credit provisions as confirmations. The 3 companies will have a Grupo IDESA Corporate Guarantee. EdeM will propose to make trades at the parent company level. 
- Please include 10 day bilateral payment provision."
