,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Budget,Budget,Budget,Budget,Budget,Week 1,Week 1,Week 1,Week 1,Week 1,Week 1,,Week 2,Week 2,Week 2,Week 2,Week 2,,Week 3,Week 3,Week 3,Week 3,Week 3,,Week 4,Week 4,Week 4,Week 4,Week 4,,,,
Unit,,Weekly,Bi-Weekly,Monthly,Due,Date Pd.,Fwd. Bal,1st Dep,2nd Dep,Late Charge,Notes,Fwd. Bal,Date Pd.,1st Dep.,2nd Dep.,Late Charge,Notes,Fwd. Bal.,Date Pd.,1st Dep,2nd Dep,Late Charge,Notes,Fwd. Bal,Date Pd.,1st Dep,2nd Dep,Late charge,Notes,Fwd. Bal,,,Total Paid
1,,100,,,7/14/21/28,2000-01-07 00:00:00,,100,,,,,2000-01-14 00:00:00,100,,,,,2000-01-21 00:00:00,100,,,,,2000-01-28 00:00:00,100,,,,,,,400
2,,95,,,7/14/21/28,2000-01-07 00:00:00,15,110,,,pd. 10 Lt.Ch.& 5 key charge,,2000-01-14 00:00:00,95,,,,,2000-01-22 00:00:00,95,,10,plus 2 a day,22,2000-01-28 00:00:00,127,,,,      <10>,,,427
3,,110,,,7/14/21/28,1999-01-06 00:00:00,,110,,,,,2000-01-12 00:00:00,110,,,,,2000-01-19 00:00:00,110,,,,,2000-01-27 00:00:00,110,,,,,,,440
4,,,,330,3,2000-01-07 00:00:00,,0,,,Jan 3 on last deposit,,,,,,Feb.3,,2000-01-21 00:00:00,,330,,March rent,,,,,,,,,,330
5,,100,,,,V,,,,,,,V,,,,,,V,,,,,,V,,,,,,,,0
6,,,220,,7/21,2000-01-07 00:00:00,,220,,,,,,,,,Jan.21,,2000-01-21 00:00:00,240,,,added ac +10/week,,,,,,,,,,460
7,,Mgr,,,  n/a,2000-01-07 00:00:00,,0,,,,,,,,,, ,,,,,,,,,,,,,,,0
8,,,,480,4,2000-01-04 00:00:00,,0,,,Jan 4 on last deposit,,,,,,Feb.4,,,,,,,,,,,,,,,,0
9,,100,,,7/14/21/28,2000-01-06 00:00:00,,100,,,,,2000-01-13 00:00:00,100,,,,,2000-01-20 00:00:00,100,,,,,2000-01-27 00:00:00,100,,,,,,,400
10,,110,,,7/14/21/28,2000-01-07 00:00:00,,110,,,,,2000-01-14 00:00:00,110,,,,,2000-01-21 00:00:00,110,,,,,2000-01-28 00:00:00,110,,,,,,,440
11,,,200,,14/28,2000-01-07 00:00:00,,0,,,,,2000-01-14 00:00:00,200,,,Jan.28,,,,,,,,2000-01-28 00:00:00,200,,,,,,,400
