CurveGrp->,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,GDP-TXINT/KATYT,IF-NNG/TOK
Curve->,,GDP-ANR/LA_ONSH,GDP-HEHUB,GDP-NGPL/LA,GDP-NGPL/TXOK-E,GDP-NORAM-N/S,GDP-TRUNKL/ELA,GDP-TRUNKL/NO,GDP-TRUNKL/SO,GDP-TRUNKL/WLA,GDP-TXINT/KATYT,IF-ANR/HIOS,IF-ANR/LA,IF-ARKLA/ARK-OK,IF-HEHUB,IF-HPL/SHPCHAN,IF-NGPL/LA,IF-NGPL/STX,IF-NGPLTXOK,IF-NORAM/EAST,IF-NORAM/NPOOL,IF-PAN/TX/OK,IF-TENN/LA,IF-TRUNKL/FLDZN,IF-TRUNKL/LA,IF-TRUNKL/TX,IF-WAHA-TX,MICH_CG-GD,MRT-GDM,NGI/CHI. GATE,TRUNKL/WLA-GD,IF-ANR/HIOS,IF-ANR/LA,IF-ARKLA/ARK-OK,IF-NGPL/LA,IF-NGPL/STX,IF-NGPLTXOK,IF-NORAM/EAST,IF-NORAM/NPOOL,IF-PAN/TX/OK,IF-TRUNKL/LA,IF-TRUNKL/TX,MRT-GDM,NGI-NGPL/ETXG7,TRUNKL/WLA-GD,TRUNKL/WLA-GD,,
Risk->,PRC,IM,IM,IM,IM,IM,IM,IM,IM,IM,IM,BAS,BAS,BAS,BAS,BAS,BAS,BAS,BAS,BAS,BAS,BAS,BAS,BAS,BAS,BAS,BAS,BAS,BAS,BAS,BAS,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IM,IDX
PubCode->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DealType->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-01 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-04-17 00:00:00,0,4.5,1.8,-2,-0.7,1,-0.3,-0.7,-1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2001-04-18 00:00:00,0,5.5,1.8,-2,-0.7,1,-0.3,-0.7,-1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60,1,0
2001-04-19 00:00:00,0,5.5,1.8,-2,-0.7,1,-0.3,-0.7,-1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2001-04-20 00:00:00,0,5.5,1.8,-2,-0.7,1,-0.3,-0.7,-1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2001-04-21 00:00:00,0,5.5,1.8,-2,-0.7,1,-0.3,-0.7,-1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2001-04-22 00:00:00,0,5.5,1.8,-2,-0.7,1,-0.3,-0.7,-1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1
2001-04-23 00:00:00,0,5.5,1.8,-2,-0.7,1,-0.3,-0.7,-1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2
2001-04-24 00:00:00,0,5.5,1.8,-2,-0.7,1,-0.3,-0.7,-1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1
2001-04-25 00:00:00,0,5.5,1.8,-2,-0.7,1,-0.3,-0.7,-1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1
2001-04-26 00:00:00,0,5.5,1.8,-2,-0.7,1,-0.3,-0.7,-1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1
2001-04-27 00:00:00,0,5.5,1.8,-2,-0.7,1,-0.3,-0.7,-1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1
2001-04-28 00:00:00,0,5.5,1.8,-2,-0.7,1,-0.3,-0.7,-1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1
2001-04-29 00:00:00,0,5.5,1.8,-2,-0.7,1,-0.3,-0.7,-1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2001-04-30 00:00:00,0,5.5,1.8,-2,-0.7,1,-3.3,-0.7,-1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"May, 2001",-43.9,-30.9,30.9,0,0,0,-123.7,0,0,0,0,46.4,51.6,0.5,0,0,-173.9,26.7,305.8,-90.9,0,154.6,0,-0.4,96.9,-116.3,0,0,0,0,150,46.4,86,0.5,62.9,-4.2,1.2,87.8,0,0,-30.9,-73.1,0,15.5,88.1,0,1,0
"Jun, 2001",1.5,-29.8,29.8,0,0,0,-119.2,0,0,0,0,44.7,4.5,0.5,0,59.6,-77.2,25.7,8.9,-42.9,0,119.2,0,-0.4,-249.1,-112,0,0,0,0,101.3,44.7,-69.6,0.5,61.6,-4.1,1.1,84.7,0,0,-38.7,-79.4,0,14.9,41.7,0,1,0
"Jul, 2001",1.7,-30.7,30.7,0,0,0,-122.7,0,0,0,0,0,36.4,0.5,0,61.3,-64.9,26.1,190.7,5.1,0,122.7,0,-0.4,-256.6,-115.3,0,0,0,0,104.3,0,-104.7,0.5,-3.6,-4.6,1.2,87,0,0,-39.9,-81.7,0,15.3,12.3,0,1,0
"Aug, 2001",1.7,-30.6,30.6,0,0,0,-122.2,0,0,0,0,0,48.4,0,0,61.1,-54.3,33,-44.1,-44.3,0,122.2,0,-0.4,-408.4,-114.9,0,0,0,0,103.9,0,-111,0,6.8,2.4,1.1,86.6,0,0,-39.7,-81.4,0,15.3,12.2,0,1,0
"Sep, 2001",1.5,-29.5,29.5,0,0,0,-117.8,0,0,0,0,0,-17.1,0,0,58.9,-50.6,33.3,51.8,-28,0,117.8,0,-0.4,-393.5,-110.8,0,0,0,0,406.4,0,-111.8,0,8.3,3.9,1.1,83.6,0,0,-38.3,-78.5,0,14.7,318.1,0,1,0
"Oct, 2001",-3.3,-30.3,30.3,0,0,0,-121.3,0,0,0,0,0,-32.5,0,0,60.6,-91.7,45.5,-1.7,-95.6,30.3,121.3,0,-0.5,-405.3,-114,0,0,3.9,0,-30.3,0,36.9,0,-31.1,15.2,1.1,85.9,30.3,0,-39.4,-80.8,11.8,15.2,-91,0,1,0
"Nov, 2001",0,0,0,0,0,0,0,0,0,0,0,0,-134.2,0,0,0,95,0,40.9,40.5,29.2,-43.8,0,-0.5,-129,-19.9,0,0,3.9,0,0,0,-265.6,0,-80.4,0,0,24.4,26.3,0,-8.8,-77.9,16.4,14.6,0,0,1,0
"Dec, 2001",0,0,0,0,0,0,0,0,0,0,0,0,-141.7,0,0,0,203.2,37.7,-8.3,39.7,30.1,-45.1,0,-1.4,-133,-15.3,0,0,3.9,0,0,0,-278.3,0,22.6,37.7,0,24,27.1,0,-9,-75.1,13.5,15,0,0,1,0
"Jan, 2002",0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,181.9,37.5,-104.9,46.3,30,-45,0,-1.1,-136.3,-15.3,0,0,3.9,0,0,0,-180.7,0,-28,37.5,0,45.3,27,0,-9,-74.8,14.3,15,0,0,1,0
