Listing of Ontario Counterparties Needing Masters ,Listing of Ontario Counterparties Needing Masters ,Listing of Ontario Counterparties Needing Masters 
1999-05-11 20:58:22.580000,,
,,
Counterparty Name,Interruptible,Contract Type
AQUILA CANADA CORP.,,Master Purchase/Sale Spot
AQUILA CANADA CORP.,,Master Purchase/Sale Firm
CANADIAN HUNTER EXPLORATION LTD.,,Master Purchase/Sale Spot
CANENERCO ENERGY SERVICES LTD.,,Master Purchase/Sale Spot
COENERGY TRADING COMPANY,,Master Purchase/Sale Firm
COLUMBIA ENERGY SERVICES CORPORATION,,Master Purchase/Sale Firm
CORAL ENERGY CANADA INC.,,Master Purchase/Sale Firm
CXY ENERGY MARKETING,,Master Purchase/Sale Firm
DUKE ENERGY MARKETING LIMITED PARTNERHIP,,Master Purchase/Sale Firm
DYNEGY CANADA MARKETING & TRADE,,Master Purchase/Sale Firm
EL PASO ENERGY MARKETING CANADA INC.,,Master Purchase/Sale Spot
"ENGAGE ENERGY CANADA, LP",,Master Purchase/Sale Spot 
"ENGAGE ENERGY CANADA, LP",,Master Purchase/Sale Firm
ENSERCH ENERGY SERVICES CANADA INC.,,Master Purchase/Sale Firm
"HOWARD ENERGY MARKETING, LLC",,Master Purchase/Sale Spot
"INDECK ENERGY SERVICES OF OSWEGO, INC.",,Master Purchase/Sale Spot
KN ENERGY GAS MARKETING,,Master Purchase/Sale Spot
MARATHON CANADA LTD.,,Master Purchase/Sale Spot
PAPIER MASSON LTEE,,Master Purchase/Sale Spot
PHIBRO INC.,,Master Purchase/Sale Spot
PROGAS ENTERPRISES LIMITED,,Master Purchase/Sale Spot
SPRAGUE ENERGY CORP.,,Master Purchase/Sale Spot
ST. LAWRENCE GAS COMPANY INC.,,Master Purchase/Sale Spot
TENASKA MARKETING CANADA,,Master Purchase/Sale Firm
TRACTEBEL ENERGY MARKETING INC,,Master Purchase/Sale Spot
TRANSCANADA GAS SERVICES,,Master Purchase/Sale Firm
TRANSCANADA GAS SERVICES,,Master Purchase/Sale Spot
UNION GAS LIMITED,,Master Purchase/Sale Firm
