COUNTERPARTY,Trade Date,Flow Date,Location,Daily QTY,TOTAL QTY,Fixed Price,,VOLUME,Price,Total $
Aquila Energy Marketing Corporation,2000-11-22 10:02:45,2000-12-01 00:00:00,MALIN,5000,155000,13.835,,155000,13.835,2144425
"Enserco Energy, Inc.",2000-11-27 08:22:20,2000-12-01 00:00:00,MALIN,-2000,-62000,11.905,,62000,11.905,738110
Pacific Gas & Electric Company,2000-11-27 08:43:48,2000-12-01 00:00:00,MALIN,-5000,-155000,11.915,,155000,11.915,1846825
"Avista Energy, Inc.",2000-11-27 08:51:30,2000-12-01 00:00:00,MALIN,-5000,-155000,11.995,,155000,11.995,1859225
"Avista Energy, Inc.",2000-11-27 08:52:04,2000-12-01 00:00:00,MALIN,-5000,-155000,12.06,,155000,12.06,1869300
Dynegy Marketing and Trade,2000-11-27 09:03:41,2000-12-01 00:00:00,MALIN,-5000,-155000,12.185,,155000,12.185,1888675
Dynegy Marketing and Trade,2000-11-27 09:28:39,2000-12-01 00:00:00,MALIN,5000,155000,12.265,,155000,12.265,1901075
BP Energy Company,2000-11-27 09:39:07,2000-12-01 00:00:00,MALIN,-5000,-155000,12.34,,155000,12.34,1912700
BP Energy Company,2000-11-27 09:45:55,2000-12-01 00:00:00,MALIN,-5000,-155000,12.51,,155000,12.51,1939050
PanCanadian Energy Services Inc.,2000-11-27 09:52:48,2000-12-01 00:00:00,MALIN,5000,155000,12.48,,155000,12.48,1934400
"Southern Company Energy Marketing, L.P.",2000-11-27 09:55:05,2000-12-01 00:00:00,MALIN,5000,155000,12.495,,155000,12.495,1936725
"Southern Company Energy Marketing, L.P.",2000-11-27 10:10:39,2000-12-01 00:00:00,MALIN,5000,155000,12.465,,155000,12.465,1932075
BP Energy Company,2000-11-27 10:16:59,2000-12-01 00:00:00,MALIN,-5000,-155000,12.605,,155000,12.605,1953775
BP Energy Company,2000-11-27 10:27:06,2000-12-01 00:00:00,MALIN,-5000,-155000,13.015,,155000,13.015,2017325
"Southern Company Energy Marketing, L.P.",2000-11-27 10:28:59,2000-12-01 00:00:00,MALIN,5000,155000,12.99,,155000,12.99,2013450
BP Energy Company,2000-11-27 10:36:27,2000-12-01 00:00:00,MALIN,-5000,-155000,13.175,,155000,13.175,2042125
"Avista Energy, Inc.",2000-11-27 10:40:23,2000-12-01 00:00:00,MALIN,-5000,-155000,13.53,,155000,13.53,2097150
"Southern Company Energy Marketing, L.P.",2000-11-27 10:41:36,2000-12-01 00:00:00,MALIN,5000,155000,13.46,,155000,13.46,2086300
"Enserco Energy, Inc.",2000-11-28 07:58:57,2000-12-01 00:00:00,MALIN,-2000,-62000,14.355,,62000,14.355,890010
"Enserco Energy, Inc.",2000-11-28 08:51:03,2000-12-01 00:00:00,MALIN,-1000,-31000,14.1,,31000,14.1,437100
ENGAGE,2000-11-28 09:19:39,2000-12-01 00:00:00,MALIN,5198,161138,14.3,,161138,14.3,2304273.4
Barrett Resources Corporation,2000-11-28 12:11:24,2000-12-01 00:00:00,MALIN,-5000,-155000,14.59,,155000,14.59,2261450
"Duke Energy Trading and Marketing, L.L.C.",2000-11-28 12:51:18,2000-12-01 00:00:00,MALIN,-5000,-155000,14.295,,155000,14.295,2215725
"Avista Energy, Inc.",2000-11-28 12:57:15,2000-12-01 00:00:00,MALIN,-5000,-155000,14.495,,155000,14.495,2246725
Barrett Resources Corporation,2000-11-28 12:58:07,2000-12-01 00:00:00,MALIN,-5000,-155000,14.645,,155000,14.645,2269975
"Coral Energy Resources, L.P.",2000-11-28 13:02:01,2000-12-01 00:00:00,MALIN,-5000,-155000,14.765,,155000,14.765,2288575
"El Paso Merchant Energy - Gas, L.P.",2000-11-28 13:05:10,2000-12-01 00:00:00,MALIN,5000,155000,14.67,,155000,14.67,2273850
Dynegy Marketing and Trade,2000-11-28 13:22:55,2000-12-01 00:00:00,MALIN,5000,155000,14.6,,155000,14.6,2263000
WACOG,13.270951934745542,,,,-923862,,,4036138,,53563393.4
,,,,,,,,,,
GIANT REFINING,2000-11-22 09:00:00,2000-12-01 00:00:00,PERMIAN,1300,40300,6.705,,40300,6.705,270211.5
Barrett Resources Corporation,2000-11-22 10:02:49,2000-12-01 00:00:00,PERMIAN,5000,155000,6.635,,155000,6.635,1028425
"Southern Company Energy Marketing, L.P.",2000-11-22 11:08:12,2000-12-01 00:00:00,PERMIAN,5000,155000,6.625,,155000,6.625,1026875
NGTS,2000-11-27 09:00:00,2000-12-01 00:00:00,PERMIAN,-5000,-155000,6.475,,155000,6.475,1003625
NGTS,2000-11-27 09:00:00,2000-12-01 00:00:00,PERMIAN,5000,155000,6.56,,155000,6.56,1016800
"Reliant Energy Services, Inc.",2000-11-27 09:40:49,2000-12-01 00:00:00,PERMIAN,20000,620000,6.45,,620000,6.45,3999000
