Counterparty,Deal Num,Fin,Pub Code,Period,Quantity
UNIONCARBIDE,324430,P,GDP-HPLU2AFTH,04-MAY-2000,-1968
ENGINEERCAR,325225,P,IF-KATY/WOFLEX,04-MAY-2000,-4789
UNIONCARBIDE,347466,P,IF-HPL/SHPCHAN,04-MAY-2000,-10000
EMPIRE,353250,P,IF-HPL/SHPCHAN,04-MAY-2000,-8000
HPL-HPLC OPERA,357770,P,IF-HPL/SHPCHAN,04-MAY-2000,-39
UNITGASTRACOM,360952,P,IF-HPL/SHPCHAN,04-MAY-2000,-4000
EMPIRE,364568,P,WAHA KCBT,04-MAY-2000,-1500
RELIANTENEENT,365742,P,IF-HPL/SHPCHAN,04-MAY-2000,-1000
LAMAYCOR,366621,P,IF-HPL/SHPCHAN,04-MAY-2000,-1
GAITHERPETCOR,366626,P,IF-HPL/SHPCHAN,04-MAY-2000,-1
H&D,366630,P,IF-HPL/SHPCHAN,04-MAY-2000,-1
CORPCHRISGASLP,372547,P,IF-HPL/SHPCHAN,04-MAY-2000,-282
RELIANTENEENT,372773,P,IF-HPL/SHPCHAN,04-MAY-2000,-250
RELIANTENEENT,372778,P,IF-HPL/SHPCHAN,04-MAY-2000,-2800
DHGASCOMP,372780,P,IF-HPL/SHPCHAN,04-MAY-2000,-48
PRAXAIR,372842,P,IF-HPL/SHPCHAN,04-MAY-2000,-400
RELIANTENEENT,372893,P,IF-HPL/SHPCHAN,04-MAY-2000,-1000
RELIANTENEENT,372924,P,IF-HPL/SHPCHAN,04-MAY-2000,-3500
MARKHAM,373196,P,FX-PRICE-CASH,04-MAY-2000,-48
RELIANTENEENT,373281,P,IF-HPL/SHPCHAN,04-MAY-2000,-59500
RELIANTENEENT,373389,P,IF-HPL/SHPCHAN,04-MAY-2000,-2666
RELIANTENEENT,373390,P,IF-HPL/SHPCHAN,04-MAY-2000,-2666
RELIANTENEENT,373391,P,IF-HPL/SHPCHAN,04-MAY-2000,-2666
HPL-HPLC OPERA,374929,P,IF-HPL/SHPCHAN,04-MAY-2000,-1
HPL-HPLC OPERA,374930,P,IF-HPL/SHPCHAN,04-MAY-2000,-61
HPL-HPLC OPERA,374942,P,IF-HPL/SHPCHAN,04-MAY-2000,-18
HPL-HPLC OPERA,374943,P,IF-HPL/SHPCHAN,04-MAY-2000,-167
HPL-HPLC OPERA,374946,P,IF-HPL/SHPCHAN,04-MAY-2000,-103
HPL-HPLC OPERA,374949,P,IF-HPL/SHPCHAN,04-MAY-2000,-1
HPL-HPLC OPERA,374950,P,IF-HPL/SHPCHAN,04-MAY-2000,-873
HPL-HPLC OPERA,374951,P,IF-HPL/SHPCHAN,04-MAY-2000,-1358
HPL-HPLC OPERA,374954,P,IF-HPL/SHPCHAN,04-MAY-2000,-1
HPL-HPLC OPERA,374956,P,IF-HPL/SHPCHAN,04-MAY-2000,-1
HPL-HPLC OPERA,374957,P,IF-HPL/SHPCHAN,04-MAY-2000,-30
HPL-HPLC OPERA,374962,P,IF-HPL/SHPCHAN,04-MAY-2000,-677
HPL-HPLC OPERA,374972,P,IF-HPL/SHPCHAN,04-MAY-2000,-10
SOUTHERNUNION,376262,P,IF-HPL/SHPCHAN,04-MAY-2000,-7037
EXXONCOMUSA,384137,P,IF-HPL/SHPCHAN,04-MAY-2000,-1500
RELIANTENEENT,384699,P,IF-HPL/SHPCHAN,04-MAY-2000,-500
RELIANTENEENT,384702,P,IF-HPL/SHPCHAN,04-MAY-2000,-250
MERITENERGY,385016,P,IF-HPL/SHPCHAN,04-MAY-2000,-1
HPL-HPLC DESK,391416,P,GDC-THOMPSONVIL,04-MAY-2000,-50
HPL-HPLC DESK,391417,P,GDC-THOMPSONVIL,04-MAY-2000,50
HPL-HPLC DESK,391418,P,GDC-AGAU DULCE,04-MAY-2000,50
HPL-HPLC DESK,391419,P,GDC-THOMPSONVIL,04-MAY-2000,-50
HPL-HPLC DESK,391465,P,GDC-KATY,04-MAY-2000,611
HPL-HPLC DESK,391467,P,GDC-VALLEY,04-MAY-2000,-611
HPL-HPLC DESK,391572,P,GDC-KING RANCH,04-MAY-2000,-1139
HPL-HPLC DESK,391573,P,GDC-THOMPSONVIL,04-MAY-2000,1139
HPL-HPLC DESK,391581,P,GDC-THOMPSONVIL,04-MAY-2000,444
HPL-HPLC DESK,391582,P,GDP-HPL/SHPCH,04-MAY-2000,-444
HPL-HPLC OPERA,391788,P,IF-HPL/SHPCHAN,04-MAY-2000,1
HPL-HPLC DESK,391804,P,GDP-HPL/SHPCH,04-MAY-2000,-5466
HPL-HPLC DESK,391805,P,GDP-HPL/SHPCH,04-MAY-2000,5466
HPL-HPLC DESK,391808,P,GDP-HPL/SHPCH,04-MAY-2000,-2666
HPL-HPLC DESK,391809,P,GDP-HPL/SHPCH,04-MAY-2000,2666
HPL-HPLC DESK,391810,P,GDP-HPL/SHPCH,04-MAY-2000,-2666
