Scan Time,Energy Accum,Enery Flow Rate,Hourly Rate,Volume Non-Compliance,Penalty
2001-10-11 09:03:36.480000,18.16,17.92,746.6666666666666,,0
2001-10-11 09:08:46.050000,0.05,19.34,805.8333333333334,,0
2001-10-11 09:13:35.470000,0.12,19.04,793.3333333333334,,0
2001-10-11 09:18:39.660000,0.18,19.02,792.5,,0
2001-10-11 09:23:35.130000,0.25,19.34,805.8333333333334,,0
2001-10-11 09:28:47.440000,0.32,18.59,774.5833333333334,,0
2001-10-11 09:33:35.010000,0.38,19.31,804.5833333333334,,0
2001-10-11 09:38:51.220000,0.45,18.83,784.5833333333334,,0
2001-10-11 09:43:38.760000,0.51,18.84,785,,0
2001-10-11 09:48:48.260000,0.58,19.3,804.1666666666666,,0
2001-10-11 09:53:36.580000,0.64,19,791.6666666666666,,0
2001-10-11 09:58:47.040000,0.71,19.31,804.5833333333334,,0
2001-10-11 10:03:36.590000,0.77,18.83,784.5833333333334,,0
2001-10-11 10:08:57.130000,0.84,18.6,775,,0
2001-10-11 10:13:36.350000,0.9,20.67,861.25,,0
2001-10-11 10:18:45.800000,0.99,28.64,1193.3333333333333,16.111111111111104,161.11111111111103
2001-10-11 10:23:35.170000,1.1,26.53,1105.4166666666667,8.784722222222229,87.84722222222229
2001-10-11 10:28:56.770000,1.16,15.53,647.0833333333334,,0
2001-10-11 10:33:35.130000,1.21,16,666.6666666666666,,0
2001-10-11 10:38:39.930000,1.26,13.65,568.75,,0
2001-10-11 10:43:34.960000,1.31,13.63,567.9166666666666,,0
2001-10-11 10:48:44.460000,1.36,14.57,607.0833333333334,,0
2001-10-11 10:53:35.120000,1.41,15.03,626.25,,0
2001-10-11 10:58:39.660000,1.47,16.49,687.0833333333334,,0
2001-10-11 11:03:34.950000,1.53,19.27,802.9166666666666,,0
2001-10-11 11:09:06.770000,1.61,22.08,920,,0
2001-10-11 11:13:35.590000,1.68,19.83,826.25,,0
2001-10-11 11:18:39.390000,1.75,21.03,876.25,,0
2001-10-11 11:23:35.100000,1.82,20.7,862.5,,0
2001-10-11 11:28:44.440000,1.9,19.75,822.9166666666666,,0
2001-10-11 11:33:35.200000,1.96,20.17,840.4166666666666,,0
2001-10-11 11:38:39.600000,2.04,19.77,823.75,,0
2001-10-11 11:43:35.100000,2.11,20.17,840.4166666666666,,0
2001-10-11 11:48:55.650000,2.19,20.17,840.4166666666666,,0
2001-10-11 11:53:37.550000,2.25,19.23,801.25,,0
2001-10-11 11:58:39.340000,2.32,19.2,800,,0
2001-10-11 12:03:37.240000,2.39,18.9,787.5,,0
2001-10-11 12:08:45.610000,2.46,17.8,741.6666666666666,,0
2001-10-11 12:13:36.500000,2.52,19.17,798.75,,0
2001-10-11 12:18:43.880000,2.59,19.28,803.3333333333334,,0
2001-10-11 12:23:56.610000,2.65,18.26,760.8333333333334,,0
2001-10-11 12:29:07.930000,2.72,20.49,853.75,,0
2001-10-11 12:33:49.660000,2.79,20.53,855.4166666666666,,0
2001-10-11 12:39:01.290000,2.86,20.5,854.1666666666666,,0
2001-10-11 12:44:04.060000,2.93,18.85,785.4166666666666,,0
2001-10-11 12:49:08.450000,3,20.05,835.4166666666666,,0
2001-10-11 12:53:50.770000,3.06,20.04,835,,0
