,NY 6% .7% sulf ($/mmbtu),NY 6% .3%Sulf. ($/mmbtu),Spread between .3% - .7%
2000-11-01,4.6337874999999995,5.4094,0.7756125000000003
2000-11-02,4.6337874999999995,5.3497375,0.7159500000000003
2000-11-03,4.6337874999999995,5.250299999999999,0.6165124999999998
2000-11-06,4.5144625,5.2701875,0.755725
2000-11-07,4.5940125,5.3497375,0.755725
2000-11-08,4.5940125,5.3497375,0.755725
2000-11-09,4.5940125,5.4292875,0.8352750000000002
2000-11-10,4.697427439308166,5.4292875,0.731860060691834
2000-11-13,4.737202439308167,5.568499999999999,0.8312975606918327
2000-11-14,4.7053826213836665,5.628162499999999,0.9227798786163328
2000-11-15,4.872437499999999,5.687825,0.8153875000000008
2000-11-16,4.7133375,5.64805,0.9347124999999998
2000-11-17,4.7133375,5.64805,0.9347124999999998
2000-11-20,4.7928875,5.8111278182,1.0182403182000002
2000-11-21,4.7928875,5.96625,1.1733624999999996
2000-11-22,4.808797560691834,5.96625,1.157452439308166
2000-11-27,4.8326625,6.0418221818,1.2091596818
2000-11-28,4.753112499999999,6.0259125,1.2728000000000002
2000-11-29,4.6735625,5.9861375,1.3125749999999998
2000-11-30,4.6337874999999995,5.946362499999999,1.3125749999999998
2000-12-01,4.5144625,5.946362499999999,1.4318999999999997
2000-12-04,4.490597560691834,5.846925,1.3563274393081661
2000-12-05,4.2758125,5.528725,1.2529124999999999
2000-12-06,4.375249999999999,5.608275,1.2330250000000005
2000-12-07,4.5144625,5.608275,1.0938125000000003
2000-12-08,4.3951375,5.5486125,1.1534750000000003
2000-12-11,4.434912499999999,5.7872625,1.3523500000000004
2000-12-12,4.482642378616333,5.7872625,1.3046201213836666
2000-12-13,4.3553625,5.687825,1.3324625
2000-12-14,4.156805676937103,5.608275,1.4514693230628968
2000-12-15,4.1167125,5.528725,1.4120124999999994
2000-12-18,4.1167125,5.449174999999999,1.3324624999999992
2000-12-19,4.0371625,5.369625,1.3324625
2000-12-20,3.7587374999999996,4.971875,1.2131375000000002
2000-12-21,3.7587374999999996,4.971875,1.2131375000000002
2000-12-22,3.9973875,5.0315375,1.03415
2000-12-26,4.21615,5.250299999999999,1.0341499999999995
2000-12-27,4.3155874999999995,5.5207701591,1.2051826591
2000-12-28,4.335475,5.4929278182,1.1574528182000003
2000-12-29,4.335475,5.4929278182,1.1574528182000003
2001-01-02,4.2758125,5.568499999999999,1.2926874999999995
2001-01-03,4.2360375,5.568499999999999,1.3324624999999992
2001-01-04,4.3553625,5.568499999999999,1.2131374999999993
