,,,,,,,,,,,,
Notional,,,,,,,PV'd,,,,,
Sum of Quantity,Pub Code,,,,,,Sum of Quantity2,Pub Code,,,,
Period,IF-TRANSCO/Z6,NGI/CHI. GATE,NX1,NXB2,Grand Total,,Period,IF-TRANSCO/Z6,NGI/CHI. GATE,NX1,NXB2,Grand Total
2001-12-01 00:00:00,0,0,732500,380000,1112500,,2001-12-01 00:00:00,0,0,732074.1435,379779.07779999997,1111853.2212999999
2002-01-01 00:00:00,0,,3776000,-1090000,2686000,,2002-01-01 00:00:00,0.00010000000474974513,,3767016.2910999996,-1087406.7153999999,2679609.5757999998
2002-02-01 00:00:00,0,,2968000,-1090000,1878000,,2002-02-01 00:00:00,9.999994654208422e-05,,2955552.8832,-1085428.7880999998,1870124.0952
2002-03-01 00:00:00,0,,1576000,-1090000,486000,,2002-03-01 00:00:00,0,,1566820.6198000002,-1083651.3168999997,483169.3029000005
2002-04-01 00:00:00,,,2575000,-1300000,1275000,,2002-04-01 00:00:00,,,2555417.1184,-1290113.4965999997,1265303.6218000003
2002-05-01 00:00:00,,,1593500,-1300000,293500,,2002-05-01 00:00:00,,,1578421.0354,-1287698.3657,290722.66969999997
2002-06-01 00:00:00,,,1575000,-1300000,275000,,2002-06-01 00:00:00,,,1557001.8088,-1285144.3501999998,271857.45860000025
2002-07-01 00:00:00,,,1593500,-1300000,293500,,2002-07-01 00:00:00,,,1572102.8375999997,-1282543.89,289558.9475999994
2002-08-01 00:00:00,,,1593500,-1300000,293500,,2002-08-01 00:00:00,,,1568550.2529000002,-1279645.6409,288904.6120000002
2002-09-01 00:00:00,,,1575000,-1300000,275000,,2002-09-01 00:00:00,,,1546694.7006,-1276636.8955999997,270057.8050000004
2002-10-01 00:00:00,,,1593500,-1300000,293500,,2002-10-01 00:00:00,,,1561103.8188999998,-1273570.7338999999,287533.08499999996
2002-11-01 00:00:00,,,650000,-1350000,-700000,,2002-11-01 00:00:00,,,635103.9269,-1319062.0021999998,-683958.0752999998
2002-12-01 00:00:00,,,671000,-710000,-39000,,2002-12-01 00:00:00,,,653878.4517000001,-691883.3096,-38004.857899999944
2003-01-01 00:00:00,,,120000,,120000,,2003-01-01 00:00:00,,,116599.0087,,116599.0087
2003-02-01 00:00:00,,,120000,,120000,,2003-02-01 00:00:00,,,116241.0382,,116241.0382
2003-03-01 00:00:00,,,120000,,120000,,2003-03-01 00:00:00,,,115906.2565,,115906.2565
2003-04-01 00:00:00,,,120000,,120000,,2003-04-01 00:00:00,,,115522.1451,,115522.1451
2003-05-01 00:00:00,,,120000,,120000,,2003-05-01 00:00:00,,,115138.5264,,115138.5264
2003-06-01 00:00:00,,,120000,,120000,,2003-06-01 00:00:00,,,114729.3971,,114729.3971
2003-07-01 00:00:00,,,120000,,120000,,2003-07-01 00:00:00,,,114322.2635,,114322.2635
2003-08-01 00:00:00,,,120000,,120000,,2003-08-01 00:00:00,,,113890.6821,,113890.6821
Grand Total,0,0,23432500,-14050000,9382500,,Grand Total,0.00019999995129182935,0,23172087.206399996,-13863006.427299997,9309080.779299999
