7/11/01 Using 7/10/01 Curves,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Trade,Start,End,,MWH,MWH,MWH,MWH,MWH,,
Deal,Counter,Date,Date,Date,Delivery,PV'd,Swap Vol,Notional,Deal Vol,Notional,MTM P/L,MTM P/L
Number,Party,,,,Point,Peak,Off Peak,Peak,Off Peak,Total,Total Mid,Total Mid
---------,------------------,--------,--------,--------,------------------------------,------------,------------,------------,------------,------------,------------,($/MWh)
,,,,,,,,,,,,
662938,Allegheny,2001-07-06 00:00:00,2003-01-01 00:00:00,2003-12-31 00:00:00,NP-15,668384,0,736800,0,736800,-19877405,-26.978019815418023
662940,Calpine,2001-07-06 00:00:00,2001-10-01 00:00:00,2011-12-31 00:00:00,NP-15,31446011,24645917,44224800,34667000,78891800,-994154252,-12.601490294301817
662940,Calpine,2001-07-06 00:00:00,2001-07-01 00:00:00,2011-12-31 00:00:00,NP-15,34609631,27139864,47648000,37365800,85013800,-1231527742,-14.486209791822034
662940,Calpine,2001-07-06 00:00:00,2001-08-01 00:00:00,2021-07-31 00:00:00,NP-15,26554986,0,47379600,0,47379600,-2147483648,-45.32506918589435
662978,Clearwood,2001-07-09 00:00:00,2002-05-31 00:00:00,2012-05-31 00:00:00,NP-15,877744,688356,1228800,963600,2192400,-41423566,-18.894164386060936
663030,Coral,2001-07-09 00:00:00,2001-07-01 00:00:00,2005-12-31 00:00:00,NP-15,10852649,0,12575200,0,12575200,-661063052,-52.56879031745022
662990,El Paso,2001-07-09 00:00:00,2001-07-09 00:00:00,2005-12-31 00:00:00,NP-15,980604,0,1100800,0,1100800,-70122316,-63.70123183139535
663001,Mirant,2001-07-09 00:00:00,2001-06-01 00:00:00,2003-12-31 00:00:00,NP-15,183645,143932,194816,152720,347536,-12069872,-34.729846692141244
663001,Mirant,2001-07-09 00:00:00,2001-06-01 00:00:00,2002-12-31 00:00:00,NP-15,3510960,0,3632000,0,3632000,-253574379,-69.8167343061674
,,,,,,------------,-------------,------------,-------------,-------------,-------------,
Total for,Region R10,,,,,109684614,52618069,158720816,73149120,231869936,-5431296232,-23.42389153891861
,,,,,,============,=============,============,=============,=============,=============,
662937,Alleghany,2001-07-06 00:00:00,2001-10-01 00:00:00,2011-12-31 00:00:00,SP-15,27374737,21459719,39612000,31056250,70668250,-939072124,-13.288458735004758
662975,Alliance,2001-07-09 00:00:00,2001-08-01 00:00:00,2010-07-01 00:00:00,SP-15,493273,0,623462,0,623462,-75169854,-120.56846126949196
662987,Constellation,2001-07-09 00:00:00,2001-04-02 00:00:00,2003-06-30 00:00:00,SP-15,1855037,0,1942400,0,1942400,-165463637,-85.18515084431631
663042,Dynegy,2001-07-09 00:00:00,2002-01-01 00:00:00,2004-12-31 00:00:00,SP-15,10688091,3603949,11801600,3980800,15782400,-987044991,-62.54086773874696
662990,El Paso,2001-07-09 00:00:00,2001-04-02 00:00:00,2005-12-31 00:00:00,SP-15,980604,0,1100800,0,1100800,-58212066,-52.881600654069764
662991,High Desert,2001-07-09 00:00:00,2003-07-01 00:00:00,2011-09-30 00:00:00,SP-15,21850141,17159398,31137360,24449240,55586600,-674251353,-12.129746251794497
663046,Imperial Valley,2001-07-09 00:00:00,2001-06-01 00:00:00,2003-12-31 00:00:00,SP-15,183645,143932,194816,152720,347536,-13035452,-37.50820634409097
663003,Morgan Stanley,2001-07-09 00:00:00,2001-04-02 00:00:00,2005-12-31 00:00:00,SP-15,980604,768169,1100800,862450,1963250,-82462946,-42.003283331211
663013,PG&E,2001-07-09 00:00:00,2001-10-01 00:00:00,2011-09-30 00:00:00,SP-15,2438404,1911119,3272458,2564899,5837357,-63165408,-10.820891715206043
663004,Williams ,2001-07-09 00:00:00,2001-06-01 00:00:00,2010-12-31 00:00:00,SP-15,10953933,8589887,16201120,12706080,28907200,-414817354,-14.349966582719876
663004,Williams,2001-07-09 00:00:00,2001-04-02 00:00:00,2010-12-31 00:00:00,SP-15,9561589,0,12726400,0,12726400,-354963187,-27.891877278727684
663004,Williams,2001-07-09 00:00:00,2001-06-01 00:00:00,2005-12-31 00:00:00,SP-15,5088036,0,5860480,0,5860480,-54726085,-9.33815745467948
663004,Williams,2001-07-09 00:00:00,2003-01-01 00:00:00,2010-12-31 00:00:00,SP-15,14363351,0,19656000,0,19656000,-231727930,-11.789170227920227
,,,,,,------------,-------------,------------,-------------,-------------,-------------,
Total for,Region R11,,,,,106811445,53636173,145229696,75772439,221002135,-4114112387,-18.615713314262777
,,,,,,============,=============,============,=============,=============,=============,
662988,Duke,2001-07-09 00:00:00,2001-07-01 00:00:00,2001-09-30 00:00:00,PALO VERDE,55560,0,56000,0,56000,-2052733,-36.655946428571426
,,,,,,------------,-------------,------------,-------------,-------------,-------------,
Total for,Region R7,,,,,55560,0,56000,0,56000,-2052733,-36.655946428571426
,,,,,,============,=============,============,=============,=============,=============,
663011,BPA,2001-07-09 00:00:00,2001-04-02 00:00:00,2002-04-30 00:00:00,COB,70339,54662,71712,55728,127440,2247714,17.637429378531074
,,,,,,------------,-------------,------------,-------------,0,-------------,
Total for,Region R8,,,,,70339,54662,71712,55728,127440,2247714,17.637429378531074
,,,,,,============,=============,============,=============,=============,=============,
Total Power,Price Book,,,,,216621958,106308904,304078224,148977287,453055511,-9545213638,-21.06853002832141
,,,,,,============,=============,============,=============,=============,=============,
