Master Contracts,,61,168,
2001-04-16 11:30:55.620000,,Staying,Going,
Counterparty,Type,HOUGAS,HPL,Going
"ABB Alstom Power, Inc.",GISB Base Contract,,1,going
"ABB Alstom Power, Inc.",GISB Base Contract 6.3.1,1,,staying
"AEP Energy Services, Inc.",GISB Base Contract,,1,going
"AEP Energy Services, Inc.",GISB Base Contract 6.3.1,1,,staying
Air Liquide America Corporation,Master Purchase Sale Firm,,1,going/need?
Albemarle Corporation,Master Purchase Sale Spot,,1,going/need?
Amerada Hess Corporation,Master Purchase Spot,,1,going
Amerada Hess Corporation,Master Purchase Firm & Interruptible,1,,staying
Anadarko Energy Services Company,GISB Base Contract,1,1,going/need?
ANP Marketing Company,GISB Base Contract 6.3.1,1,1,going/need?
"Aquila Southwest Marketing, L.P.",GISB Base Contract,,1,going/need?
"Axia Energy, LP",GISB Base Contract,,1,going
"Axia Energy, LP",Master Sale Spot,,1,going
"Axia Energy, LP",GISB Base Contract 6.3.1,2,,staying
"Axia Energy, LP",Master Purchase Sale Spot,1,,staying
"Axia Energy, LP",Master Purchase/Sale Firm and Interruptible,1,,staying
"Baroid Drilling Fluids, a division of Dresser Industries Inc.",Master Purchase Sale Firm,,1,going/need?
BASF Corporation,Master Purchase Sale Firm,,1,going/need?
Beaumont Methanol Limited Partnership,Master Sale Spot,,1,going/need?
BFC Associates Inc.,Master Purchase Spot,,1,going/need?
"Boyd Rosene and Associates, Inc.",Master Purchase Sale Spot,,2,going
"Boyd Rosene and Associates, Inc.",GISB Base Contract,1,,staying
BP Energy Company,GISB Base Contract,,1,going
BP Energy Company,Master Purchase Sale Spot,1,,staying
Brandywine Industrial Gas Inc.,Master Purchase Sale Spot,,1,going/need?
Broughton Associates Joint Venture,Master Purchase Sale Spot,,1,going/need?
"Bryan, City Of",Master Sale Spot,,1,going/need?
Burlington Resources Hydrocarbons Inc.,Master Purchase Spot,,1,going/need?
Burlington Resources Hydrocarbons Inc.,Master Sale Spot,,1,going/need?
"Calpine Fuels Texas, Corporation",Master Purchase Sale Firm,,1,going/need?
Cannon Interests Houston,Master Purchase Sale Firm,,1,going/need?
"CEC Gas Marketing, Limited Partnership",Master Purchase Sale Spot,,1,going/need?
Central Power and Light Company,Master Sale Spot,,1,going/need?
Cerrito Gas Marketing Company,Master Purchase Sale Spot,,1,going/need?
Chartex Petroleum Company,Master Purchase Spot,,1,going/need?
Chevron Chemical Company LLC,Master Sale Firm,,1,going/need?
Chevron USA Inc.,Master Purchase Spot,,1,going/need?
"Cinergy Marketing & Trading, LLC",GISB Base Contract,,1,going
"Cinergy Marketing & Trading, LLC",Master Purchase Sale Spot,1,,staying
"Coast Energy Group, a division of Cornerstone Propane, L.P.",GISB Base Contract,1,1,going/need?
"Coastal Javelina, Inc.",Master Purchase Sale Firm,,1,going/need?
Cogen Lyondell Inc.,Master Lease Agreement,,1,going/need?
Columbus Mills Inc.,Master Purchase Spot,,1,going/need?
"Copano Energy Services/Upper Gulf Coast, L.P.",Master Purchase Sale Spot,,1,going/need?
"Cross Timbers Energy Services, Inc.",GISB Base Contract,,1,going/need?
"Crosstex Energy Services, Ltd.",Master Purchase Sale Spot,,1,going
"Crosstex Energy Services, Ltd.",Master Purchase/Sale Firm and Interruptible,1,,staying
Crosstex Gulf Coast Marketing Ltd.,Master Purchase Spot,,1,going
Crosstex Gulf Coast Marketing Ltd.,Master Sale Firm and Spot,1,,staying
Davis Petroleum Corp.,GISB Base Contract,,1,going/need?
Dominion Trading & Transport Inc.,Master Purchase Spot,,1,going/need?
"Dow Hydrocarbons and Resources, Inc.",Master Purchase Spot,,1,going
"Dow Hydrocarbons and Resources, Inc.",GISB Base Contract 6.3.1,1,,staying
"Duke Energy Field Services Marketing, LLC",Master Purchase Sale Firm,,1,going/need?
Dynegy Midstream Marketing Company,Master Sale Spot,,1,going/need?
"Dynegy Midstream, Inc.",Master Purchase Spot,,1,going/need?
EEX Corporation,Master Purchase Sale Spot,,1,going/need?
EGP Fuels Company,Master Purchase Sale Firm,,1,going/need?
"El Paso Industrial Energy, L.P.",GISB Base Contract 6.3.1,,1,going
