,,,,,,,,,,,
WestPhys-GDWEST,, ,Transport,Sitara,Kieth's,Gas Daily,Gas Daily,Consolidated,,Physical,
Prompt Month Value,,Physical,Positions,Total,Transport,Index,FP,Fiz&Fin,,Curve Shift,
OTHER,IF-HEHUB,0,0,0,0,178.02505968,0,178.02505968,,0,
,IF-HPL/SHPCHAN,0,0,0,0,0,0,0,,,
,IF-TZ6NY,0,0,0,0,0,0,0,,,
,NGI/CHI. GATE,0,0,0,0,0,0,0,,0,
,NNG Demarc,0,0,0,0,0,0,0,,,
,IF-PAN/TX/OK,0,0,0,0,-30,0,-30,,0,
NW,AECOUS,0,0,0,0,0,0,0,,0,
,SUMAS-US/IM,-1e-08,0,-1e-08,0,0,0,-1e-08,,0,
,IF-CIG/WIC,0,0,0,0,0,0,0,,0,
,IF-CIG/RKYMTN,0,0,0,0,0,0,0,,0,
,IF-CIG/CHEYENN,0,0,0,0,0,0,0,,0,
,IF-CIG/NW-GR,0,0,0,0,0,0,0,,0,
,IF-NWPL_ROCKY_M,130.7989902,0,130.7989902,0,0,0,130.7989902,,0,short 1/ day on EOL included
,IF-KERN/OPAL,28.02297391,0,28.02297391,0,-877.21431874,0,-849.1913448299999,,0,
,IF-QUESTAR,16.811996099999998,0,16.811996099999998,0,0,0,16.811996099999998,,0,
,NW-STANFIELD,13.53306060000001,-28.0676868,-14.534626199999991,0,0,0,-14.534626199999991,,0,
SW,IF-ELPO/PERMIAN,-523.8300696,-112.0978575,-635.9279271,0,1064.61407976,0,428.68615266000006,,0,long 1/ day on EOL included
,IF-TW/PERMIAN,36.366373800000005,0,36.366373800000005,0,0,0,36.366373800000005,,0,
,IF-ELPO/SJ,-172.07925105,-944.071071,-1116.1503220499999,49.485,179.89976109999998,0,-886.76556095,,0,short 1/ day on EOL included
,IF-EPSJ(BONDAD),115.47516117,-45.6010485,69.87411267000002,0,0,0,69.87411267000002,,0,
,IM-TW/SJ,102.67737684999994,-73.7372949,28.94008194999995,0,0,0,28.94008194999995,,0,
,TW-THOREAU,-0.059616899999999994,1.0373361,0.9777192000000001,0,0,0,0.9777192000000001,,0,
,WAHA KCBT,0,168.2540973,168.2540973,-49.485,0,0,118.76909730000001,,0,
CALI,NGI-MALIN,-284.9189793,16.1800557,-268.73892359999996,0,-29.994988040000003,0,-298.73391164,,0,short 1/2 day on EOL included
,NGI-PGE/CG,-260.60243053999994,238.4680269,-22.13440363999993,0,120,0,97.86559636000007,,0,
,NGI-MOJAVE,0,47.5356204,47.5356204,0,0,0,47.5356204,,,
,PGE/TOPOCK,74.52125849999999,444.075159,518.5964174999999,0,0,0,518.5964174999999,,,
,NGI-SOCAL,-511.4188923,288.0246633,-223.394229,0,359.9,0,136.50577099999998,,,short 1/2 day on EOL included
,NGI-SOCAL(KRS),0,0,0,0,-60,0,-60,,0,
,,-1234.70204857,-5.684341886080802e-14,-1234.70204857,0,905.2295937600001,0,-329.47245481000004,,0,
,,Physical,Transport,Subtotal,T Model,GD Index,GD FP,Net,,Liquidated Day CS,
,Henry Hub/ Zone 6,0,0,0,0,178.02505968,0,178.02505968,,GD New Deals,
,Mid-Con/Chic/PEPL/Demarc,0,0,0,0,-30,0,-30,,TDS New Deals,
,TX/Waha,0,168.2540973,168.2540973,-49.485,0,0,118.76909730000001,,TDS CS,
,"SW/ PERM, San Juan",-441.45002573000005,-1174.4699358,-1615.9199615300001,49.485,1244.51384086,0,-321.92112066999994,,,
,EP Permian,-523.8300696,-112.0978575,-635.9279271,0,1064.61407976,0,428.68615266000006,,,
,EP San Juan,-56.604089880000004,-989.6721195,-1046.27620938,49.485,179.89976109999998,0,-816.89144828,,,
,"NW/ Aeco, Sumas, Stan",13.533060590000009,-28.0676868,-14.534626209999992,0,0,0,-14.534626209999992,,,
,NW Rockies,175.63396020999997,0,175.63396020999997,0,-877.21431874,0,-701.58035853,,,
,"CA/ Scal, CG, Malin",-982.4190436399999,1034.2835253,51.864481660000024,0,389.90501195999997,0,441.76949362,,,
,Socal  ,0,0,0,0,-60,0,-60,,,
,Cut Adjusted Position,-1173.8284281280003,159.660603675,-1014.1678244530007,-7.422750000000001,905.22959376,0,-116.36098069300067,,Total P&L ,
Flow %,,,,,,,,,,,
0.85,San Juan,,,,,,,,,,
0.9,Permian,,,,,,,,,,
0.85,Socal,,,,,,,,,,
