Gas,Contract,Receipt,Delivery,Scheduled,Timely,Evening,NonGrid,IDay1,IDay2,Final
Date,No.,Point,Point,(MMBtu),Cycle,Cycle,Cycle,Cycle,Cycle,Cycle
Nov 1 2000 12:00AM,8255,56709,10487,140652,PRR,PRR,PRR,PRR,FMJ, 
Nov 1 2000 12:00AM,8255,58649,10487,0,FMJ,FMJ,FMJ,FMJ,FMJ, 
Nov 1 2000 12:00AM,8255,58646,10487,4,FMJ,FMJ,FMJ,FMJ,PBRFMJEPS, 
Nov 1 2000 12:00AM,8255,58647,10487,0,FMJ,FMJ,FMJ,FMJ,FMJ, 
Nov 1 2000 12:00AM,8255,58649,10487,0,FMJ,FMJ,FMJ,FMJ,FMJ, 
Nov 1 2000 12:00AM,8255,58649,10487,0,FMJ,FMJ,FMJ,FMJ,PRD, 
Nov 1 2000 12:00AM,8255,58649,10487,0,FMJ,FMJ,FMJ,FMJ,PRD, 
Nov 1 2000 12:00AM,8255,58649,10487,0,FMJ,FMJ,FMJ,FMJ,PRD, 
Nov 1 2000 12:00AM,8255,58649,10487,0,FMJ,FMJ,FMJ,FMJ,PRD, 
Nov 1 2000 12:00AM,8255,58649,10487,0,FMJ,FMJ,FMJ,FMJ,PRD, 
Nov 1 2000 12:00AM,8255,58649,10487,0,FMJ,FMJ,FMJ,FMJ,FMJ, 
Nov 1 2000 12:00AM,21165,56709,56698,149998,PRR*,PRR,PRR,PRR, , 
Nov 2 2000 12:00AM,8255,58647,10487,0,PBR,PBR,PBR,PBR,PBR, 
Nov 2 2000 12:00AM,8255,58646,10487,0,FMJ, , , , , 
Nov 2 2000 12:00AM,8255,56709,10487,190999, , , , , , 
Nov 2 2000 12:00AM,8255,58649,10487,273,FMJ,FMJ,FMJ,PBRPRRFMJ,PBRPRRFMJEPS, 
Nov 2 2000 12:00AM,8255,58649,10487,1000,FMJ, , ,FMJEPS, , 
Nov 2 2000 12:00AM,8255,58649,10487,1333,FMJ, , ,FMJEPS,FMJEPS, 
Nov 2 2000 12:00AM,8255,56709,10487,0,, , , , , 
Nov 2 2000 12:00AM,8255,56709,10487,46477,,FMJ,PRR,PRR,FMJ, 
Nov 2 2000 12:00AM,21165,56709,56698,149998, , , , , , 
Nov 3 2000 12:00AM,8255,58649,10487,0,FMJ,FMJ,FMJ,PBRCCRFMJ,PBRCCR, 
Nov 3 2000 12:00AM,8255,58647,10487,0,PBR,PBR,PBR,PBR,PBR, 
