DATE,SERVICE CUST,HR BEG,HR END,TOTAL HRS,DEL PT,SUPPLY,MW PER HR,TOTAL MW,PRICE,MARKET,PRICE,CONG,A_S CHARGE,BASIS,FERC ADJ,ENPOWER DEALS,TMM,LINE LOSSES,P_L,FILE SOURCE,TAG NO
,,,,,,,,,,,,,,,,,,,,,
2001-08-01 00:00:00,Y,1,6,6,SP15,STCA,9,54,18,WESCO,23,,,,,,"712074, 712075",1,0,270,
2001-08-01 00:00:00,Y,7,7,1,SP15,STCA,9,9,18,WESCO,23,,,,,,"712074, 712100",1,0,45,
2001-08-01 00:00:00,Y,8,10,3,SP15,STCA,9,27,18,PWX,23,,,,,,"712074, 712294",1,0,135,
2001-08-01 00:00:00,Y,11,11,1,SP15,STCA,4,4,30,POWEREX,35,,,,,,"712074, 713221",1,0,20,
2001-08-01 00:00:00,Y,11,11,1,SP15,STCA,5,5,47,EES,52,,,,,,"712074, 713221",1,0,25,
2001-08-01 00:00:00,Y,12,17,6,SP15,STCA,9,54,47,EES,52,,,,,,"712074, 713221",1,0,270,
2001-08-01 00:00:00,Y,18,18,1,SP15,STCA,9,9,50,DELANO,55,,,,,,"712074, 714181",1,0,45,
2001-08-01 00:00:00,Y,19,22,4,SP15,STCA,9,36,34,RELIANT,39,,,,,,"712074, 714180",1,0,180,
2001-08-01 00:00:00,Y,23,23,1,SP15,STCA,9,9,40,EES,45,,,,,,"712074, 713221",1,0,45,
2001-08-01 00:00:00,Y,24,24,1,SP15,STCA,9,9,28,DYNEGY,33,,,,,,"712074, 714195",1,0,45,
