VaR,VaR,VaR,VaR,,Curve Shift,Curve Shift,Curve Shift,,,,,,,,,
Date,Gas,Power,ENRON,,Gas,Power,ENRON,Days of Week,GAS PNL,GAS PNL vs. Curve Shift,,PWR PNL,PWR PNL vs. Curve Shift,,Corp PNL,Corp PNL vs. Curve Shift
2001-01-02 00:00:00,-51097777.0116406,-32484080.1598583,-71620781.52328761,,4398450.82997873,-73168668.62848319,-124220573.168876,1900-01-03 00:00:00,15000,10601.54917002127,,,,,,
2001-01-03 00:00:00,-43401616.4816602,-28988682.5778163,-62113257.8792013,,-28033641.0521083,-6833770.35828703,-58730213.9952838,1900-01-04 00:00:00,-26000,2033.641052108298,,,,,,
2001-01-04 00:00:00,-36469833.835407905,-30298528.673423897,-58774544.996617,,4777050.70697244,28577982.1404637,28344306.9756032,1900-01-05 00:00:00,37000,32222.94929302756,,,,,,
2001-01-05 00:00:00,-50970812.1978961,-35232337.2440587,-74471150.0094038,,36628902.936453305,25485362.111536,63625900.1218991,1900-01-06 00:00:00,44000,7371.097063546695,,,,,,
2001-01-08 00:00:00,-67053017.2924161,-43904499.342392795,-96586868.8045824,,-74158628.0682561,19508067.5871191,-70635011.6261071,1900-01-02 00:00:00,-78000,-3841.37193174391,,,,,,
2001-01-09 00:00:00,-64685893.803497,-39466889.3399842,-90588087.2710496,,7967455.5871623,14447441.369056301,26959662.494345102,1900-01-03 00:00:00,5000,-2967.4555871622997,,,,,,
2001-01-10 00:00:00,-53693196.2648512,-42368723.003785,-81711781.3194079,,-55873289.7246466,415305697.155466,357341454.915467,1900-01-04 00:00:00,-52000,3873.2897246465945,,,,,,
2001-01-11 00:00:00,-42431316.5765452,-44181472.674101405,-75171091.7590686,,-6927840.65645897,272732283.664534,243199669.573348,1900-01-05 00:00:00,-11000,-4072.1593435410296,,,,,,
2001-01-12 00:00:00,-29769618.5575578,-37950053.2360572,-57424883.0903194,,-17503313.0474746,-5901957.62361576,-34885575.2104603,1900-01-06 00:00:00,-10000,7503.313047474599,,,,,,
2001-01-15 00:00:00,0,0,-2707332.3235406596,,0,0,162909.6621,1900-01-02 00:00:00,67000,59324.26611532371,,,,,,
2001-01-16 00:00:00,-32042126.5813566,-37625113.2501522,-58409371.5854071,,7675733.88467629,-6544098.74449118,-2446923.69930557,1900-01-03 00:00:00,9000,6588.41788692142,,,,,,
2001-01-17 00:00:00,-14168997.126195898,-36554140.9631324,-45547134.6594762,,2411582.11307858,-23056002.835366,-27522221.722899,1900-01-04 00:00:00,52000,1818.8345361382962,,,,,,
