2/5/'02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHED TERM,BORDER 1,S DEAL#,S PRICE,S CONT TERM,SCHD HRS,TZ,MWS,UPSTREAM PATH,,SUPPLY,-E-,MARKET,X,DOWNSTREAM PATH,MWS,M CONT TERM,M PRICE,M DEAL#,TAG,GLOBAL ID,PHY?,COMMENTS,TRAN1 NAME,,,,,,,,,,,,,,,,S STRIP ID,M STRIP ID
,PORTLAND GENERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY,NW Delivered,445159.2,0,10/29/2001-4/6/2002,7-22,PST,4,BPA C#10440-CLATSKANPE-BPA(T)BPAP/PGE #10649NF,,CLATSKANPE,-E-,PGE,,LOSSES,0,2/5/2002-2/5/2002,0,897190.1,40620,,P,,,,,,,,,,,,,,Portland General System,,,,,
DAY,NW Delivered,445159.2,0,10/29/2001-4/6/2002,"1-6, 23-24",PST,4,BPA C#10440-CLATSKANPE-BPA(T)BPAP/PGE #10649NF,,CLATSKANPE,-E-,PGE,,LOSSES,0,2/5/2002-2/5/2002,0,897190.1,40620,,P,,,,,,,,,,,,,,Portland General System,,,,,
,,,,,,,,,,,-E-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,8,,,,,8,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,COB N/S HLH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,7-22,PST,0,AVISTA(G)CHELAN,,AVISTA,-E-SNPD(T)BPA(T)MIDC/JD #96092NF-PGE(T)JD/MAL5 #401F-E-,EPMICALPOO,,CISO(T)MAL5/NP15-EPMICALPOO,0,2/5/2002-2/5/2002,0,897191.1,40622,ENRJ_CISO_3000,P,,SNO(T),897192.1,BPA(T)MIDC/JD #96092NF,PGE(T),146517.4,JD/MAL5 #401 F,,,,,,,COB N/S,,,,,
DAY,COB N/S,153325.1,24.75,1/1/2002-4/6/2002,7-22,PST,25,BPA C#21896-BPA(T)BPAP/JD #95363F-BPA(T)JD/MAL5 #95363F,,BPA,-E-,AEP,,IDACORP-CISO(T)MAL5/NP15-IDACORP,25,2/1/02-2/9/02,0,897188.1,IDACORP,,P,,,,,,,,,,,,,,COB N/S,,,,,
DAY,COB N/S,305699.1,27.25,1/1/2002-4/6/2002,7-22,PST,25,BPA C#23273-BPA(T)BPAP/JD #95363F-BPA(T)JD/MAL5 #95363F,,BPA,-E-,AEP,,WESCO-MORGAN-MIRANT-CISO(T)MAL5/NP15-MIRANT,25,2/1/02-2/9/02,0,897188.1,MIRANT TAG,,P,,,,,,,,,,,,,,COB N/S,,,,,
DAY,COB N/S,305699.1,27.25,1/1/2002-4/6/2002,7-22,PST,25,BPA C#23273-BPA(T)BPAP/JD #95363F-BPA(T)JD/MAL5 #95363F,,BPA,-E-,AEP,,AQUILA-CISO(T)MAL5/NP15-AQUILA,25,2/1/02-2/9/02,0,897188.1,AQUILA TAG,,P,,,,,,,,,,,,,,COB N/S,,,,,
DAY,COB N/S,305700.1,27.64,1/1/2002-4/6/2002,7-22,PST,25,BPA C#23274-BPA(T)BPAP/JD #95363F-BPA(T)JD/CPT JACK #95363F,,BPA,-E-,AEP,,SMUD-SMUD(T)CPT JACK/NP15-SMUD,25,2/1/02-2/9/02,0,897188.1,AEP TAG,,P,,,,,,,,,,,,,,COB N/S,,,,,
DAY,COB N/S,305700.1,27.64,1/1/2002-4/6/2002,7-22,PST,25,BPA C#23274-BPA(T)BPAP/JD #95363F-BPA(T)JD/CPT JACK #95363F,,BPA,-E-,AEP,,SMUD-SMUD(T)CPT JACK/NP15-SMUD,25,2/1/02-2/9/02,0,897188.1,AEP TAG,,P,,,,,,,,,,,,,,COB N/S,,,,,
DAY,COB N/S,153327.1,25.35,1/1/2002-4/6/2002,7-22,PST,25,BPA C#21892-BPA(T)BPAP/JD #95363F-BPA(T)JD/MAL5 #95363F,,BPA,-E-,SPP,,MORGAN-APX-CISO(T)MAL5/NP15-APX,25,1/1/2002-4/6/2002,180,556514.1,MORGAN TAG,,P,,,,,,,,,,,,,,COB N/S,,,,,
,,,,,,,,,,,-E-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,150,,,,,0,,,150,,,,,,,,,,,,,,,,,,,,,,,,,
,COB N/S LLH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
