,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Drillship (Conv),Drillship (DP),Jackups(0-200')C,Jackups(0-200')S,Jackups(100-249')C,Jackups(100-249')S,Jackups(250')C,Jackups(250')S,Jackups(250-299')C,Jackups(250-299')S,Jackups(300')C,Jackups(300+')C,Semisub (0-1499),Semisub (1500-3000),Semisub (2nd Gen),Semisub (3000 plus),Semisub (3rd Gen),Semisub (4th Gen),Semisub (5th Gen),Submersible
1980-01-01 00:00:00,35,,,,20,16.5,28.5,25,,,,,22.5,,,,,,,23
1980-02-01 00:00:00,35,,,,24,19,28.5,25,,,,,33,,,,,,,23
1980-03-01 00:00:00,35,,,,29,27,31.5,25,,,,,33.5,,,,,,,23
1980-04-01 00:00:00,40,,,,29,27,35,32,,,,,55,,,,,,,25
1980-05-01 00:00:00,40,,,,29,27,35,32,,,,,55,,,,,,,25
1980-06-01 00:00:00,40,,,,29,27,35,32,,,,,55,,,,,,,25
1980-07-01 00:00:00,40,,,,30,27,42,32,,,,,58,,,,,,,28
1980-08-01 00:00:00,40,,,,30,27,42,32,,,,,58,,,,,,,28
1980-09-01 00:00:00,43,,,,30,27,42,32.5,,,,,58,,,,,,,28
1980-10-01 00:00:00,43,,,,30,27,42,32.5,,,,,58,,,,,,,28
1980-11-01 00:00:00,43,,,,30,27,42,32.5,,,,,58,,,,,,,28
1980-12-01 00:00:00,43,,,,30,30,42,32.5,,,,,58,,,,,,,28
1981-01-01 00:00:00,47,,,,30,27,42,35,,,,,40,,,,,,,27.5
1981-02-01 00:00:00,47,,,,30,27,42,35,,,,,59,,,,,,,27.5
1981-03-01 00:00:00,47,,,,30,27,42,35,,,,,59,,,,,,,27.5
1981-04-01 00:00:00,47,,,,30,27,42,35,,,,,59,,,,,,,30
1981-05-01 00:00:00,47,,,,30,27,42,35,,,,,59,,,,,,,30
1981-06-01 00:00:00,47,,,,30,27,42,35,,,,,59,,,,,,,30
1981-07-01 00:00:00,47,,,,32,31,42,40,,,,,59,,,,,,,30
1981-08-01 00:00:00,47,,,,38,31,45,40,,,,,59,,,,,,,30
1981-09-01 00:00:00,47,,,,38,31,45,40,,,,,59,,,,,,,30
1981-10-01 00:00:00,47,,,,38,31,48,43,,,,,59,,,,,,,30
1981-11-01 00:00:00,47,,,,38,31,48,43,,,,,59,,,,,,,30
1981-12-01 00:00:00,47,,,,38,31,48,43,,,,,59,,,,,,,30
1982-01-01 00:00:00,47,,,,38,31,48,43,,,,,59,,,,,,,31.5
1982-02-01 00:00:00,47,,,,38,31,48,43,,,,,59,,,,,,,30
1982-03-01 00:00:00,47,,,,38,31,48,43,,,,,59,,,,,,,30
1982-04-01 00:00:00,47,,,,38,31,48,43,,,,,59,,,,,,,30
1982-05-01 00:00:00,47,,,,38,31,48,43,,,,,59,,,,,,,30
1982-06-01 00:00:00,47,,,,26,22,32,30,,,,,50,,,,,,,26
1982-07-01 00:00:00,47,,,,26,22,32,30,,,,,50,,,,,,,26
1982-08-01 00:00:00,47,,,,18,15,27,20,,,,,50,,,,,,,26
1982-09-01 00:00:00,35,,,,15,15,25,20,,,,,35,,,,,,,15
1982-10-01 00:00:00,35,,,,18,16,25,20,,,,,35,,,,,,,15
1982-11-01 00:00:00,35,,,,18,16,25,20,,,,,35,,,,,,,15
1982-12-01 00:00:00,35,,,,15,15,20,15,,,,,35,,,,,,,15
1983-01-01 00:00:00,35,,,,15,15,20,15,,,,,35,,,,,,,15
1983-02-01 00:00:00,30,,,,14,12.5,20,14,,,,,30,,,,,,,14
1983-03-01 00:00:00,30,,,,14,12,20,14,,,,,30,,,,,,,14
1983-04-01 00:00:00,30,50,,,14,12,20,14,,,,,30,,,,,,,14
1983-05-01 00:00:00,30,50,,,14,12,20,14,,,,,30,,,,,,,14
1983-06-01 00:00:00,30,50,,,14,12,20,14,,,,,30,,,,,,,14
1983-07-01 00:00:00,20,,,,12,12,14,14,,,,,25,,,,,,,12
1983-08-01 00:00:00,20,,,,12,12,14,14,,,,,25,,,,,,,12
1983-09-01 00:00:00,20,,,,12,12,14,14,,,,,25,,,,,,,12
1983-10-01 00:00:00,20,,,,12,12,14,12,,,,,25,30,,,,,,12
1983-11-01 00:00:00,20,,,,12,12,15,12,,,,,25,30,,,,,,12
1983-12-01 00:00:00,20,,,,12,12,15,12,,,,,25,25,,,,,,12
1984-01-01 00:00:00,20,,,,13,10,15,13,,,,,25,30,,,,,,12
1984-02-01 00:00:00,20,,,,13,10,20,13,,,,,30,35,,,,,,12
1984-03-01 00:00:00,20,,,,13,10,20,13,,,,,30,35,,,,,,12
1984-04-01 00:00:00,20,,,,13,10,16,13,,,,,30,35,,,,,,12
1984-05-01 00:00:00,20,,,,13,10,16,13,,,,,25,35,,,,,,12
1984-06-01 00:00:00,40,,,,13,10,16,14,,,,,30,30,,,,,,12
1984-07-01 00:00:00,40,,,,13,10,16,14,,,,,30,30,,,,,,12
1984-08-01 00:00:00,35,,,,13,10,16,14,,,,,43,43,,,,,,12
1984-09-01 00:00:00,35,45,,,13,10,18,14,,,,,43,43,,,,,,12
1984-10-01 00:00:00,35,45,,,14,13,18,15,,,,,35,43,,,,,,14
1984-11-01 00:00:00,35,45,,,14,13,18,15,,,,,36,43,,,,,,14
1984-12-01 00:00:00,35,49,,,14,13,19,15,,,,,36,43,,,,,,18
1985-01-01 00:00:00,35,49,,,14,13,21,15,,,,,36,46,,,,,,18
1985-02-01 00:00:00,35,49,,,14,13,16.5,16.5,,,,,25,43,,,,,,12
1985-03-01 00:00:00,35,49,,,14,13,16.5,16.5,,,,,25,43,,,,,,12
1985-04-01 00:00:00,35,49,,,14,13,16.5,16.5,,,,,25,43,,,,,,12
1985-05-01 00:00:00,35,49,,,14,13,16.5,16.5,,,,,25,35,,,,,,12
1985-06-01 00:00:00,35,49,,,14.5,13,16.5,16.5,,,,,25,35,,,,,,12
1985-07-01 00:00:00,35,49,,,14.5,13,16.5,16.5,,,,,25,35,,,,,,12
1985-08-01 00:00:00,35,49,,,14.5,13,15,15,,,,,25,35,,,,,,12
1985-09-01 00:00:00,35,49,,,14.5,13,15,15,,,,,25,35,,,,,,12
1985-10-01 00:00:00,35,49,,,14.5,13,15,15,,,,,25,35,,,,,,12
1985-11-01 00:00:00,35,49,,,14.5,13,15,15,,,,,25,35,,,,,,12
1985-12-01 00:00:00,,49,,,14.5,13,15,15,,,,,25,35,,,,,,12
1986-01-01 00:00:00,,49,,,14.5,13,15,15,,,,,25,35,,,,,,12
1986-02-01 00:00:00,,,,,10,10,16,13,,,,,25,35,,,,,,10
1986-03-01 00:00:00,,,,,9,9,11,11,,,,,25,35,,,,,,9
1986-04-01 00:00:00,,,,,9,9,11,11,,,,,25,35,,,,,,9
1986-05-01 00:00:00,,,,,9,9,11,11,,,,,25,35,,,,,,9
1986-06-01 00:00:00,,,,,9,9,10,10,,,,,,,,,,,,9
1986-07-01 00:00:00,,,,,9,9,9,9,,,,,,,,,,,,9
1986-08-01 00:00:00,,,,,9,9,9,9,,,,,14,,,,,,,9
1986-09-01 00:00:00,,,,,9,9,9,9,,,,,14,,,,,,,9
1986-10-01 00:00:00,,,,,9,9,9,9,,,,,12,,,,,,,9
1986-11-01 00:00:00,,,,,9,9,9,9,,,,,12,,,,,,,9
1986-12-01 00:00:00,,,,,9,9,9,9,,,,,12,,,,,,,9
1987-01-01 00:00:00,,,,,9,9,9,9,,,,,12,,,,,,,9
1987-02-01 00:00:00,,,,,9,9,9,9,,,,,12,,,,,,,9
1987-03-01 00:00:00,,,,,8,7,10,9,,,,,12,,,,,,,8
1987-04-01 00:00:00,,,,,8,7,10,9,,,,,12,,,,,,,8
1987-05-01 00:00:00,,,,,8,7,10,9,,,,,12,,,,,,,8
1987-06-01 00:00:00,,,,,8,7,11,9,,,,,12,,,,,,,8
1987-07-01 00:00:00,,,,,8,7,10,9,,,,,12,,,,,,,8
1987-08-01 00:00:00,,,,,9,7,10.5,9.5,,,,,12,,,,,,,8
1987-09-01 00:00:00,,,,,9,7,10.5,9.5,,,,,12,,,,,,,8
1987-10-01 00:00:00,,,,,9,7,13,9.5,,,,,16,25,,,,,,8
1987-11-01 00:00:00,,,,,10.5,10.5,14,13,,,,,16,35,,,,,,9.5
1987-12-01 00:00:00,,40,,,10.5,10.5,15,13,,,,,16,35,,,,,,9.5
1988-01-01 00:00:00,,40,,,11.7,10.5,15,13,,,,,16,35,,,,,,9.5
1988-02-01 00:00:00,,40,,,11.7,10.5,16,13,,,,,16,35,,,,,,9.5
1988-03-01 00:00:00,,45,,,11.7,10.5,16,13,,,,,16,45,,,,,,9.5
1988-04-01 00:00:00,,45,,,11.7,10.5,18,13,,,,,16,45,,,,,,9.5
1988-05-01 00:00:00,,45,,,11.7,10.5,18,13,,,,,16,45,,,,,,9.5
1988-06-01 00:00:00,,45,,,11.7,10.5,18,13,,,,,16,45,,,,,,12
1988-07-01 00:00:00,,45,,,11.7,10.5,18,13,,,,,16,45,,,,,,12
1988-08-01 00:00:00,,45,,,11.7,10.5,18,13,,,,,16,45,,,,,,12
1988-09-01 00:00:00,,45,,,11.7,10.5,15,13,,,,,16,45,,,,,,12
1988-10-01 00:00:00,,45,,,11.7,10.5,15,13,,,,,16,45,,,,,,12
1988-11-01 00:00:00,,45,,,12,11,17,14,,,,,18,45,,,,,,12
1988-12-01 00:00:00,,45,,,12,11,17,14,,,,,18,45,,,,,,12
1989-01-01 00:00:00,,55,,,14,11.5,18,14,,,,,18,45,,,,,,12
1989-02-01 00:00:00,,55,,,14,11.5,18,14,,,,,18,45,,,,,,12
1989-03-01 00:00:00,,55,,,13,11.5,17,14,,,,,18,45,,,,,,11
1989-04-01 00:00:00,,55,,,13,11.5,17,14,,,,,18,45,,,,,,11
1989-05-01 00:00:00,,55,,,13,11.5,17,14,,,,,16.5,38,,,,,,11
1989-06-01 00:00:00,,55,,,13,11.5,21,15,,,,,16.5,38,,,,,,11
1989-07-01 00:00:00,,55,,,13,11.5,18,15,,,,,16.5,38,,,,,,11
1989-08-01 00:00:00,,55,,,13,11.5,18,15,,,,,16.5,38,,,,,,11
1989-09-01 00:00:00,,55,,,13,11.5,18,15,,,,,16.5,60,,,,,,11
1989-10-01 00:00:00,,55,,,13.5,12,21,20,,,,,16.5,60,,,,,,11
1989-11-01 00:00:00,,55,,,13.5,12,21,20,,,,,16.5,60,,,,,,11
1989-12-01 00:00:00,,55,,,16,13.5,20,17,,,,,16.5,49,,,,,,12
1990-01-01 00:00:00,,55,16.5,12.5,,,,,17,17,,20,16.5,49,,,,,,12
1990-02-01 00:00:00,,55,16.5,12.5,,,,,17.5,17,,20,16.5,49,,,,,,12
1990-03-01 00:00:00,,55,16.5,12.5,,,,,17.5,17,,20,16.5,49,,,,,,12
1990-04-01 00:00:00,,55,16.5,12.5,,,,,17.5,17,,20,16.5,49,,,,,,12
1990-05-01 00:00:00,,55,16.5,12.5,,,,,17.5,17,,20,16.5,49,,,,,,12
1990-06-01 00:00:00,,55,16.5,12.5,,,,,17.5,17,,20,16.5,49,,,,,,12
1990-07-01 00:00:00,,55,16.5,12.5,,,,,17.5,17,,20,17.5,49,,,,,,12
1990-08-01 00:00:00,,55,14,12,,,,,16,14,,18,16.5,49,,,,,,11.5
1990-09-01 00:00:00,,55,14,12,,,,,16,14,,18,16,49,,,,,,12
1990-10-01 00:00:00,,55,14.5,13.5,,,,,19,15.5,,23,18,49,,,,,,11.5
1990-11-01 00:00:00,,65,16,13,,,,,29,19,,32,19,32,,50,,,,12.5
1990-12-01 00:00:00,,65,16,13,,,,,29,19,,32,19,32,,50,,,,12.5
1991-01-01 00:00:00,,65,15,13,,,,,26,17,,28.5,17,30,,50,,,,12.5
1991-02-01 00:00:00,,65,14,13,,,,,21,15,,24,17,30,,50,,,,14
1991-03-01 00:00:00,,65,13,12,,,,,17.5,14,,20,23,38,,72.5,,,,14
1991-04-01 00:00:00,,65,13,12.5,,,,,17.5,14,,20,23,38,,72.5,,,,17
1991-05-01 00:00:00,,80,11.5,12.5,,,,,16.5,12,,18,26,42,,79,,,,17
1991-06-01 00:00:00,,80,11.5,12.5,,,,,16,12,,17.5,29,43,,79,,,,17
1991-07-01 00:00:00,,80,11.5,12.5,,,,,16,12,,17.5,29,43,,79,,,,17
1991-08-01 00:00:00,,80,11.5,12.5,,,,,14.5,12,,15.5,28,41,,73,,,,13
1991-09-01 00:00:00,,75,11.5,12.5,,,,,14.5,12,,15.5,25,33,,58,,,,13
1991-10-01 00:00:00,,75,11.5,12,,,,,13.5,11.5,,15,23,31,,52.5,,,,11.5
1991-11-01 00:00:00,,75,10,10,,,,,12.5,10.5,,14,23,31,,52.5,,,,9.5
1991-12-01 00:00:00,,75,10,10,,,,,12.5,10.5,,14,23,31,,52.5,,,,9.5
1992-01-01 00:00:00,,75,10,10,,,,,12.5,10.5,,13.5,20,25,,47.5,,,,9.5
