PEAK,,,,,,,,,,,,,,
,,2001-01-01 00:00:00,2001-02-01 00:00:00,2001-03-01 00:00:00,2001-04-01 00:00:00,2001-05-01 00:00:00,2001-06-01 00:00:00,2001-07-01 00:00:00,2001-08-01 00:00:00,2001-09-01 00:00:00,2001-10-01 00:00:00,2001-11-01 00:00:00,2001-12-01 00:00:00,
LT Cali,NP,,92,12,,,,14,14,39,10,10,10,
,SP,,,,15,15,15,,,,50,50,50,
LT NW,NP,,,50,150,133,204,25,25,25,,,,
,SP,,25,25,100,100,100,50,50,50,100,100,100,
LT SW,NP,,,,25,25,100,50,50,125,50,50,50,
,SP,,175,75,200,200,225,,,,150,150,150,
LT West Mgt,NP,,,,,,,,,,25,25,25,
,SP,,,,,,,,,,25,25,25,
,,,,,,,,,,,,,,
ST Cali,NP,,50,,25,25,25,,,,,,,
,SP,,75,25,,,,,,,,,,
ST NW,NP,,,,,,,,,,,,,
,SP,,,,,,,,,,,,,
ST SW,NP,,,,25,25,25,,,,,,,
,SP,,50,,,,,,,,,,,
,,,,,,,,,,,,,,
WEST TOTAL,NP,0,142,62,225,208,354,89,89,189,85,85,85,1613.0
,SP,0,325,125,315,315,340,50,50,50,325,325,325,2545.0
,,0,467,187,540,523,694,139,139,239,410,410,410,4158.0
,,,,,,,,,,,,,,
1/22 Curve,NP,,250,215,185,185,200,215,240,215,146,130,135,
Last Trade,NP,,261,235,230,230,230,250,250,250,,,,
Offer,NP,,258,235,225,225,240,240,270,240,165,165,165,
Note,,,1,2,3,3,3,4,4,4,5,5,5,
,,,,,,,,,,,,,,
1/22 Curve,SP,,240,210,193,203,238,240,265,225,143,128,119,
Last Trade,SP,,255,,250,250,250,260,260,260,,,,
Offer,SP,,253,225,250,250,250,260,260,260,165,165,165,
Note,,,6,6,7,7,7,8,8,8,5,5,5,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,SP,-11624.845870618405,62642.0911831992,17257.492140508115,41094.79962480489,40069.85890205622,27303.58064858314,-8201.539488417417,-10820.49872659304,-6653.043285645803,44062.126905795274,43682.51450725044,47710.407266701775,
,NP,6853.448895662565,65396.92491067534,122662.61006834425,95088.39591357294,85440.84021054965,62800.95402311342,35693.34011131643,37550.33099213755,52447.7131613319,70336.80223059791,80500.65557234753,87367.1410887741,
,,,384,432,400,416,416,400,432,384,432,400,400,
,,,,,,,,,,,,,,
Current Pos.,SP,,238.13044578958124,39.94789847339842,427.7369990620122,421.32177620686593,390.63360732832484,79.49615127895646,74.9525492439976,82.67436644363072,251.99566413378534,259.20628626812606,269.27601816675445,
,NP,,170.3044919548837,283.94122701005614,312.72098978393234,280.38663512151356,375.96383178633033,89.23335027829107,86.92206248179988,136.58258635763517,162.81667183008776,201.25163893086884,218.41785272193522,
,,,,,,,,,,,,,,
new nw,SP,,,,112.5,112.5,112.5,25,25,25,75,75,75,
,NP,,,,50,50,100,,,,,,,
,,,,,,,,,,,,,,
new sw,SP,,75,,212.5,212.5,212.5,75,75,75,75,75,75,
,NP,,,,25,25,125,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1. Last trade done today.  EOL bid hit at $258 earlier today.,,,,,,,,,,,,
,,2. Maintain consistent spread to February and Q2,,,,,,,,,,,,
,,3.  Last trade done on Bloomberg today.  Kept shape from previous curve file.,,,,,,,,,,,,
,,4.  Last trade done today.  Kept shape from previous curve file.,,,,,,,,,,,,
,,5.  Current market is 163/178,,,,,,,,,,,,
,,6.  We would be happy to keep the position at this price.,,,,,,,,,,,,
,,7.  Last trade was in NP15 Q2.  Keeping the spread consistent.,,,,,,,,,,,,
,,8.  Last trade was $260.,,,,,,,,,,,,
