,,,,,,,,,,
,,,,,,,,,,
per,hp date,gas start,gas end,days,Year,,disc gas val,disc net m-m,disc basis,disc xport
0,2000-03-31 00:00:00,2000-03-01 00:00:00,,,,,,,,
1,2000-05-01 00:00:00,2000-07-01 00:00:00,2000-07-31 00:00:00,31,0.4166666666666667,,30134.653680673422,722.9499079530242,0,6064.37220272339
2,2000-06-01 00:00:00,2000-08-01 00:00:00,2000-08-31 00:00:00,31,0.5,,29896.25673120027,717.230610346215,0,6016.396611269149
3,2000-07-01 00:00:00,2000-09-01 00:00:00,2000-09-30 00:00:00,30,0.5805555555555556,,28710.57989568184,688.7854532130561,0,5777.788073771919
4,2000-08-01 00:00:00,2000-10-01 00:00:00,2000-10-31 00:00:00,31,0.6666666666666666,,29425.10582747285,705.9273942518428,0,5921.58103866859
5,2000-09-01 00:00:00,2000-11-01 00:00:00,2000-11-30 00:00:00,30,0.7472222222222222,,28258.114699586848,677.930519377244,0,5686.732859168339
6,2000-10-01 00:00:00,2000-12-01 00:00:00,2000-12-31 00:00:00,31,0.8333333333333334,,28961.38003974168,694.8023115112802,0,5828.259714766784
7,2000-11-01 00:00:00,2001-01-01 00:00:00,2001-01-31 00:00:00,31,0.9166666666666666,,28732.264924394094,689.305691131753,0,5782.152022557639
8,2000-12-01 00:00:00,2001-02-01 00:00:00,2001-02-28 00:00:00,28,0.9916666666666667,,25766.874861759676,618.1640581286404,0,5185.389595597819
9,2001-01-01 00:00:00,2001-03-01 00:00:00,2001-03-31 00:00:00,31,1.0833333333333333,,28279.457982475633,678.4425585917434,0,5691.028034179712
10,2001-02-01 00:00:00,2001-04-01 00:00:00,2001-04-30 00:00:00,30,1.163888888888889,,27157.90291448462,651.5357242952416,0,5465.323519695436
11,2001-03-01 00:00:00,2001-05-01 00:00:00,2001-05-31 00:00:00,31,1.25,,27833.787064368345,667.7506238963186,0,5601.340116874547
12,2001-04-01 00:00:00,2001-06-01 00:00:00,2001-06-30 00:00:00,30,1.3305555555555555,,26729.9071752004,641.2678286161132,0,5379.192599071519
13,2001-05-01 00:00:00,2001-07-01 00:00:00,2001-07-31 00:00:00,31,1.4166666666666667,,27395.139709703108,657.2271890482037,0,5513.065638839445
14,2001-06-01 00:00:00,2001-08-01 00:00:00,2001-08-31 00:00:00,31,1.5,,27178.415210182062,652.0278275874682,0,5469.451464790134
15,2001-07-01 00:00:00,2001-09-01 00:00:00,2001-09-30 00:00:00,30,1.5805555555555555,,26100.527177892585,626.1685938300511,0,5252.534612519927
16,2001-08-01 00:00:00,2001-10-01 00:00:00,2001-10-31 00:00:00,31,1.6666666666666667,,26750.096206793496,641.7521765925843,0,5383.255489698718
17,2001-09-01 00:00:00,2001-11-01 00:00:00,2001-11-30 00:00:00,30,1.7472222222222222,,25689.19518144258,616.3004721611308,0,5169.757144698489
18,2001-10-01 00:00:00,2001-12-01 00:00:00,2001-12-31 00:00:00,31,1.8333333333333333,,26328.52730885607,631.6384650102547,0,5298.4179225152575
19,2001-11-01 00:00:00,2002-01-01 00:00:00,2002-01-31 00:00:00,31,1.9166666666666667,,26120.24084035827,626.6415373925028,0,5256.501838688762
20,2001-12-01 00:00:00,2002-02-01 00:00:00,2002-02-28 00:00:00,28,1.9916666666666667,,23424.431692508795,561.9673255714913,0,4713.990541452563
21,2002-01-01 00:00:00,2002-03-01 00:00:00,2002-03-31 00:00:00,31,2.0833333333333335,,25708.59816588694,616.7659623561303,0,5173.661849254284
22,2002-02-01 00:00:00,2002-04-01 00:00:00,2002-04-30 00:00:00,30,2.1638888888888888,,24689.00264953147,592.305203904765,0,4968.4759269958495
23,2002-03-01 00:00:00,2002-05-01 00:00:00,2002-05-31 00:00:00,31,2.25,,25303.442785789404,607.046021723926,0,5092.12737897686
24,2002-04-01 00:00:00,2002-06-01 00:00:00,2002-06-30 00:00:00,30,2.3305555555555557,,24299.91561381854,582.9707532873756,0,4890.175090065017
25,2002-05-01 00:00:00,2002-07-01 00:00:00,2002-07-31 00:00:00,31,2.4166666666666665,,24904.67246336646,597.4792627710942,0,5011.877853490404
26,2002-06-01 00:00:00,2002-08-01 00:00:00,2002-08-31 00:00:00,31,2.5,,24707.6501910746,592.752570534062,0,4972.228604354668
27,2002-07-01 00:00:00,2002-09-01 00:00:00,2002-09-30 00:00:00,30,2.5805555555555557,,23727.751979902347,569.2441762091373,0,4775.031465927205
28,2002-08-01 00:00:00,2002-10-01 00:00:00,2002-10-31 00:00:00,31,2.6666666666666665,,24318.269278903175,583.4110696296219,0,4893.868626998834
29,2002-09-01 00:00:00,2002-11-01 00:00:00,2002-11-30 00:00:00,30,2.7472222222222222,,23353.81380131144,560.273156510119,0,4699.779222453172
30,2002-10-01 00:00:00,2002-12-01 00:00:00,2002-12-31 00:00:00,31,2.8333333333333335,,23935.02482623279,574.2167863729588,0,4816.743565922961
