,RESERVOIR STORAGE FACILITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,OPERATING COMPANY,FIELD,COUNTY,WORKING TOP GAS,RRC 1/15/96,RRC 1/31/96,RRC 2/15/96,RRC 2/31/96,RRC 2/15/96,RRC 3/31/96,RRC 4/15/96,RRC 4/30/96,RRC 5/15/96,RRC 5/31/96,RRC 6/15/96,RRC 6/30/96,RRC 7/15/96,RRC 7/31/96,RRC 8/15/96,RRC 8/31/96,RRC 9/15/96,RRC 9/30/96,RRC 10/15/96,RRC 10/31/96,RRC 11/15/96,RRC 11/30/96,RRC 12/15/96,RRC 12/31/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,"American Gas Storage, L. P.",Felmac,Gaines,5500,,,,,,,,,,,,2011,,2061,,,,2641,,2999,,2730,,2390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,"American Gas Storage, L. P.",Loop Field,Gaines,8000,,,,,,,,,,,,4897,,5041,,,,6028,,6538,,6091,,5044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,City of Brady,Janellen,Brown,100,,,,,,,,,,,,27,,27,,,,27,,28,,29,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,El Paso Field Services,Rotherwood,Harris,1000,,,,,,,,,,,,1131,,1222,,,,1294,,1302,,1221,,1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Houston Pipe Line Co.,Bammel,Harris,45000,,,,,,,,,,,,14466,,17069,,,,27068,,35025,,38220,,27659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Delhi Gas Pipeline Corp.,Pickton,Hopkins,766,,,,,,,,,,,,3723,,3366,,,,3090,,3040,,2960,,2917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Pipeline Co.,Ambassador,Clay,80,,,,,,,,,,,,80,,80,,,,80,,80,,80,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Pipeline Co.,Hill,Eastland,8615,,,,,,,,,,,,5466,,5519,,,,5702,,5702,,5605,,5503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Pipeline Co.,La Pan,Clay,3425,,,,,,,,,,,,2170,,2386,,,,2913,,3323,,3294,,3071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Pipeline Co.,Lake Dallas,Denton,2825,,,,,,,,,,,,3763,,3831,,,,4111,,4152,,4111,,4016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Pipeline Co.,New York City,Clay,5290,,,,,,,,,,,,3668,,4043,,,,4674,,4949,,5219,,5294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Pipeline Co.,Pecan Station,Tom Green,1310,,,,,,,,,,,,839,,843,,,,687,,686,,643,,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Pipeline Co.,Tri-Cities (Bacon),Henderson,18453,,,,,,,,,,,,11457,,12178,,,,14326,,15541,,15799,,15798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Pipeline Co.,Tri-Cities (Rodessa),Henderson,6900,,,,,,,,,,,,2539,,2539,,,,2539,,2539,,2539,,2539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lower Colorado River Authority,Hillbig,Bastrop,3000,,,,,,,,,,,,2018,,1577,,,,3726,,3995,,3576,,3307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Natural Gas Pipeline,North Lansing,Harrison,69000,,,,,,,,,,,,14118,,14027,,,,34529,,40034,,31772,,27013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Southwestern Gas Pipeline Inc.,Lone Camp,Palo Pinto,500,,,,,,,,,,,,495,,305,,,,471,,354,,522,,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Tejas Gas Pipeline Co.,West Clear Lake,Harris,48000,,,,,,,,,,,,9442,,7656,,,,14765,,20410,,15750,,7782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Texas Utilities Fuel Co.,South Bryson,Jack,5500,,,,,,,,,,,,5809,,5160,,,,5374,,5563,,5959,,6231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Texas Utilities Fuel Co.,Worsham-Steed,Jack,46,,,,,,,,,,,,6915,,3625,,,,3236,,2987,,2758,,2612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Gas Company,Leeray,Stephens,4775,,,,,,,,,,,,1527,,1509,,,,1514,,1510,,1505,,1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Tristar Gas Co.,Pottsville,Hamilton,513,,,,,,,,,,,,3075,,3040,,,,2973,,2941,,2918,,2890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Western Gas Resources Storage,Katy Hub,Ft. Bend,18500,,,,,,,,,,,,7610,,8946,,,,14191,,16933,,13703,,8743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,257098,0,0,0,0,0,0,0,0,0,0,0,107246,,106050,,,,155959,,180631,,167004,,136784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,OPERATING COMPANY,FIELD,COUNTY,WORKING TOP GAS,RRC 1/15/97,RRC 1/31/97,RRC 2/15/97,RRC 2/28/97,RRC 3/15/97,RRC 3/31/97,RRC 4/15/97,RRC 4/30/97,RRC 5/15/97,RRC 5/31/97,RRC 6/15/97,RRC 6/30/97,RRC 7/15/97,RRC 7/31/97,RRC 8/15/97,RRC 8/31/97,RRC 9/15/97,RRC 9/30/97,RRC 10/15/97,RRC 10/31/97,RRC 11/15/97,RRC 11/30/97,RRC 12/15/97,RRC 12/31/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,"American Gas Storage, L. P.",Felmac,Gaines,5500,,2075,,1842,,1785,,1713,,1986,,2252,2301,2105,2103,2162,,2354,2594,2735,2720,2705,2405,2160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,"American Gas Storage, L. P.",Loop Field,Gaines,8000,,4121,,3665,,3897,,3727,,4814,,5352,5359,4543,4743,4856,,5407,5975,6337,6310,6289,5536,4892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,City of Brady,Janellen,Brown,100,,29,,29,,29,,29,,29,,29,29,29,29,29,,29,29,29,29,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,El Paso Field Services,Rotherwood,Harris,1000,,1135,,1192,,1148,,1070,,1206,,1317,1317,1273,1242,1177,,1233,1367,1378,1330,1362,1372,1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Houston Pipe Line Co.,Bammel,Harris,45000,,11700,,3870,,11106,,18565,,27037,,30180,30257,30621,31244,33174,,39813,41945,45067,41490,37609,29052,21526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Delhi Gas Pipeline Corp.,Pickton,Hopkins,766,,2734,,2605,,2534,,2412,,2216,,2057,1692,1925,1417,1799,,1683,1621,1569,1500,1462,1401,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Pipeline Co.,Ambassador,Clay,80,,80,,80,,80,,80,,80,,80,80,80,80,80,,80,80,80,80,80,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Pipeline Co.,Hill,Eastland,8615,,5298,,5388,,5391,,5382,,5498,,5498,5498,5497,5682,6042,,6636,6882,7025,7080,7032,6699,6455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Pipeline Co.,La Pan,Clay,3425,,2970,,2872,,2699,,2556,,2627,,2788,2845,2871,2962,3363,,3474,3608,3636,3620,3667,3581,3374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Pipeline Co.,Lake Dallas,Denton,2825,,3657,,3700,,3817,,3855,,3881,,4000,4034,4039,4038,3980,,4165,4225,4244,4230,4259,4162,4118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Pipeline Co.,New York City,Clay,5290,,4724,,4527,,4806,,5352,,5830,,5963,6025,6140,6345,6653,,6799,6784,6491,6450,6210,5482,5005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Pipeline Co.,Pecan Station,Tom Green,1310,,637,,653,,644,,643,,651,,644,644,644,644,642,,641,641,640,640,639,639,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Pipeline Co.,Tri-Cities (Bacon),Henderson,18453,,14147,,12748,,12664,,11524,,11318,,12084,12557,12473,12786,14019,,15477,16432,16526,16410,16047,15210,13809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Pipeline Co.,Tri-Cities (Rodessa),Henderson,6900,,2520,,2486,,2447,,2409,,2373,,2341,2327,2311,2297,2277,,2244,2229,2209,2190,2174,2160,2144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lower Colorado River Authority,Hillbig,Bastrop,3000,,2171,,1747,,2562,,3916,,3616,,3133,2956,2574,2341,2071,,1564,1428,1314,1240,1378,1296,1324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Natural Gas Pipeline,North Lansing,Harrison,69000,,14608,,10692,,15027,,18887,,24055,,28998,29653,25350,27569,29444,,40172,43838,47502,45150,39131,30075,25847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Southwestern Gas Pipeline Inc.,Lone Camp,Palo Pinto,500,,486,,408,,314,,438,,363,,483,511,276,339,282,,120,305,481,530,502,393,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Tejas Gas Pipeline Co.,West Clear Lake,Harris,48000,,3021,,1878,,6496,,10485,,15434,,21464,24588,27951,30669,32251,,30842,29750,36486,34010,28767,23083,17447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
