Peer ID,Portfolio,Enron Entity,Counterparty,Buy/Sell,Instrument,Volume,Fixed Price Pub. Code,From Delivery Point,Deal Start Date,Deal End Date,Deal Date
453152,WEST,EPMI-LT-CALI,CONSTELLPO,S,INDEX-FORWARD,25,PXNP15,NP-15,2001-07-01 00:00:00,2001-09-30 00:00:00,2000-11-07 13:52:43
453175,WEST,EPMI-LT-SW,CONSTELLPO,S,INDEX-FORWARD,100,PXNP15,NP-15,2001-07-01 00:00:00,2001-09-30 00:00:00,2000-11-07 14:05:00
453294,WEST,EPMI-ST-CA,CONSTELLPO,S,INDEX-FORWARD,100,PXSP15,SP-15,2001-07-01 00:00:00,2001-09-30 00:00:00,2000-11-07 15:36:02
462109,WEST,EPMI-ST-CA,CONSTELLPO,S,INDEX-FORWARD,50,PXSP15,SP-15,2001-07-01 00:00:00,2001-09-30 00:00:00,2000-11-17 16:26:21
471888,WEST,EPMI-LT-SW,CONSTELLPO,B,INDEX-FORWARD,125,PXNP15,NP-15,2001-07-01 00:00:00,2001-09-30 00:00:00,2000-12-01 15:34:22
471889,WEST,EPMI-LT-SW,CONSTELLPO,B,INDEX-FORWARD,150,PXSP15,SP-15,2001-07-01 00:00:00,2001-09-30 00:00:00,2000-12-01 15:34:36
253768,WEST,EPMI-LT-WESTMGM,EESI,S,SWAP,0.2,PXSP15,Financial Deal - R11,2005-01-01 00:00:00,2009-06-30 00:00:00,1999-10-18 19:41:52
254352,WEST,EPMI-LT-WESTMGM,EESI,S,SWAP,1,PXNP15,Financial Deal - R10,2000-01-01 00:00:00,2009-12-31 00:00:00,1999-10-20 10:41:33
254361,WEST,EPMI-LT-WESTMGM,EESI,S,SWAP,1,PXNP15,Financial Deal - R10,2000-01-01 00:00:00,2009-12-31 00:00:00,1999-10-20 11:04:59
408286,WEST,EPMI-LT-SW,EESI,B,INDEX-FORWARD,21,PXSP15,SP-15,2000-10-01 00:00:00,2002-12-31 00:00:00,2000-09-08 10:31:16
385852,WEST,EPMI-LT-WESTMGM,ENRONENEMA,S,INDEX-FORWARD,1,PXNP15,NP-15,2000-07-01 00:00:00,2003-06-30 00:00:00,1998-06-30 10:02:00
408316,WEST,EPMI-LT-SW,ENRONWIND,B,INDEX-FORWARD,21,PXSP15,PALO VERDE,2003-01-01 00:00:00,2003-06-30 00:00:00,2000-09-08 10:30:00
470917,WEST,EPMI-LT-SW,EPMI-LT-CA,S,INDEX-FORWARD,0,PXNP15,NP-15,2001-07-01 00:00:00,2001-09-30 00:00:00,2000-11-30 16:13:55
470807,WEST,EPMI-LT-CALI,EPMI-LT-SW,B,INDEX-FORWARD,25,PXNP15,NP-15,2001-07-01 00:00:00,2001-09-30 00:00:00,2000-11-30 15:19:27
471738,WEST,EPMI-LT-CALI,EPMI-LT-SW,B,INDEX-FORWARD,75,PXSP15,SP-15,2001-07-01 00:00:00,2001-09-30 00:00:00,2000-12-01 13:40:17
476439,WEST,EPMI-LT-SW,EPMI-ST-CA,S,INDEX-FORWARD,100,PXSP15,SP-15,2001-07-01 00:00:00,2001-09-30 00:00:00,2000-12-07 14:00:59
408250,WEST,EPMI-ST-SW,LADWP,S,INDEX-FORWARD,21,PXSP15,PALO VERDE,2000-10-01 00:00:00,2003-06-30 00:00:00,2000-09-08 00:00:00
404980,WEST,EPMI-LT-NW,MERCED,S,SWAP,2001-06-23 00:00:00,PXNP15,Financial Deal - R10,2000-09-01 00:00:00,2003-08-31 00:00:00,2000-09-01 11:00:03
463074,WEST,EPMI-LT-CALI,PGET,B,INDEX-FORWARD,25,PXSP15,SP-15,2001-01-01 00:00:00,2001-03-31 00:00:00,2000-11-20 11:33:25
509086,WEST,EPMI-LT-CALI,PGET,S,INDEX-FORWARD,25,PXSP15,SP-15,2001-02-01 00:00:00,2001-03-31 00:00:00,2001-01-30 16:42:15
492008,WEST,EPMI-LT-CALI,SCEM,B,INDEX-FORWARD,25,PXSP15,SP-15,2001-02-01 00:00:00,2001-02-28 00:00:00,2001-01-08 14:02:37
492135,WEST,EPMI-LT-SW,SCEM,B,INDEX-FORWARD,25,PXNP15,NP-15,2001-02-01 00:00:00,2001-02-28 00:00:00,2001-01-08 16:19:36
508957,WEST,EPMI-LT-CALI,SCEM,S,INDEX-FORWARD,25,PXSP15,SP-15,2001-02-01 00:00:00,2001-02-28 00:00:00,2001-01-30 14:39:33
509018,WEST,EPMI-LT-SW,SCEM,S,INDEX-FORWARD,25,PXNP15,NP-15,2001-02-01 00:00:00,2001-02-28 00:00:00,2001-01-30 14:37:25
417033,WEST,EPMI-ST-SW,TUCSON,B,INDEX-FORWARD,21,PXSP15,PALO VERDE,2000-10-01 00:00:00,2003-06-30 00:00:00,2000-09-19 00:00:00
