Day EndingVolume,,,,,,,,,,,
,,,Blanco - Norhtwest Pipeline,,,TransColorado I/C,,,Bloomfield Fuel,,
,,,Station Btu,,,Station Btu,,,Station Btu,,
,,,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min
,,,,,,,,,,,
Begin Date:,2001-06-01,2001-06-01,1007.7133,1011.893,1003.7990000000001,1033.6136000000001,1041.644,1027.7820000000002,1004.7332,1006.591,999.7269
End Date:,2002-02-19,2001-06-02,1007.0411,1012.4190000000001,999.6813000000001,1025.2747,1038.048,1016.484,1003.3403000000001,1006.4670000000001,1000.162
,,2001-06-03,1006.807,1009.964,1004.7180000000001,1023.4023000000001,1032.922,1008.19,1003.7048000000001,1006.57,1001.734
,,2001-06-04,1005.4836,1009.355,1004.98,1027.6444000000001,1032.387,1018.0980000000001,1003.3309,1005.075,1001.461
,,2001-06-05,1005.19,1005.19,1005.19,1024.2927,1030.323,1018.2570000000001,1003.71,1007.096,1001.6740000000001
,,2001-06-06,1005.19,1005.19,1005.19,1020.8513,1028.819,1013.2370000000001,1005.6941,1012.685,999.0308
,,2001-06-07,1005.19,1005.19,1005.19,1025.8201000000001,1044.497,1005.865,1005.9192,1011.534,1001.1930000000001
,,2001-06-08,1005.19,1005.19,1005.19,1028.2087000000001,1034.108,1024.363,1005.0687,1007.346,1002.4490000000001
,,2001-06-09,1005.19,1005.19,1005.19,1024.7645,1034.992,1015.734,1007.6610000000001,1012.3620000000001,1003.3240000000001
,,2001-06-10,1005.19,1005.19,1005.19,1024.517,1028.826,1015.394,1007.2199,1009.925,1005.451
,,2001-06-11,1005.19,1005.19,1005.19,1026.6339,1038.265,1016.3330000000001,1010.8136000000001,1014.009,1007.915
,,2001-06-12,1005.7852,1008.542,1003.4110000000001,1028.4824,1037.029,1023.6320000000001,1006.6509000000001,1011.925,1003.231
,,2001-06-13,1007.5527000000001,1018.522,1001.269,1028.2073,1034.915,1021.106,1006.5613000000001,1009.59,1000.066
,,2001-06-14,1011.3159,1018.171,1009.037,1024.4685,1038.779,1017.7180000000001,1007.5094,1009.859,1005.0880000000001
,,2001-06-15,1007.6320000000001,1011.85,1003.9720000000001,1025.0332,1045.548,1014.601,1006.2561000000001,1009.685,1002.2040000000001
,,2001-06-16,1003.2938,1007.8370000000001,998.6219000000001,1026.9739,1033.789,1015.31,1005.2989,1010.058,1001.6370000000001
,,2001-06-17,1001.8334000000001,1005.1980000000001,998.1537000000001,1028.2405,1035.4180000000001,1020.1020000000001,1004.7178,1011.277,1002.4190000000001
,,2001-06-18,1006.6788,1010.994,997.36,1027.9602,1035.493,1023.365,1005.8283,1008.1270000000001,1003.0260000000001
,,2001-06-19,1007.7307000000001,1010.645,1002.678,1027.7158,1032.691,1022.49,1005.8196,1007.8480000000001,1003.528
,,2001-06-20,1005.553,1009.3620000000001,1000.431,1029.0944,1034.546,1024.259,1004.3057,1008.5260000000001,1000.47
,,2001-06-21,1008.3307000000001,1012.322,999.5624,1020.9383,1029.6,1012.0880000000001,1006.493,1011.4720000000001,1000.461
,,2001-06-22,1004.0034,1007.4720000000001,1001.13,1021.1127,1033.4470000000001,1003.879,1005.9380000000001,1008.6930000000001,1002.975
,,2001-06-23,1003.17,1006.0390000000001,1000.301,1027.2811000000002,1036.188,1020.793,1004.5861000000001,1007.555,1003.11
,,2001-06-24,1004.1167,1007.422,1001.285,1025.0322,1028.238,1021.365,1004.3468,1006.441,1002.2570000000001
,,2001-06-25,1003.8102,1008.552,1000.428,1024.6947,1029.73,1019.322,1005.1628000000001,1007.86,1002.426
,,2001-06-26,1004.8143,1012.01,1000.293,1020.7504,1029.885,1002.946,1004.4605,1008.464,1001.185
,,2001-06-27,1003.3813,1006.292,1000.307,1029.7612000000001,1039.457,1020.585,1005.5068,1007.686,1002.072
,,2001-06-28,1007.8733000000001,1016.6610000000001,1003.03,1028.7375,1037.346,1023.062,1005.4617000000001,1009.3480000000001,1003.254
,,2001-06-29,1002.9335000000001,1009.129,999.0869,1025.7919,1030.251,1021.932,1007.1796,1010.594,1002.609
,,2001-06-30,1007.6056000000001,1010.071,1004.3570000000001,1025.7964,1037.852,1016.517,1006.4319,1010.594,1004.355
,,2001-07-01,1004.2916,1008.154,1000.0640000000001,1028.7742,1047.555,1018.6210000000001,1003.5722000000001,1005.956,1001.668
,,2001-07-02,1001.1294,1008.4960000000001,994.7496000000001,1028.5125,1044.717,1019.633,1001.6308,1005.615,998.2031000000001
,,2001-07-03,996.81348,1003.3140000000001,992.8231000000001,1026.6079,1034.375,1019.191,1002.1309,1008.5020000000001,998.4796
,,2001-07-04,999.4223000000001,1008.6070000000001,993.8191,1025.9401,1033.317,1020.317,1004.4718,1010.3870000000001,999.5527000000001
,,2001-07-05,999.27496,1008.6070000000001,994.4727,1025.0002,1032.394,1019.416,1004.845,1009.677,1003.404
,,2001-07-06,999.7710000000001,1007.0360000000001,993.7335,1023.0568000000001,1032.6580000000001,1012.234,1005.3035000000001,1009.364,1001.859
,,2001-07-07,999.99585,1008.7120000000001,996.0598,1023.2929,1026.924,1019.354,1003.9413000000001,1009.653,1001.557
,,2001-07-08,1006.3854,1023.36,999.0684,1023.8623,1030.083,1017.4720000000001,1008.6553,1016.1170000000001,1003.464
,,2001-07-09,1004.5751,1029.7540000000001,991.7718000000001,1022.2725,1029.759,1016.2410000000001,1010.6617,1018.957,1004.547
