THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01
THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01
THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01
,,,,,,,,,
Trader ID,Product Name,Count of Buy Activity,Count of Sell Activity,Count of Total Activity,Product Name,Buy Volume,Sell Volume,Total Volume,Wood Factor
FERMIS,,,,,,,,,
,US Gas Basis CIG Rky Mtn Dec01,1,,1,US Gas Basis CIG Rky Mtn Dec01,5000,,5000,5000
,US Gas Basis CIG Rky Mtn Nov01,9,6,15,US Gas Basis CIG Rky Mtn Nov01,50000,35000,85000,5666.666666666667
,US Gas Basis CIG Rky Mtn Nov01-Mar02,1,2,3,US Gas Basis CIG Rky Mtn Nov01-Mar02,10000,17500,27500,9166.666666666666
,US Gas Basis NWPL RkyMtn Apr-Oct02,2,5,7,US Gas Basis NWPL RkyMtn Apr-Oct02,10000,25000,35000,5000
,US Gas Basis NWPL RkyMtn Dec01,32,24,56,US Gas Basis NWPL RkyMtn Dec01,220000,155000,375000,6696.428571428572
,US Gas Basis NWPL RkyMtn Dec01-Mar02,10,12,22,US Gas Basis NWPL RkyMtn Dec01-Mar02,55000,70000,125000,5681.818181818182
