,,,,,,,,,,,,,,,,,,
West Phys- GDWest,, ,Transport,Sitara,Kieth's,Gas Daily ,Gas Daily,Consolidated,,Financial,Physical,Total,Curve,,,,,
Intramonth Position,,Physical,Positions,Total,Transport,Index,FP,Fiz & Fin,,Curve Shift,Curve Shift,CurveShift,Delta,,,,,
EAST,IF-HEHUB,0,0,0,0,0,0.34,0.34,,-543.999999999999,0,-543.999999999999,-0.16,,,,,
,IF-HPL/SHPCHAN,0,0,0,0,0,0,0,,0,0,0,0,,,,,
,IF-TZ6NY,0,0,0,0,0,0,0,,0,0,0,-0.2,,,,,
,NGI/CHI. GATE,0,0,0,0,0,0,0,,0,0,0,-0.2,,,,,
,NNG Demarc,0,0,0,0,0,0,0,,0,0,0,-0.2,,,,,
,IF-PAN/TX/OK,0,0,0,0,0,-31,-31,,49599.9999999999,0,49599.9999999999,-0.16,,,,,
NW,AECOUS,0,0,0,0,0,0,0,,0,0,0,-0.3380000000000001,,,,,
,SUMAS-US/IM,0,0,0,0,0,0,0,,0,0,0,0,,,,,
,IF-CIG/WIC,0,0,0,0,0,0,0,,0,0,0,-0.2,,,,,
,IF-CIG/RKYMTN,-1e-08,0,-1e-08,0,0,-2.45,-2.45000001,,4900,2.0000000000000015e-05,4900.000020000005,-0.2,,,,,
,IF-CIG/CHEYENN,0,0,0,0,0,-3,-3,,5999.999999999992,0,5999.999999999992,-0.2,,,,,
,IF-CIG/NW-GR,0,0,0,0,0,0,0,,0,0,0,-0.2,,,,,
,IF-NWPL_ROCKY_M,-15.51098603,0.28471404,-15.226271989999999,0,0,0,-15.226271989999999,,0,30452.543979999955,30452.543979999955,-0.2,,,,,
,IF-KERN/OPAL,0,0,0,0,0,-20.75,-20.75,,41499.99999999994,0,41499.99999999994,-0.2,,,,,
,IF-QUESTAR,0.18087363,-0.28471404,-0.10384041,0,0,0,-0.10384041,,0,207.68082000000015,207.68082000000015,-0.2,,,,,
,NW-STANFIELD,1.01349029,-0.99884101,0.014649279999999987,0,0,0,0.014649279999999987,,0,-29.29856000000018,-29.29856000000018,-0.2,,,,,
SW,IF-ELPO/PERMIAN,-11.04863834,-0.00288999,-11.05152833,0,0,46,34.94847167,,-91999.99999999988,22103.05665999997,-69896.94333999991,-0.2,,,,,
,IF-TW/PERMIAN,0.15446508,0,0.15446508,0,0,0,0.15446508,,0,-308.9301599999996,-308.9301599999996,-0.2,,,,,
,IF-ELPO/SJ,-5.10701461,-9.98492222,-15.09193683,3.299,0,-15,-26.792936830000002,,30000,26884.873660000023,56884.87366000005,-0.2,,,,,
,IF-EPSJ(BONDAD),3.90388086,-1.52760989,2.37627097,0,0,0,2.37627097,,0,-4752.541940000005,-4752.541940000005,-0.2,,,,,
,IM-TW/SJ,2.46376798,-2.46895003,-0.005182049999999716,0,0,0,-0.005182049999999716,,0,10.36409999999887,10.36409999999887,-0.2,,,,,
,TW-THOREAU,-0.00498274,0.03776921,0.03278647,0,0,0,0.03278647,,0,-65.57294000000005,-65.57294000000005,-0.2,,,,,
,WAHA KCBT,0,5.62502056,5.62502056,-3.299,0,-19.5,-17.17397944,,39000,-7951.041120000006,31048.95888000003,-0.2,,,,,
CALI,NGI-MALIN,-12.937198559999999,0.61168174,-12.325516819999999,0,0,3,-9.325516819999999,,-6000.0000000000055,24651.033640000016,18651.03364000001,-0.2,,,,,
,NGI-PGE/CG,4.962813855,7.97239161,12.935205465,0,0,1,13.935205465,,-29500,-381588.5612175,-411088.5612175,-2.95,,,,,
,NGI-MOJAVE,0,1.58919661,1.58919661,0,0,0,1.58919661,,0,23837.949149999997,23837.949149999997,1.5,,,,,
