YEAR,MONTH,DAY,SumOfSum Of UTILIZED_CAPACITY_QTY,EFFECTIVE_DTM By Day
1998,10,1,45730,"Thursday, October 01, 1998"
1998,10,2,47226,"Friday, October 02, 1998"
1998,10,3,44156,"Saturday, October 03, 1998"
1998,10,4,45312,"Sunday, October 04, 1998"
1998,10,5,47727,"Monday, October 05, 1998"
1998,10,6,47677,"Tuesday, October 06, 1998"
1998,10,7,40713,"Wednesday, October 07, 1998"
1998,10,8,43214,"Thursday, October 08, 1998"
1998,10,9,42773,"Friday, October 09, 1998"
1998,10,10,46165,"Saturday, October 10, 1998"
1998,10,11,46166,"Sunday, October 11, 1998"
1998,10,12,48150,"Monday, October 12, 1998"
1998,10,13,42403,"Tuesday, October 13, 1998"
1998,10,14,49315,"Wednesday, October 14, 1998"
1998,10,15,44481,"Thursday, October 15, 1998"
1998,10,16,40889,"Friday, October 16, 1998"
1998,10,17,40434,"Saturday, October 17, 1998"
1998,10,18,40410,"Sunday, October 18, 1998"
1998,10,19,43152,"Monday, October 19, 1998"
1998,10,20,47941,"Tuesday, October 20, 1998"
1998,10,21,40736,"Wednesday, October 21, 1998"
1998,10,22,54879,"Thursday, October 22, 1998"
1998,10,23,49576,"Friday, October 23, 1998"
1998,10,24,52973,"Saturday, October 24, 1998"
1998,10,25,53438,"Sunday, October 25, 1998"
1998,10,26,50400,"Monday, October 26, 1998"
1998,10,27,54972,"Tuesday, October 27, 1998"
1998,10,28,55880,"Wednesday, October 28, 1998"
1998,10,29,61647,"Thursday, October 29, 1998"
1998,10,30,80649,"Friday, October 30, 1998"
1998,10,31,72395,"Saturday, October 31, 1998"
1998,11,1,46723,"Sunday, November 01, 1998"
1998,11,2,49388,"Monday, November 02, 1998"
1998,11,3,49394,"Tuesday, November 03, 1998"
1998,11,4,49586,"Wednesday, November 04, 1998"
1998,11,5,49894,"Thursday, November 05, 1998"
1998,11,6,49894,"Friday, November 06, 1998"
1998,11,7,49470,"Saturday, November 07, 1998"
1998,11,8,49470,"Sunday, November 08, 1998"
1998,11,9,50570,"Monday, November 09, 1998"
1998,11,10,55232,"Tuesday, November 10, 1998"
1998,11,11,56634,"Wednesday, November 11, 1998"
1998,11,12,62808,"Thursday, November 12, 1998"
1998,11,13,51417,"Friday, November 13, 1998"
1998,11,14,46996,"Saturday, November 14, 1998"
1998,11,15,48484,"Sunday, November 15, 1998"
1998,11,16,48628,"Monday, November 16, 1998"
1998,11,17,48634,"Tuesday, November 17, 1998"
1998,11,18,59209,"Wednesday, November 18, 1998"
1998,11,19,57114,"Thursday, November 19, 1998"
1998,11,20,57123,"Friday, November 20, 1998"
1998,11,21,55984,"Saturday, November 21, 1998"
1998,11,22,56039,"Sunday, November 22, 1998"
1998,11,23,56719,"Monday, November 23, 1998"
1998,11,24,56828,"Tuesday, November 24, 1998"
1998,11,25,59904,"Wednesday, November 25, 1998"
1998,11,26,56764,"Thursday, November 26, 1998"
1998,11,27,56764,"Friday, November 27, 1998"
1998,11,28,56484,"Saturday, November 28, 1998"
1998,11,29,56309,"Sunday, November 29, 1998"
1998,11,30,56649,"Monday, November 30, 1998"
1998,12,1,57632,"Tuesday, December 01, 1998"
1998,12,2,58246,"Wednesday, December 02, 1998"
1998,12,3,59430,"Thursday, December 03, 1998"
1998,12,4,59530,"Friday, December 04, 1998"
1998,12,5,88808,"Saturday, December 05, 1998"
1998,12,6,56949,"Sunday, December 06, 1998"
1998,12,7,58833,"Monday, December 07, 1998"
1998,12,8,72302,"Tuesday, December 08, 1998"
1998,12,9,57874,"Wednesday, December 09, 1998"
1998,12,10,56934,"Thursday, December 10, 1998"
1998,12,11,60197,"Friday, December 11, 1998"
1998,12,12,58904,"Saturday, December 12, 1998"
1998,12,13,58287,"Sunday, December 13, 1998"
1998,12,14,83219,"Monday, December 14, 1998"
1998,12,15,77106,"Tuesday, December 15, 1998"
1998,12,16,68178,"Wednesday, December 16, 1998"
1998,12,17,59898,"Thursday, December 17, 1998"
1998,12,18,51308,"Friday, December 18, 1998"
1998,12,19,60767,"Saturday, December 19, 1998"
1998,12,20,60566,"Sunday, December 20, 1998"
1998,12,21,62932,"Monday, December 21, 1998"
1998,12,22,63420,"Tuesday, December 22, 1998"
1998,12,23,67895,"Wednesday, December 23, 1998"
1998,12,24,64804,"Thursday, December 24, 1998"
1998,12,25,65110,"Friday, December 25, 1998"
1998,12,26,65414,"Saturday, December 26, 1998"
1998,12,27,65614,"Sunday, December 27, 1998"
1998,12,28,66465,"Monday, December 28, 1998"
1998,12,29,65485,"Tuesday, December 29, 1998"
1998,12,30,61309,"Wednesday, December 30, 1998"
1998,12,31,57132,"Thursday, December 31, 1998"
1999,1,1,53381,"Friday, January 01, 1999"
1999,1,2,51370,"Saturday, January 02, 1999"
1999,1,3,52569,"Sunday, January 03, 1999"
1999,1,4,54830,"Monday, January 04, 1999"
1999,1,5,54585,"Tuesday, January 05, 1999"
1999,1,6,54396,"Wednesday, January 06, 1999"
1999,1,7,54396,"Thursday, January 07, 1999"
1999,1,8,46179,"Friday, January 08, 1999"
1999,1,9,51809,"Saturday, January 09, 1999"
1999,1,10,41928,"Sunday, January 10, 1999"
1999,1,11,43377,"Monday, January 11, 1999"
1999,1,12,53339,"Tuesday, January 12, 1999"
1999,1,13,53339,"Wednesday, January 13, 1999"
1999,1,14,54353,"Thursday, January 14, 1999"
1999,1,15,54254,"Friday, January 15, 1999"
1999,1,16,52504,"Saturday, January 16, 1999"
1999,1,17,52504,"Sunday, January 17, 1999"
1999,1,18,52850,"Monday, January 18, 1999"
1999,1,19,52902,"Tuesday, January 19, 1999"
1999,1,20,55339,"Wednesday, January 20, 1999"
1999,1,21,56066,"Thursday, January 21, 1999"
1999,1,22,56067,"Friday, January 22, 1999"
1999,1,23,54499,"Saturday, January 23, 1999"
1999,1,24,54499,"Sunday, January 24, 1999"
1999,1,25,55722,"Monday, January 25, 1999"
1999,1,26,58645,"Tuesday, January 26, 1999"
1999,1,27,57588,"Wednesday, January 27, 1999"
1999,1,28,54518,"Thursday, January 28, 1999"
1999,1,29,61042,"Friday, January 29, 1999"
1999,1,30,59631,"Saturday, January 30, 1999"
1999,1,31,59992,"Sunday, January 31, 1999"
1999,2,1,54070,"Monday, February 01, 1999"
1999,2,2,54067,"Tuesday, February 02, 1999"
1999,2,3,54068,"Wednesday, February 03, 1999"
1999,2,4,54550,"Thursday, February 04, 1999"
1999,2,5,54055,"Friday, February 05, 1999"
1999,2,6,51123,"Saturday, February 06, 1999"
1999,2,7,51542,"Sunday, February 07, 1999"
1999,2,8,54361,"Monday, February 08, 1999"
1999,2,9,54903,"Tuesday, February 09, 1999"
1999,2,10,49877,"Wednesday, February 10, 1999"
1999,2,11,48999,"Thursday, February 11, 1999"
1999,2,12,48069,"Friday, February 12, 1999"
1999,2,13,41350,"Saturday, February 13, 1999"
1999,2,14,41256,"Sunday, February 14, 1999"
1999,2,15,43826,"Monday, February 15, 1999"
1999,2,16,43926,"Tuesday, February 16, 1999"
1999,2,17,48361,"Wednesday, February 17, 1999"
1999,2,18,43757,"Thursday, February 18, 1999"
1999,2,19,44134,"Friday, February 19, 1999"
1999,2,20,33271,"Saturday, February 20, 1999"
1999,2,21,33389,"Sunday, February 21, 1999"
1999,2,22,35038,"Monday, February 22, 1999"
1999,2,23,29124,"Tuesday, February 23, 1999"
1999,2,24,33018,"Wednesday, February 24, 1999"
1999,2,25,40062,"Thursday, February 25, 1999"
1999,2,26,39553,"Friday, February 26, 1999"
1999,2,27,39868,"Saturday, February 27, 1999"
1999,2,28,39532,"Sunday, February 28, 1999"
1999,3,1,47175,"Monday, March 01, 1999"
1999,3,2,41374,"Tuesday, March 02, 1999"
1999,3,3,41474,"Wednesday, March 03, 1999"
1999,3,4,44636,"Thursday, March 04, 1999"
1999,3,5,44636,"Friday, March 05, 1999"
1999,3,6,44959,"Saturday, March 06, 1999"
1999,3,7,41911,"Sunday, March 07, 1999"
1999,3,8,45019,"Monday, March 08, 1999"
1999,3,9,47960,"Tuesday, March 09, 1999"
1999,3,10,47851,"Wednesday, March 10, 1999"
1999,3,11,47747,"Thursday, March 11, 1999"
1999,3,12,51609,"Friday, March 12, 1999"
1999,3,13,33745,"Saturday, March 13, 1999"
1999,3,14,33706,"Sunday, March 14, 1999"
1999,3,15,35716,"Monday, March 15, 1999"
1999,3,16,48914,"Tuesday, March 16, 1999"
1999,3,17,52575,"Wednesday, March 17, 1999"
1999,3,18,57068,"Thursday, March 18, 1999"
1999,3,19,50249,"Friday, March 19, 1999"
1999,3,20,31036,"Saturday, March 20, 1999"
1999,3,21,31036,"Sunday, March 21, 1999"
1999,3,22,29245,"Monday, March 22, 1999"
1999,3,23,29545,"Tuesday, March 23, 1999"
1999,3,24,26898,"Wednesday, March 24, 1999"
1999,3,25,28750,"Thursday, March 25, 1999"
1999,3,26,38012,"Friday, March 26, 1999"
1999,3,27,41179,"Saturday, March 27, 1999"
1999,3,28,38215,"Sunday, March 28, 1999"
1999,3,29,48306,"Monday, March 29, 1999"
1999,3,30,46067,"Tuesday, March 30, 1999"
1999,3,31,50248,"Wednesday, March 31, 1999"
1999,4,1,31148,"Thursday, April 01, 1999"
1999,4,2,30333,"Friday, April 02, 1999"
1999,4,3,28036,"Saturday, April 03, 1999"
1999,4,4,28036,"Sunday, April 04, 1999"
1999,4,5,30288,"Monday, April 05, 1999"
1999,4,6,55692,"Tuesday, April 06, 1999"
1999,4,7,57518,"Wednesday, April 07, 1999"
1999,4,8,58321,"Thursday, April 08, 1999"
1999,4,9,48503,"Friday, April 09, 1999"
1999,4,10,47364,"Saturday, April 10, 1999"
1999,4,11,35484,"Sunday, April 11, 1999"
1999,4,12,40075,"Monday, April 12, 1999"
1999,4,13,45745,"Tuesday, April 13, 1999"
1999,4,14,46174,"Wednesday, April 14, 1999"
1999,4,15,46074,"Thursday, April 15, 1999"
1999,4,16,46552,"Friday, April 16, 1999"
1999,4,17,46384,"Saturday, April 17, 1999"
1999,4,18,46385,"Sunday, April 18, 1999"
1999,4,19,47061,"Monday, April 19, 1999"
1999,4,20,45877,"Tuesday, April 20, 1999"
1999,4,21,44631,"Wednesday, April 21, 1999"
1999,4,22,44656,"Thursday, April 22, 1999"
1999,4,23,45932,"Friday, April 23, 1999"
1999,4,24,33758,"Saturday, April 24, 1999"
1999,4,25,34748,"Sunday, April 25, 1999"
1999,4,26,40866,"Monday, April 26, 1999"
1999,4,27,49358,"Tuesday, April 27, 1999"
1999,4,28,37117,"Wednesday, April 28, 1999"
1999,4,29,44038,"Thursday, April 29, 1999"
1999,4,30,52778,"Friday, April 30, 1999"
1999,5,1,37598,"Saturday, May 01, 1999"
1999,5,2,37598,"Sunday, May 02, 1999"
1999,5,3,40870,"Monday, May 03, 1999"
1999,5,4,40875,"Tuesday, May 04, 1999"
1999,5,5,40875,"Wednesday, May 05, 1999"
1999,5,6,42075,"Thursday, May 06, 1999"
1999,5,7,39263,"Friday, May 07, 1999"
1999,5,8,34453,"Saturday, May 08, 1999"
1999,5,9,34280,"Sunday, May 09, 1999"
1999,5,10,34662,"Monday, May 10, 1999"
1999,5,11,40842,"Tuesday, May 11, 1999"
1999,5,12,52603,"Wednesday, May 12, 1999"
1999,5,13,51735,"Thursday, May 13, 1999"
1999,5,14,46216,"Friday, May 14, 1999"
1999,5,15,40396,"Saturday, May 15, 1999"
1999,5,16,40377,"Sunday, May 16, 1999"
1999,5,17,41673,"Monday, May 17, 1999"
1999,5,18,39081,"Tuesday, May 18, 1999"
1999,5,19,39877,"Wednesday, May 19, 1999"
1999,5,20,45395,"Thursday, May 20, 1999"
1999,5,21,44983,"Friday, May 21, 1999"
1999,5,22,42618,"Saturday, May 22, 1999"
1999,5,23,42818,"Sunday, May 23, 1999"
1999,5,24,44115,"Monday, May 24, 1999"
1999,5,25,42554,"Tuesday, May 25, 1999"
1999,5,26,41505,"Wednesday, May 26, 1999"
1999,5,27,26846,"Thursday, May 27, 1999"
1999,5,28,27993,"Friday, May 28, 1999"
1999,5,29,47095,"Saturday, May 29, 1999"
1999,5,30,47046,"Sunday, May 30, 1999"
1999,5,31,46694,"Monday, May 31, 1999"
1999,6,1,44843,"Tuesday, June 01, 1999"
1999,6,2,44843,"Wednesday, June 02, 1999"
1999,6,3,44843,"Thursday, June 03, 1999"
1999,6,4,44843,"Friday, June 04, 1999"
1999,6,5,47152,"Saturday, June 05, 1999"
1999,6,6,47363,"Sunday, June 06, 1999"
1999,6,7,47703,"Monday, June 07, 1999"
1999,6,8,46870,"Tuesday, June 08, 1999"
1999,6,9,48337,"Wednesday, June 09, 1999"
1999,6,10,48073,"Thursday, June 10, 1999"
1999,6,11,49055,"Friday, June 11, 1999"
1999,6,12,46843,"Saturday, June 12, 1999"
1999,6,13,46359,"Sunday, June 13, 1999"
1999,6,14,46776,"Monday, June 14, 1999"
1999,6,15,46649,"Tuesday, June 15, 1999"
1999,6,16,47415,"Wednesday, June 16, 1999"
1999,6,17,47208,"Thursday, June 17, 1999"
1999,6,18,46560,"Friday, June 18, 1999"
1999,6,19,46588,"Saturday, June 19, 1999"
1999,6,20,46715,"Sunday, June 20, 1999"
1999,6,21,46004,"Monday, June 21, 1999"
1999,6,22,45963,"Tuesday, June 22, 1999"
1999,6,23,47994,"Wednesday, June 23, 1999"
1999,6,24,46185,"Thursday, June 24, 1999"
1999,6,25,45362,"Friday, June 25, 1999"
1999,6,26,41919,"Saturday, June 26, 1999"
1999,6,27,42589,"Sunday, June 27, 1999"
1999,6,28,41891,"Monday, June 28, 1999"
1999,6,29,43334,"Tuesday, June 29, 1999"
1999,6,30,46411,"Wednesday, June 30, 1999"
1999,7,1,39382,"Thursday, July 01, 1999"
1999,7,2,39284,"Friday, July 02, 1999"
1999,7,3,38117,"Saturday, July 03, 1999"
1999,7,4,37269,"Sunday, July 04, 1999"
1999,7,5,38217,"Monday, July 05, 1999"
1999,7,6,38341,"Tuesday, July 06, 1999"
1999,7,7,33864,"Wednesday, July 07, 1999"
1999,7,8,33864,"Thursday, July 08, 1999"
1999,7,9,34394,"Friday, July 09, 1999"
1999,7,10,38994,"Saturday, July 10, 1999"
1999,7,11,39054,"Sunday, July 11, 1999"
1999,7,12,40119,"Monday, July 12, 1999"
1999,7,13,39368,"Tuesday, July 13, 1999"
1999,7,14,39547,"Wednesday, July 14, 1999"
1999,7,15,39906,"Thursday, July 15, 1999"
1999,7,16,40715,"Friday, July 16, 1999"
1999,7,17,35676,"Saturday, July 17, 1999"
1999,7,18,39295,"Sunday, July 18, 1999"
1999,7,19,40139,"Monday, July 19, 1999"
1999,7,20,38916,"Tuesday, July 20, 1999"
1999,7,21,41629,"Wednesday, July 21, 1999"
1999,7,22,41352,"Thursday, July 22, 1999"
1999,7,23,38147,"Friday, July 23, 1999"
1999,7,24,37171,"Saturday, July 24, 1999"
1999,7,25,37271,"Sunday, July 25, 1999"
1999,7,26,38173,"Monday, July 26, 1999"
1999,7,27,38039,"Tuesday, July 27, 1999"
1999,7,28,38186,"Wednesday, July 28, 1999"
1999,7,29,38185,"Thursday, July 29, 1999"
1999,7,30,40233,"Friday, July 30, 1999"
1999,7,31,40202,"Saturday, July 31, 1999"
1999,8,1,43054,"Sunday, August 01, 1999"
1999,8,2,43164,"Monday, August 02, 1999"
1999,8,3,35390,"Tuesday, August 03, 1999"
1999,8,4,41531,"Wednesday, August 04, 1999"
1999,8,5,42431,"Thursday, August 05, 1999"
1999,8,6,42331,"Friday, August 06, 1999"
1999,8,7,42896,"Saturday, August 07, 1999"
1999,8,8,42996,"Sunday, August 08, 1999"
1999,8,9,43256,"Monday, August 09, 1999"
1999,8,10,43256,"Tuesday, August 10, 1999"
1999,8,11,43171,"Wednesday, August 11, 1999"
1999,8,12,43087,"Thursday, August 12, 1999"
1999,8,13,43112,"Friday, August 13, 1999"
1999,8,14,43027,"Saturday, August 14, 1999"
1999,8,15,43127,"Sunday, August 15, 1999"
1999,8,16,42527,"Monday, August 16, 1999"
1999,8,17,42527,"Tuesday, August 17, 1999"
1999,8,18,42527,"Wednesday, August 18, 1999"
1999,8,19,39838,"Thursday, August 19, 1999"
1999,8,20,41815,"Friday, August 20, 1999"
1999,8,21,41841,"Saturday, August 21, 1999"
1999,8,22,41921,"Sunday, August 22, 1999"
1999,8,23,42206,"Monday, August 23, 1999"
1999,8,24,43092,"Tuesday, August 24, 1999"
1999,8,25,43236,"Wednesday, August 25, 1999"
1999,8,26,43236,"Thursday, August 26, 1999"
1999,8,27,43355,"Friday, August 27, 1999"
1999,8,28,44755,"Saturday, August 28, 1999"
1999,8,29,44846,"Sunday, August 29, 1999"
1999,8,30,45096,"Monday, August 30, 1999"
1999,8,31,43526,"Tuesday, August 31, 1999"
1999,9,1,51991,"Wednesday, September 01, 1999"
1999,9,2,51991,"Thursday, September 02, 1999"
1999,9,3,51991,"Friday, September 03, 1999"
1999,9,4,51001,"Saturday, September 04, 1999"
1999,9,5,51001,"Sunday, September 05, 1999"
1999,9,6,51001,"Monday, September 06, 1999"
1999,9,7,52016,"Tuesday, September 07, 1999"
1999,9,8,45763,"Wednesday, September 08, 1999"
1999,9,9,50921,"Thursday, September 09, 1999"
1999,9,10,50721,"Friday, September 10, 1999"
1999,9,11,51120,"Saturday, September 11, 1999"
1999,9,12,50962,"Sunday, September 12, 1999"
1999,9,13,51770,"Monday, September 13, 1999"
1999,9,14,31717,"Tuesday, September 14, 1999"
1999,9,15,34008,"Wednesday, September 15, 1999"
1999,9,16,24645,"Thursday, September 16, 1999"
1999,9,17,28409,"Friday, September 17, 1999"
1999,9,18,25474,"Saturday, September 18, 1999"
1999,9,19,27173,"Sunday, September 19, 1999"
1999,9,20,33831,"Monday, September 20, 1999"
1999,9,21,24988,"Tuesday, September 21, 1999"
1999,9,22,45157,"Wednesday, September 22, 1999"
1999,9,23,35941,"Thursday, September 23, 1999"
1999,9,24,29515,"Friday, September 24, 1999"
1999,9,25,29254,"Saturday, September 25, 1999"
1999,9,26,30569,"Sunday, September 26, 1999"
1999,9,27,30293,"Monday, September 27, 1999"
1999,9,28,47480,"Tuesday, September 28, 1999"
1999,9,29,42479,"Wednesday, September 29, 1999"
1999,9,30,48136,"Thursday, September 30, 1999"
1999,10,1,28146,"Friday, October 01, 1999"
1999,10,2,26662,"Saturday, October 02, 1999"
1999,10,3,26952,"Sunday, October 03, 1999"
1999,10,4,27048,"Monday, October 04, 1999"
1999,10,5,36232,"Tuesday, October 05, 1999"
1999,10,6,34593,"Wednesday, October 06, 1999"
1999,10,7,35059,"Thursday, October 07, 1999"
1999,10,8,35824,"Friday, October 08, 1999"
1999,10,9,28103,"Saturday, October 09, 1999"
1999,10,10,28253,"Sunday, October 10, 1999"
1999,10,11,28407,"Monday, October 11, 1999"
1999,10,12,28532,"Tuesday, October 12, 1999"
1999,10,13,30071,"Wednesday, October 13, 1999"
1999,10,14,30147,"Thursday, October 14, 1999"
1999,10,15,29110,"Friday, October 15, 1999"
1999,10,16,27249,"Saturday, October 16, 1999"
1999,10,17,27171,"Sunday, October 17, 1999"
1999,10,18,28116,"Monday, October 18, 1999"
1999,10,19,37505,"Tuesday, October 19, 1999"
1999,10,20,37413,"Wednesday, October 20, 1999"
1999,10,21,37303,"Thursday, October 21, 1999"
1999,10,22,37391,"Friday, October 22, 1999"
1999,10,23,35920,"Saturday, October 23, 1999"
1999,10,24,36071,"Sunday, October 24, 1999"
1999,10,25,37897,"Monday, October 25, 1999"
1999,10,26,37264,"Tuesday, October 26, 1999"
1999,10,27,37060,"Wednesday, October 27, 1999"
1999,10,28,37535,"Thursday, October 28, 1999"
1999,10,29,39380,"Friday, October 29, 1999"
1999,10,30,42206,"Saturday, October 30, 1999"
1999,10,31,42374,"Sunday, October 31, 1999"
1999,11,1,52325,"Monday, November 01, 1999"
1999,11,2,52325,"Tuesday, November 02, 1999"
1999,11,3,52326,"Wednesday, November 03, 1999"
1999,11,4,52325,"Thursday, November 04, 1999"
1999,11,5,52625,"Friday, November 05, 1999"
1999,11,6,54840,"Saturday, November 06, 1999"
1999,11,7,54840,"Sunday, November 07, 1999"
1999,11,8,54884,"Monday, November 08, 1999"
1999,11,9,53687,"Tuesday, November 09, 1999"
1999,11,10,53715,"Wednesday, November 10, 1999"
1999,11,11,52504,"Thursday, November 11, 1999"
1999,11,12,41053,"Friday, November 12, 1999"
1999,11,13,28253,"Saturday, November 13, 1999"
1999,11,14,27937,"Sunday, November 14, 1999"
1999,11,15,30767,"Monday, November 15, 1999"
1999,11,16,33814,"Tuesday, November 16, 1999"
1999,11,17,40458,"Wednesday, November 17, 1999"
1999,11,18,55099,"Thursday, November 18, 1999"
1999,11,19,54750,"Friday, November 19, 1999"
1999,11,20,54811,"Saturday, November 20, 1999"
1999,11,21,54810,"Sunday, November 21, 1999"
1999,11,22,68879,"Monday, November 22, 1999"
1999,11,23,57101,"Tuesday, November 23, 1999"
1999,11,24,57999,"Wednesday, November 24, 1999"
1999,11,25,53803,"Thursday, November 25, 1999"
1999,11,26,54153,"Friday, November 26, 1999"
1999,11,27,54153,"Saturday, November 27, 1999"
1999,11,28,54153,"Sunday, November 28, 1999"
1999,11,29,58463,"Monday, November 29, 1999"
1999,11,30,60863,"Tuesday, November 30, 1999"
1999,12,1,57439,"Wednesday, December 01, 1999"
1999,12,2,56726,"Thursday, December 02, 1999"
1999,12,3,57384,"Friday, December 03, 1999"
1999,12,4,57374,"Saturday, December 04, 1999"
1999,12,5,57374,"Sunday, December 05, 1999"
1999,12,6,58104,"Monday, December 06, 1999"
1999,12,7,58104,"Tuesday, December 07, 1999"
1999,12,8,57485,"Wednesday, December 08, 1999"
1999,12,9,58062,"Thursday, December 09, 1999"
1999,12,10,57400,"Friday, December 10, 1999"
1999,12,11,57831,"Saturday, December 11, 1999"
1999,12,12,59294,"Sunday, December 12, 1999"
1999,12,13,59293,"Monday, December 13, 1999"
1999,12,14,59452,"Tuesday, December 14, 1999"
1999,12,15,58492,"Wednesday, December 15, 1999"
1999,12,16,45261,"Thursday, December 16, 1999"
1999,12,17,57561,"Friday, December 17, 1999"
1999,12,18,57225,"Saturday, December 18, 1999"
1999,12,19,58231,"Sunday, December 19, 1999"
1999,12,20,57764,"Monday, December 20, 1999"
1999,12,21,34436,"Tuesday, December 21, 1999"
1999,12,22,34156,"Wednesday, December 22, 1999"
1999,12,23,34037,"Thursday, December 23, 1999"
1999,12,24,33053,"Friday, December 24, 1999"
1999,12,25,31617,"Saturday, December 25, 1999"
1999,12,26,33296,"Sunday, December 26, 1999"
1999,12,27,34347,"Monday, December 27, 1999"
1999,12,28,67023,"Tuesday, December 28, 1999"
1999,12,29,68147,"Wednesday, December 29, 1999"
1999,12,30,58871,"Thursday, December 30, 1999"
1999,12,31,61699,"Friday, December 31, 1999"
2000,1,1,57617,"Saturday, January 01, 2000"
2000,1,2,58025,"Sunday, January 02, 2000"
2000,1,3,58570,"Monday, January 03, 2000"
2000,1,4,58570,"Tuesday, January 04, 2000"
2000,1,5,58571,"Wednesday, January 05, 2000"
2000,1,6,71979,"Thursday, January 06, 2000"
2000,1,7,58862,"Friday, January 07, 2000"
2000,1,8,60500,"Saturday, January 08, 2000"
2000,1,9,58170,"Sunday, January 09, 2000"
2000,1,10,72004,"Monday, January 10, 2000"
2000,1,11,71633,"Tuesday, January 11, 2000"
2000,1,12,57842,"Wednesday, January 12, 2000"
2000,1,13,62677,"Thursday, January 13, 2000"
2000,1,14,62188,"Friday, January 14, 2000"
2000,1,15,62892,"Saturday, January 15, 2000"
2000,1,16,63082,"Sunday, January 16, 2000"
2000,1,17,62732,"Monday, January 17, 2000"
2000,1,18,75623,"Tuesday, January 18, 2000"
2000,1,19,75507,"Wednesday, January 19, 2000"
2000,1,20,77322,"Thursday, January 20, 2000"
2000,1,21,76110,"Friday, January 21, 2000"
2000,1,22,76540,"Saturday, January 22, 2000"
2000,1,23,76689,"Sunday, January 23, 2000"
2000,1,24,75164,"Monday, January 24, 2000"
2000,1,25,74354,"Tuesday, January 25, 2000"
2000,1,26,74353,"Wednesday, January 26, 2000"
2000,1,27,50160,"Thursday, January 27, 2000"
2000,1,28,42025,"Friday, January 28, 2000"
2000,1,29,43235,"Saturday, January 29, 2000"
2000,1,30,43515,"Sunday, January 30, 2000"
2000,1,31,46730,"Monday, January 31, 2000"
2000,2,1,67749,"Tuesday, February 01, 2000"
2000,2,2,68170,"Wednesday, February 02, 2000"
2000,2,3,67720,"Thursday, February 03, 2000"
2000,2,4,45612,"Friday, February 04, 2000"
2000,2,5,58438,"Saturday, February 05, 2000"
2000,2,6,58638,"Sunday, February 06, 2000"
2000,2,7,58638,"Monday, February 07, 2000"
2000,2,8,41379,"Tuesday, February 08, 2000"
2000,2,9,59173,"Wednesday, February 09, 2000"
2000,2,10,52939,"Thursday, February 10, 2000"
2000,2,11,42174,"Friday, February 11, 2000"
2000,2,12,38384,"Saturday, February 12, 2000"
2000,2,13,38811,"Sunday, February 13, 2000"
2000,2,14,39311,"Monday, February 14, 2000"
2000,2,15,42812,"Tuesday, February 15, 2000"
2000,2,16,38960,"Wednesday, February 16, 2000"
2000,2,17,41863,"Thursday, February 17, 2000"
2000,2,18,44043,"Friday, February 18, 2000"
2000,2,19,41234,"Saturday, February 19, 2000"
2000,2,20,41233,"Sunday, February 20, 2000"
2000,2,21,42890,"Monday, February 21, 2000"
2000,2,22,42343,"Tuesday, February 22, 2000"
2000,2,23,47586,"Wednesday, February 23, 2000"
2000,2,24,58228,"Thursday, February 24, 2000"
2000,2,25,46965,"Friday, February 25, 2000"
2000,2,26,38774,"Saturday, February 26, 2000"
2000,2,27,39063,"Sunday, February 27, 2000"
2000,2,28,39678,"Monday, February 28, 2000"
2000,2,29,41785,"Tuesday, February 29, 2000"
2000,3,1,51077,"Wednesday, March 01, 2000"
2000,3,2,34351,"Thursday, March 02, 2000"
2000,3,3,33877,"Friday, March 03, 2000"
2000,3,4,32847,"Saturday, March 04, 2000"
2000,3,5,32647,"Sunday, March 05, 2000"
2000,3,6,32847,"Monday, March 06, 2000"
2000,3,7,32847,"Tuesday, March 07, 2000"
2000,3,8,32847,"Wednesday, March 08, 2000"
2000,3,9,32847,"Thursday, March 09, 2000"
2000,3,10,32672,"Friday, March 10, 2000"
2000,3,11,33847,"Saturday, March 11, 2000"
2000,3,12,33959,"Sunday, March 12, 2000"
2000,3,13,34052,"Monday, March 13, 2000"
2000,3,14,34151,"Tuesday, March 14, 2000"
2000,3,15,34131,"Wednesday, March 15, 2000"
2000,3,16,34131,"Thursday, March 16, 2000"
2000,3,17,33981,"Friday, March 17, 2000"
2000,3,18,33790,"Saturday, March 18, 2000"
2000,3,19,33970,"Sunday, March 19, 2000"
2000,3,20,33969,"Monday, March 20, 2000"
2000,3,21,33960,"Tuesday, March 21, 2000"
2000,3,22,33772,"Wednesday, March 22, 2000"
2000,3,23,33772,"Thursday, March 23, 2000"
2000,3,24,33532,"Friday, March 24, 2000"
2000,3,25,33232,"Saturday, March 25, 2000"
2000,3,26,33397,"Sunday, March 26, 2000"
2000,3,27,45405,"Monday, March 27, 2000"
2000,3,28,33506,"Tuesday, March 28, 2000"
2000,3,29,32506,"Wednesday, March 29, 2000"
2000,3,30,31471,"Thursday, March 30, 2000"
2000,3,31,31341,"Friday, March 31, 2000"
2000,4,1,43908,"Saturday, April 01, 2000"
2000,4,2,43447,"Sunday, April 02, 2000"
2000,4,3,43396,"Monday, April 03, 2000"
