,North,South,West,
0015 ,$18.25 ,$18.25 ,$18.25 ,2001-10-24
0030 ,$20.30 ,$20.30 ,$20.30 ,
0045 ,$18.13 ,$18.13 ,$18.13 ,
0100 ,$9.20 ,$9.20 ,$9.20 ,
0115 ,$12.33 ,$12.33 ,$12.33 ,
0130 ,$17.50 ,$17.50 ,$17.50 ,
0145 ,$20.60 ,$20.60 ,$20.60 ,
0200 ,$16.80 ,$16.80 ,$16.80 ,
0215 ,$12.33 ,$12.33 ,$12.33 ,
0230 ,$7.70 ,$7.70 ,$7.70 ,
0245 ,$12.11 ,$12.11 ,$12.11 ,
0300 ,$9.29 ,$9.29 ,$9.29 ,
0315 ,$10.44 ,$10.44 ,$10.44 ,
0330 ,$1.80 ,$1.80 ,$1.80 ,
0345 ,$4.80 ,$4.80 ,$4.80 ,
0400 ,$7.50 ,$7.50 ,$7.50 ,
0415 ,$11.30 ,$11.30 ,$11.30 ,
0430 ,$17.52 ,$17.52 ,$17.52 ,
0445 ,$16.91 ,$16.91 ,$16.91 ,
0500 ,$11.00 ,$11.00 ,$11.00 ,
0515 ,$5.50 ,$5.50 ,$5.50 ,
0530 ,$5.00 ,$5.00 ,$5.00 ,
0545 ,$4.40 ,$4.40 ,$4.40 ,
0600 ,$23.21 ,$23.21 ,$23.21 ,
0615 ,$4.20 ,$4.20 ,$4.20 ,
0630 ,$20.00 ,$20.00 ,$20.00 ,
0645 ,$24.78 ,$24.78 ,$24.78 ,
0700 ,$30.15 ,$30.10 ,$29.40 ,
0715 ,$30.72 ,$29.40 ,$8.85 ,
0730 ,$30.52 ,$28.71 ,$0.72 ,
0745 ,$25.55 ,$24.00 ,($0.01) ,
0800 ,$19.00 ,$18.41 ,$9.28 ,
0815 ,$21.00 ,$21.00 ,$21.00 ,
0830 ,$20.30 ,$20.30 ,$20.30 ,
0845 ,$19.70 ,$19.70 ,$19.70 ,
0900 ,$19.00 ,$19.00 ,$19.00 ,
0915 ,$25.73 ,$25.73 ,$25.73 ,
0930 ,$25.90 ,$25.90 ,$25.90 ,
0945 ,$26.33 ,$26.33 ,$26.33 ,
1000 ,$26.03 ,$26.03 ,$26.03 ,
1015 ,$29.25 ,$28.04 ,$9.30 ,
1030 ,$29.33 ,$28.12 ,$9.29 ,
1045 ,$30.53 ,$29.25 ,$9.29 ,
1100 ,$30.53 ,$29.25 ,$9.29 ,
1115 ,$29.67 ,$29.25 ,$22.65 ,
1130 ,$29.41 ,$29.00 ,$22.65 ,
1145 ,$29.33 ,$28.87 ,$21.72 ,
1200 ,$29.25 ,$28.49 ,$16.68 ,
1215 ,$29.22 ,$28.01 ,$9.29 ,
1230 ,$29.17 ,$28.14 ,$12.20 ,
1245 ,$29.17 ,$28.44 ,$17.24 ,
1300 ,$29.17 ,$28.05 ,$10.70 ,
1315 ,$30.05 ,$29.17 ,$15.37 ,
1330 ,$30.19 ,$29.17 ,$13.32 ,
1345 ,$30.17 ,$29.17 ,$13.50 ,
1400 ,$29.70 ,$29.00 ,$18.17 ,
1415 ,$29.25 ,$28.07 ,$9.73 ,
