Deal ID,Counterparty,Deal Date,Deal Start Date,Deal End Date,Contract Document No.,Buy/Sell,Portfolio,Fixed Price,From Delivery Point,Volume
488125.1,Public Service Company Of Colorado,2001-01-02 15:03:17,2001-01-04 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,83,PALO VERDE,78
499936.1,Public Service Company Of Colorado,2001-01-18 08:05:43,2001-10-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,135,PALO VERDE,25
500365.1,Public Service Company Of Colorado,2001-01-18 15:22:15,2001-10-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,150,PALO VERDE,25
500534.1,Public Service Company Of Colorado,2001-01-18 18:05:38,2001-10-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,150,PALO VERDE,25
515163.1,Public Service Company Of Colorado,2001-02-06 12:41:05,2001-10-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,300,MID COLUMBIA,25
555155.1,Public Service Company Of Colorado,2001-03-20 09:57:32,2001-10-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,315,MID COLUMBIA,25
556362.1,Public Service Company Of Colorado,2001-03-21 08:17:59,2001-10-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,318,MID COLUMBIA,25
562382.1,Public Service Company Of Colorado,2001-03-27 11:36:05,2001-10-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,184,PALO VERDE,25
563769.1,Public Service Company Of Colorado,2001-03-28 14:23:27,2001-10-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,316,MID COLUMBIA,25
600029.1,Public Service Company Of Colorado,2001-05-02 12:21:36,2001-10-01 00:00:00,2001-11-30 00:00:00,96026964,S,EAST,40.25,CINERGY (Into) System,50
680252.1,Public Service Company Of Colorado,2001-07-10 15:53:53,2001-10-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,88,MID COLUMBIA,25
680253.1,Public Service Company Of Colorado,2001-07-10 15:54:06,2001-10-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,69,PALO VERDE,25
746684.1,Public Service Company Of Colorado,2001-08-23 16:28:30,2001-10-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,43,MID COLUMBIA,25
754594.1,Public Service Company Of Colorado,2001-08-29 13:34:42,2001-10-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,37.5,MID COLUMBIA,25
768818.1,Public Service Company Of Colorado,2001-09-10 07:00:02,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,36.75,MID COLUMBIA,25
770029.1,Public Service Company Of Colorado,2001-09-10 15:00:59,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,36.75,MID COLUMBIA,25
775393.1,Public Service Company Of Colorado,2001-09-14 08:26:03,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,23,PALO VERDE,25
777069.1,Public Service Company Of Colorado,2001-09-17 06:43:50,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,38.5,MID COLUMBIA,25
