INTO SOCO GENERATION,,
2001-06-01 00:00:00,,
,,
,,
MW,SOURCE,DATE
50,SOCOGENBOWEN-DYNEGY,2001-06-01 00:00:00
50,DUKGEN-DUKEW150686F7,2001-06-04 00:00:00
50,DUKGEN-DUKEW150686F7,2001-06-04 00:00:00
50,AECIGEN-APM-AECIW787497F752IN52OUT,2001-06-04 00:00:00
50,SOCOGEN,2001-06-05 00:00:00
50,OPCGEN,2001-06-05 00:00:00
50,OPCGEN,2001-06-06 00:00:00
50,EKGEN-EKPCW69594351F-EKPC-SEMPRA-TVAW881965F52FOR50-SEMPRA-DYNEGY,2001-06-06 00:00:00
48,WRGEN-SPPW-EESW,2001-06-06 00:00:00
2,SCEGGEN-SCEGW135073F-FPL,2001-06-06 00:00:00
49,WRGEN-SPPW-EESW,2001-06-06 00:00:00
1,SCEGGEN-SCEGW135073F-FPL,2001-06-06 00:00:00
50,EKGEN-EKW69594840F52FOR52-EK-SEMPRA-TVA882223F52FOR50,2001-06-07 00:00:00
48,WRGEN-SPPW-EESW,2001-06-07 00:00:00
2,SCEGGEN-SCEGW135073F-FPL,2001-06-07 00:00:00
49,WRGEN-SPPW-EESW,2001-06-07 00:00:00
1,SCEGGEN-SCEGW135073F-FPL,2001-06-07 00:00:00
50,EKPCGEN-EKPCW69595227F-EKPC-SEMPRA-TVAW882227F-,2001-06-08 00:00:00
50,SCEGGEN-SCEGW167535F-SCEG-FPL,2001-06-08 00:00:00
50,SOCOGENBOWEN,2001-06-08 00:00:00
50,SOCOGENBOWEN,2001-06-08 00:00:00
50,SOCOGENBOWEN,2001-06-08 00:00:00
50,SOCOGENBOWEN,2001-06-08 00:00:00
50,SOCOGENBOWEN,2001-06-12 00:00:00
50,SOCOGENBOWEN,2001-06-12 00:00:00
50,SOCOGENBOWEN,2001-06-12 00:00:00
30,HEARDGEN31/30-GTCW(N/A)-DYNEGY-CINERGY,2001-06-13 00:00:00
16,MONROEGEN-DYNEGY-CINERGY,2001-06-13 00:00:00
2,BOWEN-SWE-DYNEGY-CINERGY,2001-06-13 00:00:00
2,SCHERERGEN-SWE-DYNEGY-CINERGY,2001-06-13 00:00:00
50,SOURCEGEN HEARDDY-DYNEGY-GTCWN/A52/50,2001-06-14 00:00:00
50,SOURCEGEN HEARDDY-DYNEGY-GTCWN/A50/50,2001-06-14 00:00:00
50,NON-FIRM OPC GEN - GTCWN/A,2001-06-14 00:00:00
34,HEARDDY34/34-DYNEGY,2001-06-14 00:00:00
12,MONROE-DYNEGY,2001-06-14 00:00:00
2,GASTON-DYNEGY,2001-06-14 00:00:00
2,SCHERER-DYNEGY,2001-06-14 00:00:00
50,HEARDDY-DYNEGY-WESCO (DYNEGY will tag),2001-06-15 00:00:00
48,WRGEN-SPPW-SEMPRA-EESW (WR WILL TAG),2001-06-15 00:00:00
2,SCEGGEN-SCEGW (SEMPRA WILL TAG),2001-06-15 00:00:00
50,HEARDDY-DYNEGY (Dynegy will tag),2001-06-16 00:00:00
40,GASTONGEN-SWE-DYDNHAMS-DYNEGY,2001-06-18 00:00:00
10,SCHERERGEN-SWE-DYDNHAMS-DYNEGY-WESCO,2001-06-18 00:00:00
40,BOWENGEN-SWE-DYDNHAMS-DYNEGY,2001-06-18 00:00:00
10,SCHERERGEN-SWE-DYDNHAMS-DYNEGY,2001-06-18 00:00:00
50,OPCGEN-GTCW,2001-06-19 00:00:00
50,MONROEGENDYNEGY,2001-06-19 00:00:00
10,OPCGEN-DYNEGY-WESCO,2001-06-19 00:00:00
40,HEARDGEN-DYNEG,2001-06-19 00:00:00
50,HEARDGEN,2001-06-19 00:00:00
50,OPC (g),2001-06-20 00:00:00
50,HEARDGEN,2001-06-20 00:00:00
50,OPC (g)-WESCO,2001-06-20 00:00:00
50,SCEGGEN-SCEGW168850F50/50,2001-06-21 00:00:00
50,SOCOGEN BOWEN (NOT PART OF DYPM),2001-06-21 00:00:00
50,BOWENGEN-SWE,2001-06-22 00:00:00
40,GASTON(DYDHAMS)-SWE-DYNEGY,2001-06-25 00:00:00
10,SCHERER(DYDHAMS)-SWE-DYNEGY,2001-06-25 00:00:00
40,BOWEN(DYDHAMS)-SWE-DYNEGY,2001-06-25 00:00:00
10,SCHERER(DYDHAMS)-SWE-DYNEGY,2001-06-25 00:00:00
50,BOWENGEN,2001-06-26 00:00:00
50,SHERERg-DYPM,2001-06-26 00:00:00
50,MILLERg-DYPM,2001-06-26 00:00:00
50,OPCGEN-DYPM,2001-06-27 00:00:00
50,WESTGEORGIA WEGAUPGYgen-EPME-DYPM,2001-06-27 00:00:00
50,BOWENGEN-SWE-DYPM,2001-06-27 00:00:00
40,BRANCHgenDYDNHAMS,2001-06-27 00:00:00
10,SCHEREgenDYDNHAMS,2001-06-27 00:00:00
50,OPCGEN-DYNEGY,2001-06-27 00:00:00
50,WESTGEORGIA WEGAUPGYgen-EPME-DYPM,2001-06-27 00:00:00
50,BOWENGEN-SWE-DYPM (NO DYDNHAMS),2001-06-27 00:00:00
50,OPCgen,2001-06-28 00:00:00
50,CINERGY,
50,BOWENg (NOT DYNEGY),2001-06-29 00:00:00
50,BOWENg (NOT DYNEGY),2001-06-29 00:00:00
50,HEARDgen(DYDNHAMS)-DYPM,2001-06-29 00:00:00
50,WESTGEORGIAg(WEGAUPGA)-EPME-DYPM,2001-06-29 00:00:00
50,HEARDgen(DYDNHAMS)-DYPM,2001-06-29 00:00:00
50,HEARDgen(DYDNHAMS)-DYPM,2001-06-29 00:00:00
50,WESTGEORGIAg(WEGAUPGA)-EPME-DYPM,2001-06-29 00:00:00
50,HEARDgen(DYDNHAMS)-DYPM,2001-06-29 00:00:00
