Netco Critical Applications based on trading entities:,,,,,,
,,,,,,
Company,Publication,Cost,Delivery,Vendor Contacts,Business Contact,Priority
Reuters Kobra / I-Finance,,,,Lynne Carithers 713-210-8507,Gas/Power,1
Bridge Data,,,,Lynne Carithers 713-210-8507,backup,1
Bloomberg,,,,Brad Johnson 212-893-3388,Gas/Power,1
,PowerLines - Bloomberg Energy,,,,,free
CQG,,,,Becky Gilfrey 970-928-1024,Gas,1
CMAI,,,,Susan Beury 281-752-3240,Gas/Power,5
,Aromatics Market Report,,,,,
,C4 Market Report,,,,,
,Monomer Market Report,,,,,
,Methanol Market Report,,,,,
,Global Plastics and Polymers Market Report,,,,,
Logical Information Machine - LIM,,,,Jim Garland 713-652-4066,Gas/Power,1
Platts,Inside Ferc,,,,,
,Platts Petroleum,,,,,
,Bunker Data,,,,,
DRI,Natural Gas Liquids Inventory,,,,,
,API Statistics,,,,,
,Canadian EnerDatat,,,,,
,"Coal Prod, Elec Power & Energy Review",,,,,
,Natural Gas Intelligence,,,,,
,Natural Gas Information,,,,,
,Natural Gas Weekly NWGAS,,,,,
,Natural Gas Liquids Inventory DOE/EIA Markets,,,,,
Argus,Petroleum Argus,,,,,
Finanacial Times Energy,Gas Daily,,,,,
,Megawatt Daily,,,,,
Natural Gas Intelligence (NGI),Daily Publication - Intelligence Press,,,,,
,Weekly Publicaton - Intelligence Press ,,,,,
OPIS,LPG Spots,,,Walt Sierer 888-301-2645 x2357,,
,Feedstocks,,,,,
CMAI,Associates data,,,,,
ICIS-LOR,Petrochemical data,,,,,
Platts:,,,,Tony Janczak 713-658-3217,Gas/Power,1
,Electric Daily,,,,,
,Electric Power Daily,,,,,
,Platts Inside Ferc,,,,,
,Platts Bunker,,,,,
,Platts Petroleum,,,,,
,Research Insight-S&P,,,,,
,Platts Oilgram Price Report,,,,,
,Platts Oilgram News,,,,,
,LP Gaswire,,,,,
,Global Alert-Reuters,,,,,
,Platts Bunkerwire,,,,,
,Platts Latinwire,,,,,
,Platts Electric Utility Week,,,,,
,Platts Northeast Power Report,,,,,
,Platts Power Markets Week,,,,,
,Platts Southeast Power Report,,,,,
,Gas Daily,,,,,
,Coal Trader ,,,,,
,Coal Outlook ,,,,,
,Megawatt Daily ,,,,,
,Generation Week,,,,,
,Transportation & Storage Hub,,,,,
,Energy Trader ,,,,,
,Transmission Week,,,,,
,Energy Report ,,,,,
,Crude Oil Marketwire,,,,,
Intelligence Press-NGI,,,Global -website,Cathy Behan 703-318-8848,Gas,3
,Daily Gas Price Index,,,,,
,Weekly Gas Price Index,,,,,
,,,,,,
Energy Intelligence Group,,,,Damon Jones 202-662-0742,Gas,2
,Natural Gas Week,,,,,
,Energy Intelligence Briefing,,,,,
,Oil Daily ,,,,,
,Energy Compass ,,,,,
,Petroleum Intelligence ,,,,,
,International Petroleum Finance,,,,,
,Oil Market Intelligence ,,,,,
Argus,,,,Karen Johnson 281-829-1830 x122,Gas,1
,Weekly Petroleum Argus,,,,,
,Argus Fundamentals ,,,,,
,Argus Atlantic,,,,,
,Argus US Products,,,,,
,Argus FSU Report,,,,,
,Argus Global Markets,,,,,
,Argus Latin Markets,,,,,
,Argus Weekly Power Plays,,,,,
,Coal Daily ,,,,,
,NGL Americas ,,,,,
ICIS LOR,,,,Allison Bishop 713-525-2618,,
American Stock Exchange,,,,,,
NASDAQ Exchange,,,,,,
New York Stock Exchange,,,,,,
OPRA,,,,,,
Toronto Stock Exchange,,,,,,
I.H.S. Energy formally Dwights,,,,Nelson Armstrong 713-840-8282,Chris Gaskill ,1
PIRA,,,,Jeff Steele 212-686-6808,Chris Gaskill ,2
Global Oil Retainer Service,Gas Flash Weekly,,,,,
North American Natural Gas Retainer,US GAS Market Forecasts,,,,,
North American Electricity Retainer,API Weekly,,,,,
Daily Electricity Demand Report,World Oil,,,,,
Western Danadian Crude Price Forecast and PADD II Balances Report,Eastern Grid,,,,,
,PIRA Demand Report,,,,,
,Western Grid,,,,,
,Daily Demand Report (Excel),,,,,
,PIRA Market Forecast ,,,,,
,Canadian Forecast and Balances,,,,,
,API Weekly Analysis,,,,,
,World Oil Market Forecast ,,,,,
,Daily Demand Report (PDF),,,,,
CERA,,,,,GAS,3
,North America Natural Gas Outlook,,,,,
,Retail Energy,,,,,
,Western Energy,,,,,
,World Oil,,,,,
DRI / WEFA ,,,,Thomas McGregor 781-860-6586,GAS/Power,3
,Global Petroleum Monthly,,,,,
,Natural Gas Monthly,,,,,
BTU,,,,,GAS/Power,2
,BTU's Daily Power Central ,,,,,
,BTU's Daily Power East,,,,,
,BTU's Daily Power West,,,,,
,BTU's Weekly Power,,,,,
Oil and Tanker Market Report,Fearnley's AS,,,,,
Dismal scientist,www.economy.com/register/subscribe.asp,,,,,
IIR,,,,,,
Friedwire,,,,,,
Freez - Notis,,,,Charlie Notis 515-282-9243,Weather,1
Earth - Sat,,,,Matt Rodgers 301-231-0664,Weather,1
Weather Services International,,,,John Bossee 978-670-5105,Weather,1
Accu-Weather,,,,Dave Ryan x35462,Weather,1
PDI - Planetary Data Incorporated,,,,Stoney Cooper 770-456-0700,Weather,1
American Gas Association AGA ,,,,Chris McGill  202-824-7132,Gas/Weather,
Chemical News Intelligence CNI,,,,Dave McCaskill 281-531-4660,Gas/Power,
Edison Electric Institiute,,,,Bloomberg ??,,
First Call ,,,,Todd Saccani 415-732-6265,Gas,
Lexis Nexis ,,,,Dru Davidson,Legal,1
