,,,,,
,,,,,
ENE / DYN prices,,,,,
,,,,,
,,,,,
,ENE,DYN,,ENE price as % of,Bloomberg closing
,closing,closing,Exchange ,DYN exchange ratio,price of  ENE 6 5/8%
Date,price,price,ratio,adjusted price,10/15/03 bonds
,,,,,
,,,,,
2001-10-22 00:00:00,,,,,1.0113
2001-10-23 00:00:00,,,,,0.9789
2001-10-24 00:00:00,,,,,0.9349
2001-10-25 00:00:00,,,,,0.9153
2001-10-26 00:00:00,,,,,0.8758
2001-10-29 00:00:00,,,,,0.8768
2001-10-30 00:00:00,,,,,0.8547
2001-10-31 00:00:00,,,,,0.8297
2001-11-01 00:00:00,,,,,0.6189
2001-11-02 00:00:00,,,,,0.6583
2001-11-05 00:00:00,,,,,0.7103
2001-11-06 00:00:00,,,,,0.7155
2001-11-07 00:00:00,,,,,0.7004
2001-11-08 00:00:00,,,,,0.7502
2001-11-09 00:00:00,,,,,0.8106
2001-11-12 00:00:00,9.24,44.31,0.2685,0.7766510453899581,0.8108
2001-11-13 00:00:00,9.98,46.94,0.2685,0.7918504465861962,0.8604
2001-11-14 00:00:00,10,46.2,0.2685,0.8061460575427055,0.8499
